#{"t_start": 1642014980.7363355, "env_id": "Ant-v2"}
r,l,t
-116.69489,341,46.014799
-17.202637,75,46.345788
-20.739974,59,46.494898
-344.095994,1000,82.449467
1.524381,39,82.834696
-26.623286,111,83.167852
-86.780062,94,83.487054
18.678329,27,83.568024
-8.733738,25,83.630903
-62.183488,198,84.268483
-10.348298,37,118.612426
-2.453608,22,118.670733
-1.875809,68,118.828724
-21.655774,70,119.114238
33.722234,43,119.342004
-6.652963,20,119.397516
-303.845491,1000,156.246974
11.757455,86,156.820793
-8.037917,109,157.252446
-9.310652,21,157.323425
-350.984402,1000,194.891539
-53.054997,86,195.523843
-47.602668,84,195.968536
-3.074218,59,196.119262
-32.00555,160,196.963553
-278.944901,1000,235.120318
-298.794089,1000,273.838458
-73.123863,62,274.20076
9.061551,20,274.612895
-88.287921,276,309.370335
-7.949368,60,309.926269
-30.275602,118,310.60455
-49.182468,42,311.104416
-11.675636,116,311.755738
-23.210538,129,312.445864
6.411169,35,312.553801
-21.599946,111,313.752516
-41.450256,54,313.898401
-43.975979,116,314.569342
3.967267,67,348.641863
1.854759,13,348.687679
7.857876,38,348.777093
-28.161893,81,349.392089
-103.104641,180,350.673865
-54.881942,191,352.003594
-27.091296,63,352.625107
24.120196,40,352.73112
-290.468875,1000,393.178375
-73.004547,295,395.572096
-344.362294,1000,436.560091
-353.040209,1000,478.200115
-42.963666,164,513.436825
-12.850384,36,513.558597
-0.95868,22,513.618156
-93.638955,350,516.890992
-23.102193,32,517.044398
-9.16257,42,517.148516
-75.253917,127,518.716448
-12.249433,14,518.777123
-26.862516,170,519.805647
-76.316165,119,554.776689
-10.817827,53,554.91975
-5.707667,17,554.970252
-85.188093,95,555.838231
-26.037263,96,556.734937
-72.374872,104,557.653319
-19.571309,173,559.396125
-336.777027,1000,601.775902
-26.892672,22,602.034668
-303.832087,1000,645.281325
-13.317399,31,646.33285
-7.867611,56,646.464523
-21.894591,62,647.394357
-6.245448,28,647.470512
-327.436348,1000,690.904876
-3.140891,52,692.074678
-0.920733,74,692.251721
-64.572081,57,693.235545
-37.815366,76,727.474104
-342.857085,1000,771.436772
16.555277,70,771.806486
-36.800115,34,772.790008
-34.352621,158,774.039928
-14.829117,85,775.170935
-20.510491,89,776.294385
8.146319,70,777.374747
-105.977378,112,778.561581
-10.424384,13,778.618155
-49.167515,60,779.695237
-19.30443,74,779.873448
-46.448846,52,780.935292
-10.083174,14,780.977863
-69.569336,106,782.152822
-4.004492,24,782.233182
1.426444,75,816.448147
-340.659458,1000,861.178821
-429.732513,1000,906.738457
-67.81733,196,909.470561
-10.345996,28,909.575062
-15.75399,129,911.981494
-40.132045,71,912.166721
1.136727,62,913.376178
-23.666071,26,913.447924
-10.833714,31,913.524096
-3.823562,15,914.639555
-26.782965,58,914.771515
-288.133469,1000,961.147203
-83.089559,247,965.304517
-27.147177,37,965.44243
7.193034,26,965.510826
-2.468696,13,965.546861
-63.084854,81,999.904755
-77.5813,147,1002.509438
-153.932734,355,1006.718281
-318.783398,1000,1053.785213
-13.985973,175,1056.807972
-26.947043,47,1056.954638
-24.213221,115,1059.669407
-6.256951,41,1059.788818
166.52142,1000,1131.830956
980.252788,1000,1202.150352
944.870181,1000,1273.059089
907.24664,1000,1344.176198
915.175676,1000,1417.070508
859.302701,1000,1489.248427
