eval_qs,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval_discount_q,eval mean 100 episode reward,eval_ep_rewmean,eval_time_elapsed,eval_qs_difference,eval_returns
390.74402,196001,908.3636363636364,76.29953,350.6674456329125,3664.5,3609.6722979999995,29,35.20502530114952,4358.269507240983
355.62177,197001,1000.0,82.19201,359.1661530321536,3600.5,3253.642061727273,32,65.81502336723915,4322.856788812613
412.48593,198001,897.4545454545455,72.05947,368.5232569324151,3584.5,3651.3760156363637,28,51.860649123915294,4381.022330480165
,198230,,,,,,,,
374.83798,199001,796.8181818181819,109.04204,353.88980667566494,3446.6,2615.700762090909,26,93.26249911498157,4405.9252121287445
398.6428,200001,1000.0,73.78525,350.860493306688,3491.6,3813.5056374545456,32,52.02743626625398,4390.9080206298895
419.53137,201001,828.7272727272727,109.50913,307.6103815750866,3451.1,3311.000980636364,26,103.7175090659532,3662.4863610969487
349.93597,202001,796.2727272727273,140.39845,297.44547545581526,3294.9,2051.3067400000004,25,133.2565771232613,4018.7201732056237
,202230,,,,,,,,
411.7073,203001,939.4545454545455,65.76672,362.6536631456128,3275.1,3794.6440863636367,30,49.038718806964994,4451.085784911141
429.7125,204001,915.6363636363636,70.69401,382.73607115059207,3338.9,3961.4319413636363,29,43.14466820139306,4466.177086817822
416.8577,205001,980.1818181818181,73.43156,346.03166583833894,3342.8,3926.793299818182,31,51.310160673386754,4171.7235344598885
,205330,,,,,,,,
396.75955,206001,889.0,87.708336,337.3167946843918,3413.6,3506.065867636364,28,66.70966461924273,4242.578541760861
416.84482,207001,999.8181818181819,58.439236,374.22770147249526,3444.0,4145.986153818181,32,39.218020455953784,4496.022521284456
378.0028,208001,957.7272727272727,69.000946,347.0235995719938,3563.6,3502.920773363636,31,46.47292555870148,644.3010337600377
436.79288,209001,1000.0,60.40807,380.1099896914721,3624.8,4384.324969727273,32,35.991296939065776,4652.176416058742
,209330,,,,,,,,
441.83475,210001,1000.0,64.88477,378.1826741887739,3728.3,4318.272185545455,32,47.44758576759795,4375.896778868235
