eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
,,,,,,,15485,,
,,,,,,,15563,,
,,,,,,,15628,,
,,,,,,,15710,,
,,,,,,,15776,,
,,,,,,,15847,,
,,,,,,,15935,,
5.3,0,-2.250921,5.258639090909091,5.187061357908119,5.111471105354543,8.363636363636363,16001,-4.623004781913175,4.6230044
,,,,,,,16046,,
,,,,,,,16137,,
,,,,,,,16306,,
,,,,,,,16382,,
,,,,,,,16444,,
,,,,,,,16518,,
,,,,,,,16585,,
,,,,,,,16671,,
,,,,,,,16746,,
,,,,,,,16812,,
,,,,,,,16916,,
,,,,,,,16999,,
5.3,0,-2.2517548,5.292462636363636,5.156732389904449,5.142294832841713,8.545454545454545,17001,-4.611514497590981,4.6115146
,,,,,,,17068,,
,,,,,,,17134,,
,,,,,,,17192,,
,,,,,,,17268,,
,,,,,,,17323,,
,,,,,,,17374,,
,,,,,,,17437,,
,,,,,,,17513,,
,,,,,,,17583,,
,,,,,,,17782,,
,,,,,,,17846,,
,,,,,,,17939,,
5.3,0,-2.2510507,5.269221181818182,5.143478003432762,5.120824886956933,8.454545454545455,18001,-4.613552890212232,4.6135526
,,,,,,,18028,,
,,,,,,,18148,,
,,,,,,,18244,,
,,,,,,,18327,,
,,,,,,,18407,,
,,,,,,,18476,,
,,,,,,,18524,,
,,,,,,,18613,,
,,,,,,,18707,,
,,,,,,,18771,,
,,,,,,,18839,,
,,,,,,,18915,,
5.3,0,-2.2519178,5.285301727272728,5.416580377975488,5.136258252434123,8.454545454545455,19001,-4.623174502531921,4.6231747
,,,,,,,19077,,
,,,,,,,19179,,
,,,,,,,19262,,
,,,,,,,19329,,
,,,,,,,19408,,
,,,,,,,19478,,
,,,,,,,19550,,
,,,,,,,19672,,
,,,,,,,19740,,
,,,,,,,19825,,
,,,,,,,19959,,
5.3,0,-2.253702,5.334555,5.179933099182133,5.182044252464351,8.636363636363637,20001,-4.620965849957327,4.620966
,,,,,,,20032,,
,,,,,,,20108,,
,,,,,,,20194,,
,,,,,,,20250,,
,,,,,,,20329,,
,,,,,,,20466,,
,,,,,,,20570,,
,,,,,,,20628,,
,,,,,,,20693,,
,,,,,,,20759,,
,,,,,,,20881,,
,,,,,,,20999,,
5.3,0,-2.2499692,5.243950999999999,5.195320953161687,5.098162072092609,8.272727272727273,21001,-4.629520574050805,4.62952
,,,,,,,21095,,
,,,,,,,21207,,
,,,,,,,21278,,
,,,,,,,21382,,
,,,,,,,21458,,
,,,,,,,21545,,
,,,,,,,21601,,
,,,,,,,21684,,
,,,,,,,21754,,
,,,,,,,21818,,
,,,,,,,21887,,
5.3,0,-2.2512167,5.2778208181818185,5.155229256966372,5.129073896788982,8.454545454545455,22001,-4.61823094343376,4.6182313
,,,,,,,22005,,
,,,,,,,22094,,
,,,,,,,22146,,
,,,,,,,22233,,
,,,,,,,22300,,
,,,,,,,22420,,
,,,,,,,22495,,
,,,,,,,22589,,
,,,,,,,22660,,
,,,,,,,22764,,
,,,,,,,22843,,
,,,,,,,22921,,
5.3,0,-2.2500846,5.267385,5.428970730647961,5.11987516765222,8.363636363636363,23001,-4.626626768245739,4.6266265
,,,,,,,23002,,
,,,,,,,23086,,
,,,,,,,23199,,
,,,,,,,23268,,
,,,,,,,23329,,
,,,,,,,23418,,
,,,,,,,23505,,
,,,,,,,23589,,
,,,,,,,23650,,
,,,,,,,23710,,
,,,,,,,23797,,
,,,,,,,23904,,
,,,,,,,23984,,
5.3,0,-2.2535713,5.3315943636363645,5.407014847436439,5.179198935574004,8.636363636363637,24001,-4.619247535859449,4.6192474
,,,,,,,24166,,
,,,,,,,24297,,
,,,,,,,24356,,
,,,,,,,24422,,
,,,,,,,24493,,
,,,,,,,24621,,
,,,,,,,24691,,
,,,,,,,24766,,
,,,,,,,24860,,
,,,,,,,24937,,
8.7,0,-1.9313847,38.92987327272727,37.10147855587583,34.58898336290557,22.09090909090909,25001,-23.138713837114306,23.138714
,,,,,,,25021,,
,,,,,,,25111,,
,,,,,,,25202,,
,,,,,,,25315,,
,,,,,,,25476,,
,,,,,,,25751,,
,,,,,,,25990,,
28.2,2,58.859726,198.10908227272728,207.25138859310127,118.5240859219501,96.45454545454545,26001,-24.82500125089107,35.094383
,,,,,,,26336,,
,,,,,,,26654,,
