eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_returns,eval_discount_q,eval_eplenmean,total timesteps,eval_qs_difference,eval_abs_qs_difference
856.7,5,237.3458,599.3839058181818,757.2119985096862,219.0524674724327,175.1818181818182,139001,31.299423920636574,40.754925
,,,,,,,139162,,
859.9,8,286.3034,1046.4155635454545,1069.5136411266258,240.21457185626585,299.6363636363636,140001,16.416730161169617,19.502653
,,,,,,,140165,,
823.6,3,214.62193,409.9663734545455,608.145890137835,188.411285154113,132.45454545454547,141001,52.073298595908064,60.39319
,,,,,,,141297,,
775.8,5,248.89844,593.8247172727273,744.5745891678124,216.67007213438868,180.9090909090909,142001,46.054681653466446,46.829384
,,,,,,,142500,,
724.3,5,305.27112,526.805127,335.93164996918694,186.13940785592214,182.0,143001,137.52408489918835,138.75807
,,,,,,,143647,,
786.7,8,274.38425,978.8166418181817,1190.0992927420955,240.89178398523015,280.6363636363636,144001,19.741311017428533,21.858894
,,,,,,,144567,,
795.6,9,286.01825,1076.5166638181818,1232.4023056709145,236.64297244088118,315.90909090909093,145001,20.06183119451348,22.16118
,,,,,,,145478,,
800.6,9,295.35095,1109.474365181818,1089.3935202951368,234.3239590484999,318.54545454545456,146001,32.252321462661314,34.13658
,,,,,,,146462,,
763.0,4,233.6247,521.2371016363636,618.0987252576415,199.74120216326546,169.45454545454547,147001,48.82611937880843,53.524338
,,,,,,,147172,,
758.1,4,229.89247,538.1136395454546,490.43475405284516,209.60285319160403,164.0,148001,34.62302108149424,39.86648
,,,,,,,148114,,
690.4,3,212.66138,355.64160072727276,312.19552023405026,167.65391318069095,124.54545454545455,149001,71.99964047529285,75.76572
,,,,,,,149022,,
,,,,,,,149720,,
653.1,2,195.93881,174.5761050909091,156.24424406273857,110.17865740244224,87.36363636363636,150001,122.91086407330621,124.85489
