eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_eplenmean,eval_discount_q,eval_qs_difference,total timesteps,eval_qs,eval_time_elapsed
71.050545,3159.3656530000003,3438.506762553717,3003.4,910.7272727272727,286.52841502931074,53.69486403332726,129001,342.66287,28
48.317078,3561.4162837272725,3464.9110225310474,3028.6,1000.0,315.9259472938938,31.927629077594034,130001,356.79257,31
,,,,,,,130324,,
58.04163,3353.674272363636,3557.2201259913227,3090.0,1000.0,291.88591521208485,54.49113693665535,131001,360.96185,31
52.828075,3474.6335584545454,3342.818322102337,3154.6,1000.0,304.8900950039133,47.48703221256855,132001,364.76627,31
53.77455,3505.6834145454554,3480.134843778882,3220.8,1000.0,320.9842605694793,45.927162313196,133001,364.71805,31
55.24845,3631.431218727272,3523.250742520486,3373.6,1000.0,326.40187729371615,37.801187669157095,134001,368.63052,31
,,,,,,,134324,,
57.435318,3240.5129156363637,3421.108103248142,3381.9,951.3636363636364,326.20762779561386,49.00169336087674,135001,354.73718,29
69.491936,3025.854912090909,3222.189191216804,3358.9,914.8181818181819,293.37960961814343,64.95176795414353,136001,361.93182,28
53.996983,3452.913547363636,3711.3378771544326,3380.3,995.0,309.39681597363153,44.570678217028366,137001,360.87784,31
55.029526,3674.485264545454,3684.562622360205,3433.5,1000.0,328.8325874137088,42.835500084213656,138001,377.7296,31
,,,,,,,138324,,
56.724865,3612.6367623636365,3863.7098648810315,3438.6,995.6363636363636,330.04931447811884,47.30394748382669,139001,377.3328,31
94.57715,2890.251867090909,482.94720186592616,3420.3,771.7272727272727,287.1112090929141,80.38703315221674,140001,369.85632,24
68.71677,2873.6207318181814,2109.2179299131844,3336.5,909.3636363636364,295.258507286157,61.746687124649846,141001,341.1259,28
51.949276,3801.131099,3927.237025053689,3351.8,1000.0,337.2894758136897,35.87894549468877,142001,382.60037,31
,,,,,,,142324,,
51.40957,3736.764247181818,3900.9808050127913,3367.6,1000.0,333.37798500844406,40.887727018413806,143001,381.5597,31
54.760098,3763.119896636363,3654.2271709434663,3405.6,1000.0,341.81104438962967,45.85494600033628,144001,388.32764,31
49.979015,3800.7102775454546,3772.5428926042214,3504.2,1000.0,327.42784302679405,43.00796396294723,145001,390.6636,31
,,,,,,,145437,,
70.642624,3436.315092090909,448.8179695149563,3542.5,972.1818181818181,350.027518807563,56.64588270842916,146001,374.93875,30
52.587208,3767.1657279999995,3700.9263883458825,3521.1,1000.0,335.62095963189154,47.15247755365363,147001,390.64258,31
60.163742,3686.089988636364,3519.2628099296862,3535.1,1000.0,320.50245396405273,58.363983048435244,148001,395.24326,31
,,,,,,,148876,,
48.422306,3919.141807545454,3873.2757609060723,3611.2,1000.0,337.1764214411741,39.379975701913295,149001,397.91367,31
81.10151,3134.749659454545,4078.5383344945217,3651.0,808.8181818181819,340.83692855227287,64.70022719197743,150001,390.19083,25
51.46836,3888.087695090909,3857.7198088305804,3684.2,1000.0,348.9283008454179,46.23014958718361,151001,400.49503,31
94.40252,2678.873443909091,4085.93784613277,3563.4,1000.0,298.41375837174735,87.4008687408955,152001,325.74524,31
,,,,,,,152659,,
116.586624,2302.639193909091,3964.909056204501,3403.7,794.5454545454545,311.1160367273937,111.02245404122033,153001,351.4225,25
99.05889,2943.520089272727,3981.296557777508,3309.3,837.8181818181819,319.19333094405016,88.32413213296276,154001,379.28458,26
127.24534,2558.6471246363635,349.851337626225,3216.4,764.6363636363636,318.0391631140843,112.81338100139028,155001,363.7346,24
,,,,,,,155745,,
106.51177,3115.8377593636365,4126.953390906902,3139.5,870.9090909090909,334.52585187420095,87.62505227558978,156001,382.80652,27
163.62735,1668.2988895454546,568.005548732551,2950.6,629.1818181818181,282.30811653374394,154.45827829663185,157001,360.23782,19
,,,,,,,157088,,
127.808136,2280.4241070000003,4167.349962734044,2739.9,781.1818181818181,293.23252101263046,109.00614539701127,158001,348.9152,24
100.93369,2964.6006208181816,1000.5455187923319,2747.2,741.3636363636364,326.1733855642452,90.93544435199942,159001,408.27332,23
225.67783,412.73171799999994,232.24702156989358,2375.6,242.0,206.29265175684404,225.57342678094213,160001,370.14093,7
,,,,,,,160155,,
,,,,,,,160809,,
73.77334,3621.2526568181815,4211.579238682344,2402.6,997.9090909090909,346.4369673601841,63.5094832896572,161001,392.1259,31
74.02759,3576.021487272727,4319.666452347917,2580.3,942.4545454545455,369.00090623562664,57.41597877143483,162001,397.35156,29
85.09363,3294.540804909091,4212.9137829014435,2623.1,840.2727272727273,357.7516177598919,66.37833208709804,163001,410.30194,26
66.69705,3831.928397,4378.601835298661,2684.0,941.9090909090909,360.07998832159313,47.643058241267724,164001,413.374,29
,,,,,,,164216,,
205.76099,594.0061914545454,77.49466092806237,2527.5,588.8181818181819,230.85839246653396,204.1674860176262,165001,296.41898,18
81.55922,3877.4782753636364,4143.2363820497485,2695.2,910.0909090909091,335.2096901983098,69.12101176107502,166001,424.5475,27
63.529037,4096.0395103636365,4121.2738526492585,2890.1,1000.0,361.7371754635914,54.34096389535375,167001,428.13293,31
,,,,,,,167150,,
55.395447,4291.364959090909,4321.924833887252,3021.9,1000.0,365.7054417220542,40.119637324725815,168001,433.05127,31
66.77483,3443.5023218181814,4348.104324846149,3332.0,1000.0,346.4203685374578,50.825717250190195,169001,360.88034,31
159.57709,1801.9232136363637,3773.0036419062512,3214.1,665.5454545454545,274.3984824501617,155.68409789035863,170001,360.1575,21
,,,,,,,170296,,
81.61135,3951.945458454546,4016.3433714552957,3228.7,1000.0,364.8314090267175,66.14114313432903,171001,425.21732,31
65.125984,3971.020332636363,4187.532816708871,3323.5,919.6363636363636,379.83864779142186,46.02489842604442,172001,434.4989,28
64.52112,4122.9336802727275,4372.475355063008,3358.7,944.0909090909091,375.67632813201,46.24099359973924,173001,438.83868,29
,,,,,,,173578,,
63.986263,3849.919613,4348.020595428983,3632.1,1000.0,342.71603917245085,56.59272087869536,174001,407.6558,31
94.34656,3816.648417000001,4206.9658287910315,3708.5,910.9090909090909,348.438922745359,84.49713286873204,175001,433.99054,28
63.674625,4058.030670636364,4523.638582660691,3700.2,905.0909090909091,391.189721382463,40.93440727050477,176001,441.7459,28
,,,,,,,176928,,
57.87632,4599.3409921818175,4835.70706188131,3737.4,1000.0,392.0526155410558,30.04130788034646,177001,451.1622,31
60.37681,4126.188645181817,4563.990940085462,3812.6,978.1818181818181,376.68634966058,41.617735150168066,178001,425.51572,30
96.55085,3279.4258362727273,792.5722644792818,3969.9,928.4545454545455,367.2078237779917,80.88414467026973,179001,388.34866,29
74.32481,4209.122051272727,4649.360296304947,3999.2,921.3636363636364,387.19718757166646,46.66920495575976,180001,445.40768,28
,,,,,,,180087,,
61.342587,4498.467413181818,4568.7960285117915,4059.8,1000.0,400.3614405075107,45.4797622965873,181001,455.6907,30
67.89245,3990.2505700000006,4437.962125130115,4021.7,931.2727272727273,377.95939856205774,53.83677848296235,182001,437.50897,28
57.810463,4429.074537636364,2822.753284040839,4092.1,1000.0,393.1715090850868,39.43263560018162,183001,443.41605,30
,,,,,,,183196,,
114.839,3845.7161349999997,4593.535134881245,4098.6,820.0909090909091,333.98442210168565,91.26177501153,184001,444.23917,25
57.72024,4665.622047636364,4887.128836481145,4184.4,1000.0,411.2953626241524,33.06008331194781,185001,458.90408,30
71.39556,4638.750560181818,4725.446692925113,4191.2,1000.0,398.6772599736832,36.775913554974565,186001,461.18192,30
,,,,,,,186440,,
59.02373,4495.025891090909,4815.243003865641,4226.2,1000.0,412.0363838183173,38.57645795695442,187001,447.2874,30
62.78837,4710.373383454546,4889.1126628268175,4347.2,977.4545454545455,421.0146750969911,28.48236472513755,188001,467.53107,29
60.28561,4621.065450000001,4489.423272642454,4395.5,1000.0,386.10386406511896,44.81687029504595,189001,468.69913,31
,,,,,,,189028,,
128.87628,2595.261904454546,3563.751045551643,4231.1,699.8181818181819,336.00638198816125,116.61479498876155,190001,407.99637,21
69.49352,4454.344081727272,4405.676554388684,4273.9,1000.0,366.0118864745094,62.96039771711127,191001,472.15964,30
113.90495,2967.5980832727273,4722.580684037353,4095.7,708.8181818181819,333.4413389410349,98.45977348425363,192001,430.78577,21
,,,,,,,192149,,
63.72913,4642.316720090909,4842.419125809118,4203.3,976.4545454545455,406.29446526233585,28.572129331532167,193001,462.76404,29
67.09274,3801.785152000001,4974.8732881429505,4108.3,885.0909090909091,405.8532805105069,41.22467351152911,194001,426.9701,27
66.99239,4267.236989181818,3728.8318401895067,4079.8,975.2727272727273,406.31777634841876,43.358420824357204,195001,440.99063,29
75.16621,4248.588735636364,4941.247811069673,4040.1,862.8181818181819,410.9604213788056,44.910168046257766,196001,478.43015,26
,,,,,,,196149,,
109.272675,2339.6181103636363,5052.856192946253,3778.8,813.1818181818181,344.872249067454,95.14279495244297,197001,337.8113,25
60.51633,4190.7257025454555,2996.087223566274,3747.0,963.2727272727273,390.48920564725637,37.480591326387625,198001,433.8203,29
62.663284,4356.119623272727,4744.801706283004,3872.2,951.5454545454545,418.4840974167195,41.509864083897554,199001,454.339,29
,,,,,,,199121,,
70.5429,3739.4156809090914,5143.048643664556,3837.0,857.3636363636364,379.8289279729033,47.549010887123444,200001,442.6296,26
138.7632,2954.6775428181822,4913.835365280944,3807.7,637.1818181818181,357.2396825500922,116.49146887969383,201001,456.32315,19
,,,,,,,201960,,
125.95065,3296.3652235454542,4320.740725106829,3704.7,744.8181818181819,342.2884875572139,109.82461110423128,202001,448.72806,22
80.50823,4043.2279947272723,4941.675667138903,3724.9,803.3636363636364,427.7644576692699,48.234490165313716,203001,484.32196,24
95.84128,3682.1532900909083,5115.9400063892945,3648.2,865.9090909090909,399.2259695410892,76.2927884042385,204001,443.36804,26
108.8603,2955.8784400909094,4638.880161434779,3523.7,853.3636363636364,408.8379140402292,99.91602626464851,205001,411.80237,26
,,,,,,,205146,,
117.906395,3005.2236061818185,4736.363057376659,3556.5,845.0909090909091,376.278272261633,102.00000159364312,206001,402.22278,26
66.93598,4823.132594818182,5070.681712001557,3641.3,1000.0,431.44260859620664,47.22808050494055,207001,486.8285,30
99.82881,4182.458644363637,5144.699759663056,3613.4,1000.0,391.6393526666816,76.48155677765067,208001,455.95508,30
,,,,,,,208408,,
69.66936,5066.727909454546,4856.221995238014,3783.4,1000.0,437.8846524355342,32.68263638466087,209001,496.00488,30
