#{"t_start": 1641963240.2401874, "env_id": "Ant-v2"}
r,l,t
3.087548,108,35.783293
-10.755103,35,35.880727
-4.648022,137,36.260406
-74.116063,133,36.608476
-29.48845,92,36.861521
6.795028,172,37.281003
-84.949799,124,37.655972
-19.322604,29,37.74538
-73.469521,91,37.993502
5.859199,40,38.097909
-316.16598,1000,64.547206
-380.27625,1000,94.229259
-6.072362,132,121.2884
2.428063,46,121.567358
0.387771,19,121.618893
-310.393049,1000,154.351271
-57.036808,148,155.255786
-44.179155,102,155.712002
-10.821822,46,155.832184
15.403163,90,156.249449
12.331753,33,156.34033
-3.901469,36,156.643818
-2.395062,41,156.740663
-13.586615,24,156.801303
-46.108212,64,157.173321
-16.049207,34,157.260241
-21.605159,38,157.588428
-12.899574,108,158.063248
-12.10769,13,158.113674
-32.656987,181,183.337057
-11.895923,44,183.468202
-149.047468,338,184.946938
-30.923737,28,185.341101
-51.745136,147,185.927139
-62.235714,110,186.464029
5.806526,55,186.88173
-12.178735,28,186.95846
-72.104236,65,187.397712
-21.725053,48,187.514565
-33.622894,51,214.455209
-18.112401,26,214.523047
-144.67415,261,215.998858
-22.447811,38,216.135023
-265.634388,1000,245.256617
-63.175829,107,246.043796
-8.721525,72,246.585406
-54.401059,139,247.260629
-59.855951,84,247.837585
-13.0233,39,247.93881
-14.189669,35,248.39567
-31.822281,71,248.933738
-2.585981,72,249.101727
-2.050651,19,249.157948
-14.977072,24,281.6029
-20.747466,54,281.724461
-74.850159,116,282.381037
-340.315901,1000,315.066517
-1.496665,31,315.796116
-441.672565,1000,348.946916
-27.167903,188,350.515716
-317.435206,1000,384.405986
-21.956277,62,384.733102
-11.402314,289,386.991634
-43.478965,129,387.871676
6.156862,28,388.511922
-40.706367,83,388.695912
-39.662645,86,413.133002
-45.524947,65,413.871048
-16.359896,48,413.98805
-351.326347,1000,445.605144
-60.106826,62,446.5586
-36.897744,48,447.300714
-5.024289,54,447.428685
-4.88302,26,447.496681
-69.225532,140,449.061378
-53.583144,60,449.233205
2.91492,20,449.963916
-28.285133,108,450.841419
-5.958693,15,450.89624
-303.6181,1000,484.647991
-11.863857,52,484.963582
-153.251035,173,486.755146
-6.211153,103,511.180914
-377.300327,1000,544.501992
-86.01804,120,545.707928
-18.478681,78,546.656543
-22.378147,86,547.62162
-20.677233,42,547.729959
-11.37395,55,548.627868
-32.746808,71,549.556588
-6.883977,47,549.672631
-3.853935,19,549.724049
-1.826833,150,551.619393
3.16353,25,551.703697
-152.185343,289,580.066628
-367.777298,1000,614.675414
-24.582039,33,614.940906
-29.856007,100,616.009241
-18.554887,43,616.986268
-23.135963,110,618.087692
-38.677561,52,618.221468
-3.063588,13,618.260685
18.998725,77,619.31376
-10.981807,16,619.365082
-239.777495,364,623.675549
-9.60447,12,623.775492
-325.930267,1000,661.5971
-25.312116,138,663.02979
6.653009,25,686.250877
-315.548271,1000,721.797936
7.267814,26,722.052074
-50.460422,102,723.266435
-21.359051,49,723.394189
19.719538,97,724.613974
-5.352661,47,725.746123
-310.581,1000,765.428564
-6.405965,17,765.660341
3.236053,24,765.716675
-46.908801,67,766.906832
-7.064689,30,766.986927
-25.70806,102,768.268331
4.605647,68,769.503465
-23.433504,54,770.72254
6.401326,142,772.131567
-2.195711,27,772.219546
-30.639099,54,773.43205
-5.28818,21,773.489282
-96.78859,149,802.540738
-57.409254,134,805.071974
-0.655819,50,805.206632
3.500479,32,806.394119
-44.32971,74,806.559611
-6.073223,66,807.831713
-121.204368,203,810.503998
2.67574,26,810.60189
-394.518046,1000,847.837192
-28.740971,119,850.606197
3.005294,36,850.708379
-16.414165,45,850.813821
129.913638,1000,918.779816
516.508047,1000,987.318626
853.691753,1000,1056.206893
830.336123,1000,1125.24394
923.83956,1000,1194.771213
914.282992,1000,1264.768999
862.776999,1000,1335.088283
911.507716,1000,1405.720734
905.708222,1000,1476.680217
757.843918,1000,1548.213632
325.291309,1000,1617.019761
858.562862,1000,1688.441761
523.201966,1000,1760.527826
232.866095,1000,1828.230128
210.886971,355,1871.687028
32.454232,1000,1944.751969
-1292.544068,1000,2010.824096
932.097579,1000,2075.189026
1144.130229,1000,2139.45622
82.28924,111,2143.993217
229.685718,256,2156.418214
38.423515,46,2156.603976
919.4881,1000,2225.987017
945.899593,1000,2295.956259
-246.061702,1000,2368.532091
934.396071,1000,2436.02832
851.409226,1000,2511.758567
1076.577637,1000,2572.545907
960.402381,1000,2628.713304
115.686452,105,2633.493544
896.238589,1000,2690.005099
1438.374319,1000,2760.00508
164.951944,121,2764.90538
959.042984,1000,2833.954238
99.583294,74,2838.801716
119.269369,148,2873.512343
786.45434,516,2901.770361
882.734995,1000,2975.001229
270.875301,168,2980.039967
26.85848,24,2984.508152
808.151842,446,3030.724764
232.564288,156,3040.896923
73.844365,77,3041.163583
905.099198,1000,3105.03993
1555.947863,943,3178.430033
1287.654454,742,3237.578324
0.868894,19,3237.78051
1243.84689,1000,3314.371193
1354.653683,755,3355.132126
1793.988418,1000,3422.473686
860.812808,503,3475.426992
85.280684,88,3480.610626
281.867054,171,3490.697865
28.455222,23,3490.803484
1145.306024,1000,3561.55582
1105.861198,599,3617.920693
238.483321,143,3623.366811
1177.776729,1000,3698.975834
178.766768,123,3704.47838
916.023671,1000,3787.597909
931.894614,1000,3866.262129
1613.220924,1000,3944.481417
112.5759,68,3950.02293
1976.738771,1000,4028.382683
1260.884039,1000,4104.166289
708.649212,359,4144.993772
1168.406797,1000,4219.906464
925.711671,1000,4288.259914
959.167049,1000,4356.910806
918.14048,490,4384.387584
247.048744,138,4389.999752
109.327137,76,4395.48369
1302.572486,696,4451.572302
2008.641242,1000,4528.048789
612.723925,290,4544.712555
1036.659493,502,4589.613603
1621.156325,1000,4670.581159
1371.357928,733,4710.234084
2187.582273,1000,4789.600253
1203.861738,1000,4868.797836
975.348047,404,4916.109854
1313.795161,1000,4983.376935
981.412263,1000,5050.825729
674.738165,313,5068.356833
2294.698673,1000,5150.173987
41.157546,23,5150.430266
126.470509,56,5156.213662
1706.657109,1000,5244.21742
1515.508274,654,5299.936449
1515.193998,1000,5376.150211
152.035554,67,5382.416577
142.742218,62,5388.546031
1249.52239,1000,5459.964784
88.311367,41,5460.287933
111.480515,54,5466.462128
738.09013,363,5485.571754
915.896233,1000,5567.170618
531.246677,209,5601.943269
1104.010977,1000,5692.198142
1134.509315,1000,5781.707448
740.802974,289,5801.183581
57.93884,55,5807.704356
1633.879139,1000,5885.11597
