eval_time_elapsed,eval_qs_difference,total timesteps,eval_eplenmean,eval_qs,eval mean 100 episode reward,eval_abs_qs_difference,eval_ep_rewmean,eval_discount_q,eval_returns
1,11.559349315720928,34001,100.0,-6.363287,-64.6,11.646185,-51.42820136363636,-33.8440052971953,-53.78922907425374
,,34400,,,,,,,
,,34800,,,,,,,
1,15.82557925876231,35001,100.0,-7.651771,-61.9,16.42462,-63.87043690909092,-40.801098177895355,-62.94490738542216
,,35200,,,,,,,
,,35600,,,,,,,
,,36000,,,,,,,
1,13.837487970605578,36001,100.0,-5.2602344,-61.9,14.217639,-54.943573272727264,-36.20793024855592,-58.28661701548231
,,36400,,,,,,,
,,36800,,,,,,,
1,13.139859299675997,37001,100.0,-11.444716,-62.9,15.48923,-64.19599045454545,-40.01152953144162,-65.53732736400943
,,37200,,,,,,,
,,37600,,,,,,,
,,38000,,,,,,,
1,13.546745926759746,38001,100.0,-9.181686,-64.2,14.0435915,-61.51967918181819,-39.18307754255853,-60.17767448504842
,,38400,,,,,,,
,,38800,,,,,,,
1,19.962062885078673,39001,100.0,-6.453615,-63.8,20.370905,-70.83509490909091,-44.868097577873314,-59.70661444361346
,,39200,,,,,,,
,,39600,,,,,,,
,,40000,,,,,,,
1,14.109359670436676,40001,100.0,-7.0672927,-62.6,15.093341,-62.09804090909092,-41.334736369507716,-72.99819660976212
