#{"t_start": 1642392283.7078187, "env_id": "Pusher-v2"}
r,l,t
-149.686097,100,7.065563
-153.737019,100,7.539351
-149.069101,100,7.720844
-155.735146,100,7.915153
-139.752074,100,8.127994
-143.053898,100,8.355932
-153.317053,100,8.595562
-137.074197,100,8.855375
-142.937482,100,9.12952
-152.685639,100,9.413106
-144.908613,100,11.332784
-160.525708,100,11.649856
-160.295575,100,11.984179
-134.829656,100,12.32332
-150.858371,100,12.674924
-148.010895,100,13.041405
-162.587308,100,13.422224
-145.371391,100,13.815805
-139.89774,100,14.22897
-145.309123,100,14.654705
-148.717506,100,16.717696
-157.214325,100,17.179684
-150.410166,100,17.65252
-149.23263,100,18.133124
-134.025893,100,18.625497
-150.873008,100,19.138569
-139.580373,100,19.660391
-145.247923,100,20.203516
-154.007654,100,20.761158
-147.464322,100,21.34589
-159.159424,100,23.523833
-155.576654,100,24.111394
-145.698338,100,24.731006
-156.707175,100,25.375379
-148.150892,100,26.031695
-150.36766,100,26.688124
-149.72214,100,27.368363
-154.323675,100,28.044404
-150.327491,100,28.734442
-159.956216,100,29.453644
-167.593922,100,31.803472
-144.581166,100,32.53799
-142.409859,100,33.294
-148.66777,100,34.061989
-152.060297,100,34.838848
-145.475435,100,35.635949
-148.068868,100,36.448566
-145.845252,100,37.276798
-142.354104,100,38.127726
-147.937869,100,39.012309
-156.874825,100,41.548471
-146.97166,100,42.452405
-148.057097,100,43.374321
-151.266022,100,44.318948
-162.694269,100,45.265241
-151.038869,100,46.225415
-163.466343,100,47.204115
-146.320795,100,48.215311
-149.6483,100,49.216873
-164.505168,100,50.258209
-155.094424,100,52.94026
-157.905571,100,53.999518
-158.342948,100,55.06315
-153.444274,100,56.137312
-149.314729,100,57.239768
-160.889923,100,58.338524
-150.697929,100,59.467455
-146.186097,100,60.610363
-144.956412,100,61.770804
-167.050441,100,62.93915
-154.907697,100,65.717399
-143.346988,100,66.90734
-155.794958,100,68.125019
-152.943463,100,69.360177
-139.417158,100,70.609803
-155.61577,100,71.860992
-143.411522,100,73.12203
-155.03263,100,74.404839
-149.47845,100,75.687992
-142.807318,100,77.011874
-143.228214,100,79.975366
-140.25445,100,81.315093
-151.056583,100,82.673901
-140.919122,100,84.064038
-161.384931,100,85.487435
-150.85907,100,86.920233
-162.299403,100,88.352745
-154.469152,100,89.791741
-144.212808,100,91.261419
-152.563936,100,92.739534
-151.410268,100,95.808998
-146.356469,100,97.264682
-153.851538,100,98.759182
-140.556452,100,100.294987
-149.599181,100,101.859213
-157.564361,100,103.414869
-149.732736,100,104.942087
-154.335153,100,106.511191
-147.266551,100,108.118565
-152.416239,100,109.739424
-143.496147,100,112.990012
-145.625793,100,114.599763
-154.881328,100,116.214624
-154.963844,100,117.846573
-138.577678,100,119.501822
-141.077673,100,121.163083
-150.516448,100,122.895833
-151.056374,100,124.653053
-161.135222,100,126.377296
-136.692799,100,128.166935
-147.605173,100,131.632488
-155.504526,100,133.404448
-156.757073,100,135.079442
-166.847679,100,136.770903
-155.835779,100,138.512524
-158.67113,100,140.240007
-146.889587,100,142.061826
-155.149145,100,143.907892
-144.934867,100,145.798815
-138.578524,100,147.676837
-150.041907,100,151.113519
-149.040711,100,153.061022
-157.271558,100,154.981196
-144.680558,100,156.881802
-144.918093,100,158.796215
-150.294406,100,160.778684
-150.764136,100,162.751251
-155.242769,100,164.680111
-163.713936,100,166.66543
-153.090478,100,168.710857
-145.681058,100,172.418134
-154.159183,100,174.525944
-161.010674,100,176.578864
-162.753407,100,178.644849
-153.454533,100,180.597565
-154.436298,100,182.594112
-150.854243,100,184.643422
-144.925037,100,186.759553
-149.083199,100,188.892188
-153.031652,100,191.095858
-154.900698,100,194.857934
-143.269228,100,196.99591
-143.375397,100,199.265519
-147.115217,100,201.525835
-153.398117,100,203.703087
-144.235756,100,205.887303
-158.636466,100,208.034923
-131.726992,100,210.205521
-151.123737,100,212.394529
-148.439243,100,214.65296
-150.548442,100,218.512173
-153.171887,100,220.827421
-165.739405,100,223.24727
-148.450038,100,225.594849
-129.366542,100,227.947361
-145.841755,100,230.373915
-140.326927,100,232.73092
-149.600208,100,235.150782
-144.141121,100,237.530542
-146.009559,100,239.95951
-147.777447,100,243.904858
-147.16873,100,246.342832
-134.009163,100,248.885927
-157.569116,100,251.468899
-156.644522,100,254.024189
-154.123006,100,256.611884
-151.80767,100,259.176157
-151.785181,100,261.824423
-155.317892,100,264.510415
-157.884523,100,267.073457
