eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_discount_q,eval_qs_difference,eval_qs,eval mean 100 episode reward,eval_returns,eval_abs_qs_difference,total timesteps
,,,,,,,,,16963
17.09090909090909,83.57288036363637,0,77.17516481905814,-43.69809563373351,-1.7591858,84.0,83.22180152481684,43.698097,17001
,,,,,,,,,17065
,,,,,,,,,17144
,,,,,,,,,17266
,,,,,,,,,17346
,,,,,,,,,17432
,,,,,,,,,17541
,,,,,,,,,17641
,,,,,,,,,17719
,,,,,,,,,17829
,,,,,,,,,17950
17.454545454545453,85.38406418181818,0,78.70513861620321,-44.504479863958856,-1.7613944,84.1,88.2389774731666,44.50448,18001
,,,,,,,,,18092
,,,,,,,,,18184
,,,,,,,,,18285
,,,,,,,,,18375
,,,,,,,,,18484
,,,,,,,,,18589
,,,,,,,,,18680
,,,,,,,,,18754
,,,,,,,,,18842
,,,,,,,,,18961
17.272727272727273,84.52190236363637,0,77.98076244184506,-44.12230769174038,-1.762293,84.3,83.40201382993868,44.12231,19001
,,,,,,,,,19083
,,,,,,,,,19181
,,,,,,,,,19325
,,,,,,,,,19404
,,,,,,,,,19502
,,,,,,,,,19598
,,,,,,,,,19675
,,,,,,,,,19783
,,,,,,,,,19884
,,,,,,,,,19964
17.272727272727273,84.51755572727274,0,77.97640794532353,-44.120711859600846,-1.7618489,84.4,88.08170190980432,44.120712,20001
,,,,,,,,,20061
,,,,,,,,,20157
,,,,,,,,,20264
,,,,,,,,,20356
,,,,,,,,,20465
,,,,,,,,,20586
,,,,,,,,,20673
,,,,,,,,,20750
,,,,,,,,,20860
,,,,,,,,,20950
17.272727272727273,84.49255645454546,0,77.95330384445403,-44.10696609634926,-1.7611408,84.5,82.92816407183595,44.106964,21001
,,,,,,,,,21037
,,,,,,,,,21135
,,,,,,,,,21225
,,,,,,,,,21313
,,,,,,,,,21397
,,,,,,,,,21482
,,,,,,,,,21561
,,,,,,,,,21648
,,,,,,,,,21748
,,,,,,,,,21844
,,,,,,,,,21944
17.09090909090909,83.60356154545455,0,77.20355785005046,-43.71433477390992,-1.760316,84.3,83.00997700784262,43.714336,22001
,,,,,,,,,22048
,,,,,,,,,22154
,,,,,,,,,22254
,,,,,,,,,22365
,,,,,,,,,22451
,,,,,,,,,22536
,,,,,,,,,22644
,,,,,,,,,22725
,,,,,,,,,22810
,,,,,,,,,22925
17.272727272727273,84.50292563636366,0,77.96310049974501,-44.112633481320856,-1.7616309,84.4,82.88340957706963,44.112633,23001
,,,,,,,,,23039
,,,,,,,,,23141
,,,,,,,,,23215
,,,,,,,,,23308
,,,,,,,,,23399
,,,,,,,,,23487
,,,,,,,,,23575
,,,,,,,,,23664
,,,,,,,,,23772
,,,,,,,,,23880
,,,,,,,,,23963
17.181818181818183,84.016967,0,77.54940730310899,-43.89592066420179,-1.7594085,84.3,83.40905510170538,43.89592,24001
,,,,,,,,,24070
,,,,,,,,,24162
,,,,,,,,,24269
,,,,,,,,,24377
,,,,,,,,,24486
,,,,,,,,,24570
,,,,,,,,,24680
,,,,,,,,,24778
,,,,,,,,,24885
,,,,,,,,,24988
16.0,76.30631772727271,0,70.8499692491617,-40.049223724762165,-1.5189233,83.5,76.38519666650872,40.04922,25001
,,,,,,,,,25086
,,,,,,,,,25156
,,,,,,,,,25270
,,,,,,,,,25372
,,,,,,,,,25580
,,,,,,,,,25802
37.81818181818182,198.13816445454543,1,164.21380492220217,52.04791985539603,146.05342,94.9,194.44625558033417,55.14065,26001
,,,,,,,,,26061
,,,,,,,,,26216
,,,,,,,,,26369
,,,,,,,,,26524
,,,,,,,,,26676
,,,,,,,,,26845
40.18181818181818,212.78278754545454,1,174.42373815771813,128.30879006487166,228.07315,108.8,211.9810097930388,129.22655,27001
,,,,,,,,,27032
,,,,,,,,,27184
,,,,,,,,,27359
,,,,,,,,,27563
,,,,,,,,,27729
,,,,,,,,,27871
37.63636363636363,187.07211281818184,1,155.87515207018535,188.70333754689503,275.6952,120.3,182.41284410222877,188.70767,28001
,,,,,,,,,28007
,,,,,,,,,28137
,,,,,,,,,28234
,,,,,,,,,28300
