#{"t_start": 1642104105.6237328, "env_id": "Walker2d-v2"}
r,l,t
1.368173,21,15.20607
3.721363,28,15.264964
7.057357,34,15.336867
0.524647,30,15.686692
5.629279,21,15.735164
3.875534,17,15.773014
-10.221317,18,15.811876
-5.156813,13,15.841731
8.563708,20,15.907081
12.738125,31,15.968414
14.514612,36,16.040706
-1.204589,21,16.086267
-3.773153,12,16.144745
9.018219,22,16.188321
1.20645,17,16.224172
-0.747913,12,16.250635
1.01803,12,16.275958
-3.87217,27,16.329922
-3.303942,20,16.417183
-2.496865,19,16.456839
0.296574,12,16.484695
1.081479,31,16.546575
-4.103899,12,16.575198
8.683938,21,16.671649
8.88068,37,16.744763
-1.00699,22,16.791908
0.288385,25,16.842052
-3.026692,15,16.938611
3.702464,23,16.983759
-3.133074,20,17.024962
-2.926517,20,17.065246
10.454512,31,17.12493
-2.931716,17,17.237497
-4.12178,14,17.266318
-3.196719,20,17.305754
0.882334,18,17.342497
1.236557,21,17.385034
2.540886,19,17.508914
0.601883,12,17.53467
2.844198,22,17.577757
2.992921,13,17.606039
6.67369,22,17.648594
-0.988648,24,17.791286
-0.216882,13,17.819773
-4.045745,13,17.84637
0.1708,12,17.872276
9.628943,49,17.967112
0.669788,11,17.999014
1.516533,15,18.767838
-3.390172,16,18.800229
-0.838086,26,18.850445
18.952369,45,19.050421
1.544674,16,19.088381
2.731808,16,19.121164
4.523908,15,19.152376
-0.911678,11,19.17596
-2.017104,9,19.195609
2.483321,13,19.221284
-2.412169,13,19.249163
-1.927988,9,19.404069
-1.6081,24,19.450415
4.305417,20,19.491949
-2.576571,15,19.523558
-1.380773,17,19.558325
1.599835,21,19.747653
-8.707578,14,19.778306
5.401237,44,19.864006
2.552789,21,19.913831
-2.029416,21,20.119784
1.39164,23,20.168754
1.750347,13,20.197748
2.545283,12,20.22309
4.78991,16,20.255898
-2.949969,19,20.294258
-1.608298,20,20.501656
-3.357693,12,20.528242
24.147615,47,20.616336
-4.817687,15,20.654588
-7.200798,37,20.9108
-0.016078,12,20.942223
4.785734,15,20.974405
4.106,26,21.028088
-0.114693,10,21.053739
6.787188,19,21.093854
-4.564898,15,21.325204
-4.651767,20,21.366207
0.105781,22,21.412355
-3.217379,10,21.436986
-5.059215,23,21.483871
-1.755799,11,21.510655
-2.44178,25,21.793336
13.319724,34,21.861742
-2.446401,11,21.889149
3.735141,19,21.926207
0.623249,14,22.188964
10.880515,33,22.255773
-0.3584,15,22.292589
-6.137599,11,22.317367
5.259332,23,22.363057
-2.731541,23,23.270984
10.471817,21,23.313964
1.207583,19,23.352569
4.497297,21,23.394558
9.737471,30,23.455796
-0.72777,17,23.755923
3.969399,22,23.805835
4.048674,18,23.848346
2.929435,16,23.886303
5.919314,25,23.941263
-1.373569,9,24.244673
4.104082,24,24.296359
-2.016014,15,24.333459
0.976399,25,24.388573
3.880232,19,24.433523
-2.849528,15,24.755732
0.110746,13,24.785214
-6.39006,14,24.81624
-3.027566,11,24.84112
1.514275,16,24.874536
2.355687,13,24.903147
-3.847321,10,24.925925
-1.986964,19,24.964606
-0.624072,22,25.283082
4.763634,14,25.313214
1.855835,13,25.340372
1.894449,13,25.366873
5.570634,22,25.409365
9.35073,25,25.734728
18.060184,58,25.843635
3.764834,19,25.889019
-0.171805,10,25.911366
1.001871,31,26.270688
6.768575,23,26.321614
-0.260327,15,26.355654
-4.804413,13,26.384119
18.947636,31,26.74976
-0.791159,15,26.783615
