eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
,,,136123,,,,,,
,,,136890,,,,,,
6,212.60118636822025,276.77728,137001,72.53227310915439,656.9884733636364,215.63636363636363,77.760864,611.1161759820304,720.0
,,,137823,,,,,,
6,213.9714617830733,270.70804,138001,70.95172861003792,644.8542186363637,211.63636363636363,73.45886,791.1264456234968,725.7
,,,138845,,,,,,
4,147.8095477387099,216.2571,139001,94.26926783209801,361.9783934545455,150.27272727272728,102.72298,375.7642701592446,688.8
,,,139535,,,,,,
7,219.31318901714658,292.8039,140001,70.14366038817182,840.5972364545454,269.54545454545456,73.64081,519.0931083569728,702.0
,,,140652,,,,,,
6,200.67524582866025,254.43193,141001,57.01558992270097,653.2627513636363,224.0,62.2254,908.7456762562906,687.4
,,,141521,,,,,,
5,196.94229723623775,265.99667,142001,82.82950663513367,602.7213121818181,196.8181818181818,86.34805,185.7711896485662,682.7
,,,142299,,,,,,
7,234.0443666256576,289.4358,143001,52.57107935825659,859.1904702727272,258.8181818181818,60.79779,1305.8823038462315,671.5
,,,143198,,,,,,
7,227.58724526955993,288.42764,144001,67.86901436880736,797.2796969999999,251.63636363636363,71.073296,533.3713518894975,691.0
,,,144030,,,,,,
,,,144919,,,,,,
6,230.77535285441252,309.92914,145001,82.69172497325106,779.3113842727272,240.72727272727272,85.56424,813.6451591266729,687.9
7,232.61154625578658,302.0915,146001,73.5470009894564,841.1504853636362,263.0,75.48528,930.0673105756257,707.0
,,,146011,,,,,,
,,,146910,,,,,,
4,168.21630302990948,237.1315,147001,95.97482067717748,411.9790260909092,152.27272727272728,98.532684,201.60145110699034,690.8
,,,147952,,,,,,
5,180.24478225867972,254.91797,148001,93.03653639213375,529.1744688181818,180.72727272727272,96.202225,374.61763410002686,697.9
8,231.9817087059244,308.84033,149001,81.54640584270614,962.1278723636365,305.1818181818182,83.64694,1164.1927308831846,711.5
,,,149382,,,,,,
8,217.10470972419978,290.07278,150001,79.88291937287156,877.6910658181819,292.6363636363636,83.7794,757.9024018625247,741.0
,,,150558,,,,,,
12,227.34661708517524,320.29144,151001,56.57110870454,1376.6705656363638,423.45454545454544,62.067787,867.4677539280381,813.3
,,,151553,,,,,,
7,224.0143410737941,302.45975,152001,87.26211086332532,816.5572546363636,264.8181818181818,89.14122,626.0565159857429,828.4
,,,152810,,,,,,
2,93.06297370205995,207.165,153001,147.57738416044302,145.1093434545455,88.0,148.53265,151.51621924297643,753.3
5,197.60123695223862,274.36047,154001,97.10893088525712,598.9161419090909,204.63636363636363,101.33924,751.7171770298206,730.1
,,,154076,,,,,,
,,,154928,,,,,,
5,191.93953705068063,264.0342,155001,87.17897129509015,629.7196644545455,203.45454545454547,91.66944,981.7717652333332,707.2
3,137.3453649146318,227.01959,156001,116.36383165246436,312.36494936363636,123.9090909090909,121.788574,487.3501145190307,689.3
,,,156098,,,,,,
5,198.52895338456003,241.50807,157001,62.8265210153674,553.0227500909091,188.9090909090909,70.0938,1140.3716530080692,684.2
,,,157015,,,,,,
,,,157854,,,,,,
7,232.37857185120183,304.7551,158001,80.94360455917007,799.2881926363636,251.1818181818182,82.77148,678.7075544610246,685.3
,,,158976,,,,,,
6,219.54281632295258,289.2393,159001,84.31230787707543,695.9975367272727,221.8181818181818,88.18434,961.539324320235,656.9
8,239.0056502180875,305.68967,160001,63.30108314639392,990.1022282727273,295.45454545454544,65.56311,518.4837955879591,630.8
,,,160317,,,,,,
6,212.46912077327744,296.50134,161001,99.12175266338885,662.6937166363637,215.45454545454547,101.63457,615.6948113466204,601.2
7,218.45407626014347,295.35516,162001,88.7401778602536,830.432956909091,278.1818181818182,90.68253,460.7559163740071,666.2
,,,162136,,,,,,
,,,162965,,,,,,
10,244.27454844663197,323.51837,163001,64.88642850134248,1201.0580035454545,362.45454545454544,68.48473,1322.1615637952013,737.4
,,,163896,,,,,,
8,224.8089304384687,294.48376,164001,70.42241874670287,936.7148839999999,288.27272727272725,82.31742,805.162546311649,776.4
,,,164687,,,,,,
9,236.36486559634588,307.665,165001,57.76002650017461,1197.8186744545455,351.1818181818182,60.898476,896.8353907067269,862.9
,,,165507,,,,,,
7,224.56245741044077,291.53967,166001,71.44521126663675,812.4379441818182,252.1818181818182,77.06274,1113.9478555022138,898.8
,,,166529,,,,,,
3,140.49471967584742,227.31151,167001,116.60182376478942,311.7025536363637,124.63636363636364,119.751045,155.25509381813762,855.5
8,242.43812876208466,320.38245,168001,72.12669988815037,988.9884928181818,290.0,74.296005,856.9113454291421,878.5
,,,168207,,,,,,
10,245.127038201796,340.36984,169001,85.40264491562795,1254.7394147272726,369.90909090909093,87.79811,2161.511115821616,894.9
7,234.95680309989456,314.60745,170001,86.23827899223839,891.3691330909089,269.72727272727275,90.41149,611.2621493192304,934.8
,,,170391,,,,,,
11,252.7924293782443,337.5635,171001,62.6321639447322,1361.6172465454547,383.45454545454544,72.47369,1839.1220082796176,979.1
,,,171976,,,,,,
10,258.5781243400193,327.08313,172001,53.27018776174476,1256.6107444545455,357.3636363636364,58.847473,806.6669214192453,1009.0
9,245.8590128296434,334.41263,173001,85.47739658811207,1115.563359,335.54545454545456,87.93853,874.451694058541,1026.9
,,,173217,,,,,,
8,249.74764937003962,329.08627,174001,72.85043149737513,999.6255939090909,282.90909090909093,78.67993,944.7230201716396,1000.3
,,,174588,,,,,,
10,259.70318979368625,322.30475,175001,49.17712812418551,1251.6734954545454,355.8181818181818,56.223557,2179.5750150850654,1033.3
,,,175510,,,,,,
8,225.0759596841833,309.7452,176001,90.4496125204579,904.0065692727275,282.90909090909093,95.06621,471.8539546168713,1103.9
,,,176401,,,,,,
10,241.51750861359244,342.8637,177001,89.06875526818833,1186.3758931818184,341.6363636363636,90.165924,1949.7867534624727,1121.0
,,,177444,,,,,,
12,249.33541812070504,348.10648,178001,73.24936923116942,1528.892442909091,440.45454545454544,77.69825,564.5436439457978,1193.7
9,242.1289303540242,333.3574,179001,74.007623770937,1242.3033453636363,343.54545454545456,77.06479,1130.3137457965825,1193.4
,,,179058,,,,,,
9,201.0927891226844,311.32654,180001,81.96805723919996,1059.6155032727272,345.3636363636364,88.48479,880.346103033857,1183.5
,,,180869,,,,,,
11,245.34818682278654,348.90475,181001,58.92539430330763,1408.4913846363636,395.1818181818182,63.760555,1348.2598313459898,1186.6
10,253.07657253488995,353.33154,182001,63.46794750852378,1408.0917874545453,376.72727272727275,67.027954,1339.6963390303142,1222.6
,,,182050,,,,,,
11,250.4997207022134,331.11,183001,63.67363454583895,1431.2997057272726,398.45454545454544,77.269035,2280.5308459116354,1250.7
,,,183685,,,,,,
15,268.18185812945643,359.32208,184001,36.8888596251971,2019.9715294545451,524.3636363636364,45.287807,709.1093069285018,1370.6
10,245.7240929282748,341.43176,185001,71.78254944038653,1345.2949416363635,358.8181818181818,77.53864,441.64907352408915,1399.3
9,238.0025502289571,335.4786,186001,81.99491574902795,1152.7942786363635,321.72727272727275,85.78613,645.433793057054,1416.9
,,,186105,,,,,,
10,252.85488731199877,334.52637,187001,59.66773705197907,1343.6315877272727,364.6363636363636,64.95802,976.0405565087706,1382.4
,,,187680,,,,,,
12,238.4340688546563,346.03125,188001,90.25993918364378,1367.0668563636364,420.27272727272725,92.42756,1517.2180249080766,1406.9
,,,188777,,,,,,
12,232.3181155731956,367.3588,189001,110.83773201396792,1463.430466,444.45454545454544,111.88635,1203.6784625565533,1432.7
,,,189670,,,,,,
13,232.0433018477941,367.91766,190001,92.39499672169704,1630.4863202727274,468.6363636363636,94.53842,2576.3296898692965,1447.4
6,194.58112858804097,308.82684,191001,113.28769746600766,815.7402856363638,234.63636363636363,115.25996,1482.1144511467558,1393.9
,,,191160,,,,,,
3,140.12319951065854,255.9213,192001,148.7195145555342,282.22862563636363,112.9090909090909,149.3863,186.22165582698983,1291.8
,,,192206,,,,,,
,,,192944,,,,,,
6,202.41385934328306,284.0317,193001,85.00317284466989,767.6145596363637,221.1818181818182,95.08544,492.09598349498185,1135.5
,,,193421,,,,,,
,,,193913,,,,,,
11,248.95573638793067,357.01608,194001,68.82797428306303,1497.0946838181817,393.72727272727275,71.115204,1158.3944073063988,1135.1
,,,194845,,,,,,
6,146.37697037655104,309.075,195001,150.36937792362164,737.931108,226.0909090909091,153.19363,1707.7458893227831,1095.4
,,,195754,,,,,,
8,165.4092280201798,320.07675,196001,119.15166152314212,946.3165483636363,292.45454545454544,121.65695,193.62559904938644,1062.6
,,,196257,,,,,,
4,137.01666507759086,259.4894,197001,138.10791097958642,474.0074360909091,165.54545454545453,140.57089,121.1113584146518,970.7
,,,197358,,,,,,
7,203.4124073957967,312.9722,198001,93.50914846780911,811.6992900000001,245.63636363636363,98.64453,1283.5851817563996,882.2
,,,198808,,,,,,
2,96.12497032935553,233.09703,199001,171.98952538600346,142.85607936363638,76.9090909090909,175.05267,138.37368460952155,749.4
,,,199771,,,,,,
7,233.5052366966691,336.13425,200001,93.88971462044198,859.1198003636363,250.54545454545453,95.88682,539.6147909179873,741.0
,,,200407,,,,,,
,,,200938,,,,,,
7,211.56239505392762,327.26456,201001,108.00010463145931,934.2779954545455,260.8181818181818,111.20559,1085.7015507644116,781.6
9,239.93372518341658,341.31845,202001,82.84921671143321,1132.9242070909092,314.3636363636364,85.17037,1386.181337032159,842.5
,,,202903,,,,,,
6,211.8492184666845,264.37622,203001,54.019664612400476,864.3273631818182,236.45454545454547,67.74019,559.2124986999088,773.7
14,252.25463768173142,385.63477,204001,53.597006556623136,1982.4783920909088,495.3636363636364,58.40033,1154.6930099800682,917.2
,,,204043,,,,,,
9,260.7405100834077,354.71667,205001,66.30034298476662,1262.7410439999999,329.1818181818182,70.954,957.6988832082478,925.5
,,,205807,,,,,,
7,230.83763057420836,299.85977,206001,59.54300570260528,996.7462686363637,269.6363636363636,70.40379,902.6504384001756,982.0
3,130.0460417206035,249.77657,207001,148.74351187606047,259.5484902727273,103.63636363636364,152.85153,150.3726413474311,950.0
,,,207092,,,,,,
,,,207521,,,,,,
1,85.14670050397584,249.89638,208001,196.9327946291351,120.2946,67.9090909090909,199.89966,116.61869512957126,927.0
,,,208123,,,,,,
,,,208167,,,,,,
,,,208267,,,,,,
1,84.24192112612826,232.34438,209001,180.81070303105966,117.81247336363636,66.72727272727273,185.44298,110.31936367694519,856.2
,,,209131,,,,,,
,,,209467,,,,,,
4,148.67694212181456,293.1456,210001,158.75590553586778,509.8390416363636,162.8181818181818,159.76666,121.29446027446204,830.8
