eval_time_elapsed,eval_discount_q,eval_qs,total timesteps,eval_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_abs_qs_difference,eval_returns,eval mean 100 episode reward
,,,14997,,,,,,
0,-8.893534523336456,-0.6553834,15001,9.641003919366046,-11.267918181818182,23.90909090909091,9.641005,-12.345852100587871,-11.3
,,,15077,,,,,,
,,,15157,,,,,,
,,,15230,,,,,,
,,,15309,,,,,,
,,,15396,,,,,,
,,,15468,,,,,,
,,,15565,,,,,,
,,,15632,,,,,,
,,,15728,,,,,,
,,,15787,,,,,,
,,,15837,,,,,,
,,,15929,,,,,,
0,-8.690128006031776,-0.64488834,16001,9.457531316081452,-11.045490090909091,24.181818181818183,9.457532,-10.89439868802983,-11.3
,,,16001,,,,,,
,,,16094,,,,,,
,,,16180,,,,,,
,,,16250,,,,,,
,,,16326,,,,,,
,,,16429,,,,,,
,,,16526,,,,,,
,,,16626,,,,,,
,,,16707,,,,,,
,,,16853,,,,,,
,,,16929,,,,,,
,,,16987,,,,,,
0,-9.09373152968077,-0.63866,17001,9.629047002671387,-11.514236818181818,24.454545454545453,9.629047,-11.005593406039086,-11.3
,,,17066,,,,,,
,,,17124,,,,,,
,,,17191,,,,,,
,,,17262,,,,,,
,,,17342,,,,,,
,,,17397,,,,,,
,,,17463,,,,,,
,,,17545,,,,,,
,,,17619,,,,,,
,,,17692,,,,,,
,,,17780,,,,,,
,,,17893,,,,,,
,,,17964,,,,,,
0,-8.924289193121082,-0.6339136,18001,9.519652372678964,-11.301157363636364,24.272727272727273,9.519653,-13.040319460511947,-11.3
,,,18025,,,,,,
,,,18080,,,,,,
,,,18140,,,,,,
,,,18228,,,,,,
,,,18338,,,,,,
,,,18405,,,,,,
,,,18467,,,,,,
,,,18550,,,,,,
,,,18656,,,,,,
,,,18716,,,,,,
,,,18810,,,,,,
,,,18895,,,,,,
,,,18981,,,,,,
0,-8.96556109704826,-0.6404856,19001,9.536467866285513,-11.357051181818182,24.363636363636363,9.536468,-11.696763347741753,-11.4
,,,19046,,,,,,
,,,19115,,,,,,
,,,19213,,,,,,
,,,19324,,,,,,
,,,19412,,,,,,
,,,19503,,,,,,
,,,19566,,,,,,
,,,19630,,,,,,
,,,19698,,,,,,
,,,19771,,,,,,
,,,19842,,,,,,
,,,19954,,,,,,
0,-8.799782818680914,-0.64824194,20001,9.58100325184548,-11.223447545454546,24.545454545454547,9.581003,-10.93956160304567,-11.4
,,,20018,,,,,,
,,,20116,,,,,,
,,,20203,,,,,,
,,,20285,,,,,,
,,,20389,,,,,,
,,,20463,,,,,,
,,,20571,,,,,,
,,,20665,,,,,,
,,,20766,,,,,,
,,,20810,,,,,,
,,,20890,,,,,,
,,,20972,,,,,,
0,-8.90046979281726,-0.64914536,21001,9.488899462997345,-11.227089181818181,23.818181818181817,9.4889,-10.623749596153237,-11.3
,,,21087,,,,,,
,,,21152,,,,,,
,,,21203,,,,,,
,,,21267,,,,,,
,,,21327,,,,,,
,,,21427,,,,,,
,,,21488,,,,,,
,,,21570,,,,,,
,,,21644,,,,,,
,,,21716,,,,,,
,,,21815,,,,,,
,,,21894,,,,,,
,,,21975,,,,,,
0,-8.603482575095713,-0.6338626,22001,9.368862272144534,-10.945340181818182,24.272727272727273,9.368862,-11.055037794046635,-11.2
,,,22071,,,,,,
,,,22187,,,,,,
,,,22258,,,,,,
,,,22339,,,,,,
,,,22417,,,,,,
,,,22524,,,,,,
,,,22666,,,,,,
,,,22733,,,,,,
,,,22801,,,,,,
,,,22870,,,,,,
,,,22934,,,,,,
0,-8.861634317290724,-0.6349044,23001,9.489223248761354,-11.222052181818182,24.181818181818183,9.4892235,-10.859080588707998,-11.2
,,,23013,,,,,,
,,,23079,,,,,,
,,,23196,,,,,,
,,,23277,,,,,,
,,,23370,,,,,,
,,,23458,,,,,,
,,,23528,,,,,,
,,,23625,,,,,,
,,,23709,,,,,,
,,,23798,,,,,,
,,,23858,,,,,,
,,,23921,,,,,,
0,-9.12614469545742,-0.6443482,24001,9.613122550235367,-11.53469890909091,24.363636363636363,9.613123,-12.02844167979746,-11.3
,,,24026,,,,,,
,,,24098,,,,,,
,,,24194,,,,,,
,,,24303,,,,,,
,,,24412,,,,,,
,,,24481,,,,,,
,,,24559,,,,,,
,,,24641,,,,,,
,,,24733,,,,,,
,,,24821,,,,,,
,,,24897,,,,,,
,,,24984,,,,,,
6,74.31109307308049,-0.72452736,25001,-33.95254497764187,157.8573009090909,229.36363636363637,42.990437,131.89073955569992,5.9
,,,25575,,,,,,
7,69.62230941947696,32.36893,26001,-10.550107558312142,208.97345081818182,258.1818181818182,40.584633,20.660758517876015,31.2
,,,26354,,,,,,
5,54.70430573922435,52.841854,27001,44.72568044784448,69.78510290909092,185.9090909090909,44.851303,56.007636959487606,39.8
,,,27223,,,,,,
6,85.41210383705628,75.996475,28001,18.819679666284987,210.15798399999997,205.0,42.082066,80.06038336007487,63.9
,,,28003,,,,,,
,,,28854,,,,,,
4,60.65593560711557,76.45118,29001,55.25828867226289,96.54131818181818,170.36363636363637,55.312157,82.14997770637406,75.8
,,,29382,,,,,,
,,,29809,,,,,,
5,111.01132745823885,125.952,30001,23.28622281129651,306.59506718181825,191.54545454545453,23.286224,317.58759298550274,108.4
,,,30633,,,,,,
4,119.63241526769947,145.42462,31001,45.30169201383129,265.07546445454545,146.45454545454547,45.301693,262.3577322856373,139.3
,,,31236,,,,,,
6,129.90344152650894,161.41095,32001,42.84711729481317,402.16721290909084,230.72727272727272,42.847115,400.35634544552715,183.4
,,,32034,,,,,,
,,,32851,,,,,,
5,137.267189627535,173.74242,33001,48.59745842796562,379.0226527272727,194.27272727272728,48.59746,377.0274030157078,226.6
,,,33648,,,,,,
5,137.53055914510938,177.3226,34001,50.583873858031644,382.94917872727274,194.72727272727272,51.49322,379.01919675699287,253.5
,,,34459,,,,,,
5,140.90527413341172,173.91177,35001,44.200654727982176,402.4654459090909,202.72727272727272,45.407257,397.70105251856046,273.6
,,,35251,,,,,,
5,151.3404101613755,176.85474,36001,43.568577419289134,382.3696691818181,174.45454545454547,44.994556,384.8446845321697,308.5
,,,36114,,,,,,
5,150.2355220908135,184.13806,37001,45.522669783477824,424.72052963636366,198.72727272727272,45.601383,388.64144511155234,335.1
,,,37052,,,,,,
,,,37833,,,,,,
5,154.96933599315142,190.13687,38001,49.38150221317367,441.1157497272727,204.45454545454547,50.683815,445.93508448868783,369.8
,,,38682,,,,,,
5,157.10302497228005,183.94283,39001,33.84453688969888,453.8107227272727,198.63636363636363,40.982456,447.8801276697808,390.4
,,,39515,,,,,,
4,133.54417518565583,219.66356,40001,105.46249288892335,312.3358346363636,156.54545454545453,105.464485,400.2087138688154,395.2
,,,40243,,,,,,
,,,40863,,,,,,
5,144.43143296467005,200.21733,41001,74.91596875753592,375.65848700000004,185.54545454545453,77.17104,368.6710247786042,395.3
,,,41720,,,,,,
8,132.78587351963037,206.61969,42001,85.52900401115113,439.4377960909091,278.27272727272725,86.5152,377.3859555817208,401.4
,,,42487,,,,,,
5,153.32387121539657,198.03014,43001,46.80278914309938,464.1884175454545,206.36363636363637,50.706577,473.1289295669939,409.4
,,,43295,,,,,,
15,110.2725168747811,210.32227,44001,94.4394153479399,651.6583488181818,540.5454545454545,95.32134,941.5327708155239,432.5
,,,44126,,,,,,
6,152.69034374798824,194.71382,45001,41.9299273532671,469.42232945454543,207.8181818181818,46.05321,534.8782590681757,445.8
,,,45716,,,,,,
6,144.52218404253807,218.09683,46001,81.47219265729571,426.1450656363637,207.27272727272728,81.52342,429.516176627726,447.2
,,,46606,,,,,,
5,148.6079431332705,224.78682,47001,90.94732256304472,403.46616945454554,190.8181818181818,90.96022,513.3142188976427,443.1
,,,47062,,,,,,
,,,47944,,,,,,
6,145.80535273670301,227.84708,48001,89.63656926689092,433.8511421818182,209.45454545454547,90.004196,432.52144628745316,442.1
,,,48787,,,,,,
5,141.8768906901194,226.97491,49001,93.17755588665378,418.150406,207.0909090909091,93.53836,411.90436331768547,451.9
,,,49672,,,,,,
5,154.22536538645326,229.23993,50001,94.2504653487245,392.03363272727273,177.0909090909091,94.824905,385.0344683144108,454.5
,,,50389,,,,,,
5,117.6147160133378,230.39288,51001,122.56710685932968,332.20644163636365,199.8181818181818,122.57093,313.29657722781917,443.4
,,,51240,,,,,,
9,117.44100152413262,223.2068,52001,111.85425434124795,456.06722072727274,336.8181818181818,112.0521,444.6105509889582,443.5
,,,52071,,,,,,
6,143.14048001141657,219.36794,53001,83.69449514596323,423.4378244545454,207.63636363636363,84.065865,423.2350935401163,427.5
,,,53137,,,,,,
,,,53924,,,,,,
6,151.4024060449304,205.57208,54001,53.10486472498703,495.9276938181819,225.36363636363637,59.332943,520.2486149621507,420.4
,,,54748,,,,,,
5,146.07820387065078,220.59796,55001,93.13729148912688,394.3869915454545,195.45454545454547,93.1373,387.67171627801406,417.1
,,,55627,,,,,,
7,132.6888343222533,207.91719,56001,61.17576649858585,512.6006910909091,256.6363636363636,63.489315,277.39478878071156,430.8
,,,56522,,,,,,
6,123.56186081931129,203.29887,57001,95.03777278506513,385.89500427272725,226.9090909090909,95.26685,475.80254695365556,423.0
,,,57425,,,,,,
7,88.24322510985407,196.33302,58001,105.60380797579168,366.64780327272723,267.3636363636364,107.04949,246.62919617099402,419.4
,,,58163,,,,,,
,,,59000,,,,,,
6,109.70477043568194,206.0544,59001,112.76591911852252,339.1969997272727,243.0,112.86997,448.4916296719035,411.2
,,,59856,,,,,,
6,172.57967594046312,195.46846,60001,28.088904898820886,531.0433656363637,215.27272727272728,29.847511,531.0084788905367,430.8
,,,60706,,,,,,
5,154.8896881260221,211.40033,61001,71.83946235903517,417.4541829090909,189.1818181818182,72.10839,423.7818139748836,430.6
,,,61402,,,,,,
5,175.22191792130903,203.23218,62001,46.67209557246311,457.2431898181819,180.1818181818182,47.94232,417.53863830882636,433.3
,,,62133,,,,,,
,,,62947,,,,,,
5,140.53745587194683,205.13202,63001,77.35042984158424,393.316611,198.9090909090909,77.947945,352.2138563628209,424.7
,,,63699,,,,,,
