eval_returns,eval_eplenmean,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_discount_q
306.60186897783626,209.9090909090909,112.90808047313217,115.109245,708.2749930000001,137001,6,302.5243,612.9,227.89672733782592
,,,,,137131,,,,
,,,,,137759,,,,
1161.1357554517313,262.90909090909093,77.45741455624348,81.0993,956.4994936363636,138001,7,325.47,613.7,279.7812678056343
,,,,,138342,,,,
594.1205162390606,213.45454545454547,95.75327158247042,98.07883,713.0427862727273,139001,6,294.2202,604.5,247.4034744702194
,,,,,139395,,,,
1467.0339024206646,255.45454545454547,83.48113574889481,86.44956,883.3092339090908,140001,7,313.62146,633.5,266.98651679569235
,,,,,140178,,,,
,,,,,141000,,,,
956.7381149397335,263.09090909090907,55.11482990035711,62.51613,976.7848715454546,141001,7,310.56668,683.2,296.61519530438795
,,,,,141735,,,,
554.9481621652257,171.1818181818182,106.7733287973198,108.88208,564.4147296363636,142001,5,289.391,696.5,234.3520077782662
,,,,,142685,,,,
1178.608515228392,275.54545454545456,58.615141494211315,64.90562,1059.2920057272727,143001,8,329.76407,740.8,295.0401024324153
,,,,,143527,,,,
589.011904222742,215.27272727272728,85.1053662086363,90.14114,752.4255671818181,144001,6,293.67697,770.8,262.27499703996557
,,,,,144259,,,,
,,,,,144774,,,,
640.5211976964341,237.54545454545453,56.51557314362126,63.892113,937.3800271818183,145001,6,319.9037,831.8,304.65417445028936
,,,,,145962,,,,
587.9074101877233,216.8181818181818,72.48827926150706,79.96599,802.7742375454545,146001,6,306.45633,849.9,282.6446345666784
,,,,,146874,,,,
1074.5528493194636,219.27272727272728,91.78472732893276,93.70652,792.331023,147001,6,314.54416,829.9,268.24996812044606
,,,,,147620,,,,
951.7657296417894,271.72727272727275,76.33508158110979,80.74224,995.0865579090907,148001,7,334.3151,853.4,285.00084955564176
,,,,,148425,,,,
1119.0747078716422,293.90909090909093,64.57919694190902,69.184135,1107.0113064545455,149001,8,330.93298,891.1,305.7007353550409
,,,,,149295,,,,
1073.8659001726846,251.0,72.97430903469154,75.53837,893.5781879090908,150001,7,309.06702,880.3,281.9536824195197
,,,,,150171,,,,
,,,,,150889,,,,
419.9403080946806,170.54545454545453,121.70616525576514,122.79218,588.4273032727273,151001,4,312.83426,882.1,232.20844155881278
,,,,,151954,,,,
1562.7315588659933,313.3636363636364,57.682952157177894,64.0452,1187.096348090909,152001,9,324.99557,893.1,290.0007001088588
,,,,,152771,,,,
787.0965926195915,287.8181818181818,95.31307008887664,97.572,1045.8109630000001,153001,8,330.52087,920.4,285.3747324917134
,,,,,153709,,,,
1941.6576247016453,427.54545454545456,30.483021334936065,50.160706,1720.3617610000001,154001,12,343.73715,1001.1,332.9094044525796
,,,,,154554,,,,
1753.6666162635381,220.72727272727272,107.69053142758716,113.35915,789.0931145454546,155001,6,321.01233,997.7,252.13319372909163
,,,,,155238,,,,
1147.5580208887707,267.72727272727275,55.45790916086583,64.72507,1091.6262359090908,156001,7,335.2568,1046.2,315.10613354563225
,,,,,156219,,,,
1191.3959067243604,336.45454545454544,55.52212138521023,64.369804,1254.2370858181819,157001,9,318.4915,1069.5,284.77925199754407
,,,,,157793,,,,
946.1353130716152,400.27272727272725,58.15314124856525,66.89239,1541.818643090909,158001,11,341.75613,1127.1,304.3620727389978
,,,,,158817,,,,
1058.986060158966,306.72727272727275,56.68325999033432,62.951237,1207.029675,159001,8,330.6482,1157.7,320.9377221637959
,,,,,159854,,,,
1598.6533230621617,479.09090909090907,45.07057469598494,53.69447,1870.8339225454545,160001,13,353.36813,1279.3,336.71943532694473
,,,,,160663,,,,
390.91825836667164,187.27272727272728,118.0243230530265,122.52651,628.5848487272727,161001,5,303.61078,1245.6,228.50840613512707
,,,,,161544,,,,
830.8362734825257,464.45454545454544,50.093994878384436,56.839096,1839.8180611818184,162001,13,357.5463,1318.8,339.1024765230033
,,,,,162719,,,,
1829.457333624182,503.0,36.192907832773315,51.50486,1987.670015090909,163001,14,345.8593,1351.7,336.7791446222371
1095.6286631298124,401.90909090909093,50.86304333573348,61.143997,1590.557354090909,164001,11,352.45667,1448.1,336.84219340701384
,,,,,164437,,,,
940.5470772486486,398.0,41.77447834923667,56.247982,1595.2157189090906,165001,11,342.05078,1496.3,334.574449623544
,,,,,165357,,,,
1156.56718047088,355.09090909090907,54.558636738549765,68.02217,1458.462837909091,166001,10,351.81906,1516.4,340.7422025675221
1783.5168959383072,365.27272727272725,61.80779587725142,67.15038,1459.6223964545454,167001,10,363.07034,1505.7,341.47323520780014
,,,,,167301,,,,
1086.0319467971376,342.8181818181818,70.81773881610668,78.580734,1330.1724550909091,168001,10,354.81262,1520.6,325.88097573337626
,,,,,168444,,,,
1700.263297992636,356.6363636363636,79.3170061808834,86.53187,1387.4429931818179,169001,10,365.42078,1471.0,328.3948636921771
,,,,,169732,,,,
1145.7833104183414,561.1818181818181,45.25393756940145,59.0168,2340.807543545455,170001,16,379.51923,1657.7,347.6803357493712
,,,,,170032,,,,
1724.0587510353635,524.4545454545455,36.1268678493869,43.763546,2203.8533193636367,171001,15,384.70358,1706.7,353.4618648787835
,,,,,171810,,,,
2558.463352119167,400.09090909090907,59.84578959931818,63.579594,1663.4105654545456,172001,11,381.5133,1655.5,348.74806033209
912.1837671230934,433.90909090909093,39.809673553316024,50.491493,1752.761122545455,173001,12,353.5357,1684.9,329.3538573606788
,,,,,173063,,,,
198.83731593685266,64.72727272727273,246.8059507277837,246.91432,222.61827000000002,174001,1,366.49515,1536.7,145.83562035226495
,,,,,174416,,,,
1171.833603002203,391.1818181818182,74.3029761850462,81.464005,1650.1664816363634,175001,11,386.31534,1555.3,339.46925203312554
,,,,,175262,,,,
2339.011552561033,317.8181818181818,96.20256014181278,102.89922,1323.9916816363636,176001,9,360.2522,1534.2,294.3092757185747
,,,,,176711,,,,
1.646849713560472,99.0,325.9879425953375,328.77316,379.23381672727277,177001,2,393.95676,1447.2,68.07904720021844
1903.5583805163315,189.54545454545453,114.86031509592247,121.2876,765.256381,178001,5,324.17133,1359.1,242.71252123548786
,,,,,178542,,,,
499.46496212909824,260.6363636363636,67.70833875899719,80.05336,1089.334594909091,179001,7,344.18884,1265.3,322.55008604551017
,,,,,179173,,,,
1799.2046648083908,450.0,76.35259345473614,87.81872,1847.096528090909,180001,12,380.9316,1197.0,313.0633192620913
,,,,,180033,,,,
1434.5614254364095,357.54545454545456,74.0134989451853,90.09042,1541.8057300909093,181001,10,377.00497,1183.2,320.0907263335211
,,,,,181868,,,,
3272.724335086907,451.27272727272725,37.46673238926772,52.41449,1987.2110283636364,182001,13,386.37753,1178.6,349.7638826223915
,,,,,182694,,,,
1522.6557266144712,213.54545454545453,142.53141484238316,143.74776,783.1746205454546,183001,6,343.36234,1239.1,242.41635334872097
823.1361993300399,335.1818181818182,86.02039050905967,90.446594,1500.6571588181819,184001,9,409.77194,1250.9,339.7252483890026
,,,,,184378,,,,
654.4888684113768,254.36363636363637,108.51348255305192,113.33316,1028.1991260909092,185001,7,378.95743,1229.5,308.2415537205201
,,,,,185472,,,,
664.036676872816,297.27272727272725,115.84389156775916,123.548584,1205.2199692727272,186001,8,383.90274,1302.7,300.09706865995753
,,,,,186180,,,,
701.4889787131162,419.27272727272725,85.92882254152038,97.81838,1728.7532151818182,187001,12,398.56824,1412.9,332.28505932643594
,,,,,187591,,,,
180.01153433081805,246.0909090909091,144.66301678912373,155.08565,979.2500807272726,188001,7,369.0434,1397.3,255.56621587208483
,,,,,188183,,,,
4431.459908200011,476.3636363636364,90.78579599645974,102.09482,2040.3410481818182,189001,13,415.59042,1396.9,343.10368511971456
4371.906370550772,696.8181818181819,76.42940297856518,91.09053,3036.906645636364,190001,20,429.5034,1567.7,327.0152114908622
,,,,,190209,,,,
1683.5297865394882,514.7272727272727,83.31065366058469,86.42252,2146.086515909091,191001,15,426.56427,1617.6,331.6512823728116
,,,,,191513,,,,
2685.6345963925924,502.8181818181818,104.41198479002932,113.10517,2131.08252,192001,14,421.08133,1738.0,328.73606756711746
1185.0750615718655,397.90909090909093,154.14303306977317,160.70303,1683.1600141818183,193001,11,406.42224,1767.0,269.5654233317587
,,,,,193068,,,,
,,,,,193696,,,,
,,,,,193981,,,,
322.96475992463274,194.54545454545453,212.72884307860832,214.71446,690.7113854545454,194001,5,375.48752,1732.4,208.11558185691348
,,,,,194465,,,,
4.366648662174755,18.272727272727273,407.2525343546331,407.25253,4.778923090909091,195001,0,412.9287,1603.6,3.7766058788832013
,,,,,195734,,,,
4211.593437376149,380.54545454545456,163.1726176488388,167.5877,1486.458362090909,196001,11,393.5391,1545.7,263.5691276122515
1645.1010592587788,335.90909090909093,149.0819924365361,160.83058,1320.9944998181818,197001,9,399.17773,1597.5,284.2610951747161
,,,,,197786,,,,
622.2990514695631,340.45454545454544,164.0936714293102,171.59163,1277.9573110909091,198001,9,378.16357,1583.0,237.01895910026485
,,,,,198370,,,,
5.269852369642536,18.09090909090909,399.63317969792837,399.6332,3.637101818181818,199001,0,404.8988,1270.2,2.700279894851891
,,,,,199211,,,,
,,,,,199799,,,,
344.52120289427506,260.3636363636364,177.80146006262808,180.39424,953.172184909091,200001,7,411.64423,1103.0,269.0173639474667
,,,,,200544,,,,
52.976199662754595,33.45454545454545,389.8934646479243,389.89346,54.47726927272727,201001,0,427.48056,853.1,42.31084531883818
,,,,,201281,,,,
,,,,,201642,,,,
536.9948019991011,480.72727272727275,140.06847640544777,145.77269,1944.059985,202001,14,422.18845,904.0,296.57121114495
,,,,,202356,,,,
,,,,,202686,,,,
219.65614766543717,336.1818181818182,180.66287724535334,184.67992,1289.8021346363637,203001,9,409.834,920.8,203.6975809214895
,,,,,203742,,,,
1044.4264710129944,421.3636363636364,162.98381715479778,166.65558,1615.0783171818182,204001,12,410.5461,1083.7,252.52677705959488
,,,,,204258,,,,
,,,,,204983,,,,
1226.5102404250244,453.54545454545456,208.01550876489426,212.12338,1400.1242971818183,205001,13,400.1707,1118.5,166.67989422148526
4067.876580938803,592.7272727272727,119.28390543398396,128.3544,2272.263370909091,206001,17,413.07736,1180.0,212.91219501519134
,,,,,206487,,,,
333.69273859486583,414.3636363636364,126.41588492843275,141.38263,1845.3897668181817,207001,12,397.05627,1298.7,259.83814679714584
279.25081595941106,425.0,164.6056563479403,174.7516,1628.976409181818,208001,12,382.80237,1427.6,201.43018346775878
,,,,,208362,,,,
2872.814117498622,344.8181818181818,133.03876946606724,136.33363,1360.4018554545455,209001,10,411.52353,1459.4,273.3825109617994
5.18483558719744,24.363636363636363,365.1052657889372,365.7009,25.014343181818184,210001,0,378.66766,1472.9,15.95126675413615
