eval_returns,eval_eplenmean,eval_qs_difference,eval_abs_qs_difference,eval_ep_rewmean,total timesteps,eval_time_elapsed,eval_qs,eval mean 100 episode reward,eval_discount_q
-1.5182757975419534,7.909090909090909,0.32018989056395153,0.9468115,-1.5335207272727274,15001,0,-1.1576949,-1.5,-1.4311693848215974
,,,,,15114,,,,
,,,,,15180,,,,
,,,,,15253,,,,
,,,,,15340,,,,
,,,,,15489,,,,
,,,,,15553,,,,
,,,,,15694,,,,
,,,,,15783,,,,
,,,,,15889,,,,
,,,,,15963,,,,
-1.5551458778933074,8.0,0.2782515228116172,0.9399475,-1.5071281818181816,16001,0,-1.1628926,-1.5,-1.4058955692140094
,,,,,16057,,,,
,,,,,16141,,,,
,,,,,16219,,,,
,,,,,16289,,,,
,,,,,16355,,,,
,,,,,16423,,,,
,,,,,16510,,,,
,,,,,16570,,,,
,,,,,16624,,,,
,,,,,16695,,,,
,,,,,16770,,,,
,,,,,16828,,,,
,,,,,16894,,,,
,,,,,16972,,,,
-1.4496258399294013,7.909090909090909,0.30530841579804163,0.92167,-1.5031091818181819,17001,0,-1.1574036,-1.5,-1.4017312492879968
,,,,,17079,,,,
,,,,,17143,,,,
,,,,,17215,,,,
,,,,,17292,,,,
,,,,,17367,,,,
,,,,,17443,,,,
,,,,,17547,,,,
,,,,,17657,,,,
,,,,,17729,,,,
,,,,,17808,,,,
,,,,,17907,,,,
,,,,,17992,,,,
-1.3994726579932704,7.818181818181818,0.34206187531214155,0.9313125,-1.5241164545454544,18001,0,-1.1497438,-1.5,-1.4222773747057857
,,,,,18046,,,,
,,,,,18156,,,,
,,,,,18246,,,,
,,,,,18362,,,,
,,,,,18456,,,,
,,,,,18527,,,,
,,,,,18615,,,,
,,,,,18668,,,,
,,,,,18753,,,,
,,,,,18830,,,,
,,,,,18928,,,,
,,,,,18997,,,,
-1.4998691843817362,8.0,0.30013423567557623,0.955779,-1.5395551818181816,19001,0,-1.1603261,-1.5,-1.437089336174296
,,,,,19087,,,,
,,,,,19189,,,,
,,,,,19282,,,,
,,,,,19348,,,,
,,,,,19397,,,,
,,,,,19455,,,,
,,,,,19522,,,,
,,,,,19594,,,,
,,,,,19689,,,,
,,,,,19783,,,,
,,,,,19838,,,,
,,,,,19961,,,,
-1.3983173675346956,7.909090909090909,0.32312908261340184,0.93346876,-1.5238110909090907,20001,0,-1.1545466,-1.5,-1.4214543877240857
,,,,,20071,,,,
,,,,,20160,,,,
,,,,,20258,,,,
,,,,,20319,,,,
,,,,,20390,,,,
,,,,,20497,,,,
,,,,,20588,,,,
,,,,,20681,,,,
,,,,,20766,,,,
,,,,,20824,,,,
,,,,,20904,,,,
,,,,,20978,,,,
-1.4262095245458126,8.0,0.2813517134992748,0.9280581,-1.5014871818181819,21001,0,-1.1571251,-1.5,-1.4004130094717169
,,,,,21050,,,,
,,,,,21159,,,,
,,,,,21242,,,,
,,,,,21335,,,,
,,,,,21405,,,,
,,,,,21494,,,,
,,,,,21571,,,,
,,,,,21697,,,,
,,,,,21767,,,,
,,,,,21864,,,,
,,,,,21963,,,,
-1.6200260462811549,7.909090909090909,0.32796185495204006,0.9450895,-1.5386294545454546,22001,0,-1.1552823,-1.5,-1.4359778174333886
,,,,,22037,,,,
,,,,,22097,,,,
,,,,,22213,,,,
,,,,,22297,,,,
,,,,,22374,,,,
,,,,,22488,,,,
,,,,,22586,,,,
,,,,,22765,,,,
,,,,,22852,,,,
,,,,,22928,,,,
,,,,,22998,,,,
-1.460175733563621,8.0,0.2680943368243528,0.9416658,-1.5016944545454545,23001,0,-1.1615527,-1.5,-1.4013360958285503
,,,,,23061,,,,
,,,,,23146,,,,
,,,,,23216,,,,
,,,,,23278,,,,
,,,,,23351,,,,
,,,,,23432,,,,
,,,,,23490,,,,
,,,,,23584,,,,
,,,,,23660,,,,
,,,,,23756,,,,
,,,,,23856,,,,
,,,,,23931,,,,
,,,,,23984,,,,
-1.518454104103467,7.909090909090909,0.3292097496788236,0.94218695,-1.5407391818181815,24001,0,-1.1536449,-1.5,-1.4381342377405826
,,,,,24061,,,,
,,,,,24133,,,,
,,,,,24204,,,,
,,,,,24270,,,,
,,,,,24329,,,,
,,,,,24406,,,,
,,,,,24471,,,,
,,,,,24535,,,,
,,,,,24629,,,,
,,,,,24731,,,,
,,,,,24827,,,,
,,,,,24925,,,,
,,,,,24993,,,,
77.15835749775077,203.27272727272728,-13.772006947929993,26.03606,89.35017763636364,25001,5,-0.63661563,7.7,61.61553334626714
,,,,,25723,,,,
116.913333617583,213.0909090909091,20.210108356615436,27.461542,120.93010363636364,26001,6,41.12835,20.8,64.5570089255004
,,,,,26487,,,,
55.58201501921619,185.1818181818182,32.89345691528277,33.075283,72.27466709090908,27001,5,41.92455,29.5,55.52192558701034
,,,,,27309,,,,
,,,,,27963,,,,
291.5765915072948,169.63636363636363,30.627155045379084,31.18847,290.2907224545454,28001,4,133.14369,59.2,117.10186277416648
,,,,,28829,,,,
369.1503025430011,181.9090909090909,46.44715394272355,46.447155,355.90116390909094,29001,5,167.40944,97.8,137.20976855317826
,,,,,29566,,,,
359.3569702019789,184.72727272727272,54.24097152098654,54.24097,363.866783,30001,5,177.94945,138.1,136.69213017094333
,,,,,30311,,,,
372.6707871907028,184.63636363636363,51.62773331751376,52.3528,367.60693445454547,31001,5,177.24425,178.5,137.03418178786134
,,,,,31057,,,,
,,,,,31781,,,,
103.10129990754199,128.8181818181818,139.89400797415314,139.894,98.05039336363637,32001,3,169.67601,192.2,60.173539385357564
,,,,,32629,,,,
395.56940400070243,701.3636363636364,108.8267387386235,108.82674,636.1079473636364,33001,20,174.94154,259.4,92.39215012292446
,,,,,33589,,,,
290.2331411816632,178.54545454545453,93.47645434683965,93.47645,298.993393,34001,5,196.83345,285.0,115.5483207045213
,,,,,34492,,,,
413.5818394643411,219.36363636363637,55.226324702570906,55.233192,410.4752241818182,35001,6,183.84203,316.2,129.6319554311369
,,,,,35323,,,,
114.4566012238641,223.45454545454547,134.93290377310575,135.20197,150.96199936363638,36001,6,168.76118,327.1,71.39693306501982
,,,,,36228,,,,
459.8150713141322,305.0,116.908182170488,116.90818,275.4366896363636,37001,8,180.38573,326.3,79.07210856676603
,,,,,37448,,,,
499.83509239351497,282.0,70.4882629056709,70.48825,453.6428117272728,38001,8,190.42262,338.3,107.05656142111839
,,,,,38262,,,,
454.8769632013419,244.45454545454547,36.47394356917905,44.629208,478.4300089999999,39001,7,178.1218,351.4,133.34629807261706
,,,,,39302,,,,
279.07575676641596,158.72727272727272,90.21327874010093,91.35652,309.2448876363636,40001,4,199.25961,346.8,135.6788192713025
,,,,,40343,,,,
294.3711443011847,168.27272727272728,107.22957080174487,107.22958,295.45786072727276,41001,4,211.4067,363.1,121.1322555087656
,,,,,41167,,,,
,,,,,41819,,,,
274.7739990082635,159.27272727272728,113.20162324652833,113.201614,277.9440346363636,42001,4,212.50204,327.3,120.95628476980592
,,,,,42561,,,,
338.7091962180624,187.27272727272728,86.4411982544822,86.59537,335.78124500000007,43001,5,198.63905,331.1,126.84787405196593
,,,,,43256,,,,
,,,,,43997,,,,
319.7020366597833,198.36363636363637,104.10945771540354,104.10945,325.1239602727273,44001,5,208.72125,324.2,118.68944782243757
,,,,,44758,,,,
517.9788272469559,178.63636363636363,107.17063685200934,107.17063,322.4544496363636,45001,5,218.23178,335.9,124.79604464159675
,,,,,45462,,,,
383.2244138966151,184.0,83.50093883952894,83.72787,372.8001482727272,46001,5,208.49261,351.4,143.78609150811465
,,,,,46270,,,,
376.1970033099351,184.27272727272728,84.34291145191975,84.6841,367.33603090909094,47001,5,204.44879,345.5,139.8870640305614
,,,,,47055,,,,
,,,,,47851,,,,
415.6650174406114,189.27272727272728,78.6864539136678,79.48291,390.230415,48001,5,204.9065,334.8,152.3485382026802
,,,,,48537,,,,
,,,,,48874,,,,
69.72323168907396,127.0,137.0340194131108,137.25058,158.32238245454545,49001,3,191.01857,317.6,82.51790637799446
,,,,,49620,,,,
434.64805008911577,195.0,68.72409603376637,69.7407,434.675704,50001,5,207.47768,329.6,165.74623041645106
,,,,,50506,,,,
13.38535951218699,170.1818181818182,171.12046253929927,171.35982,45.263396,51001,4,171.69566,308.3,44.10782427351676
,,,,,51008,,,,
,,,,,51464,,,,
,,,,,51898,,,,
40.79138014397005,44.90909090909091,189.80442461837902,189.80443,40.03517654545455,52001,1,212.98134,276.4,29.89908143427634
,,,,,52367,,,,
350.2611556441328,180.36363636363637,77.56708991754782,77.63506,355.8677129090909,53001,5,194.40485,276.3,146.54624661661046
,,,,,53026,,,,
,,,,,53876,,,,
341.94583753638483,161.0,74.02979591345607,74.57809,362.7294420909091,54001,4,200.45517,282.7,159.76625924936053
,,,,,54759,,,,
129.6911963859727,297.6363636363636,112.96931367499752,114.83286,379.09253063636356,55001,8,198.3054,285.0,103.82965317730041
,,,,,55484,,,,
419.9513393718098,269.72727272727275,108.95023148938053,111.92132,338.56796363636363,56001,7,193.68393,279.4,90.98906886380321
,,,,,56008,,,,
239.85992637362753,145.27272727272728,91.49753130928478,93.748055,254.5496392727273,57001,4,192.81207,266.4,111.9944418508055
,,,,,57043,,,,
,,,,,57843,,,,
-107.60753295784428,376.3636363636364,196.10520590901615,196.31114,-73.27172527272727,58001,10,170.10992,239.3,32.98997251737861
,,,,,58567,,,,
277.11758168672566,139.8181818181818,81.29102078199335,81.786476,286.6960423636364,59001,3,189.92726,224.8,135.27851209296387
,,,,,59283,,,,
,,,,,59982,,,,
603.7909103231386,266.6363636363636,64.63462325037311,66.97595,471.2578204545454,60001,7,194.58778,259.9,119.52635110150273
,,,,,60605,,,,
410.83991672852363,176.0909090909091,59.20173086948526,61.489964,377.2300321818182,61001,5,185.8024,299.5,149.4270575353984
,,,,,61093,,,,
,,,,,61918,,,,
374.92313196037975,153.0909090909091,75.66500792564365,76.93278,346.59693300000004,62001,4,199.76923,305.3,158.10642118186047
,,,,,62529,,,,
278.6194710293266,157.63636363636363,92.34032015871546,92.85379,304.6019440909091,63001,4,202.11171,299.2,130.84417142885374
,,,,,63051,,,,
,,,,,63709,,,,
361.02781975276747,209.72727272727272,95.1895410821106,97.1596,328.28317172727276,64001,6,197.60152,288.5,114.00216226221993
,,,,,64429,,,,
,,,,,64729,,,,
354.0138272933631,251.9090909090909,149.81052191243722,150.05916,267.5344282727273,65001,7,204.8034,284.8,107.7783779654896
,,,,,65251,,,,
657.9330654657754,244.0,98.32187609581416,98.86921,401.63035381818185,66001,7,204.70778,295.7,137.99982029840933
,,,,,66217,,,,
208.6659588942079,204.63636363636363,173.8711025476522,174.69725,174.00872681818183,67001,5,211.0817,321.1,85.37266120907094
,,,,,67001,,,,
,,,,,67647,,,,
320.39697181390125,146.8181818181818,96.4913961691119,98.28018,315.80612472727273,68001,4,210.12486,331.1,150.0024445095932
,,,,,68292,,,,
314.81596919334646,137.27272727272728,97.30078314724291,98.54006,298.9254251818182,69001,3,209.02245,315.3,147.02851892525254
,,,,,69048,,,,
,,,,,69823,,,,
111.07064924021635,151.45454545454547,149.6011915991401,149.91269,242.16815845454542,70001,4,225.51128,300.1,106.65635516720228
,,,,,70552,,,,
116.4178620045054,229.8181818181818,185.2593376659145,185.62779,156.28288372727275,71001,6,213.65102,279.9,90.42573443945827
,,,,,71419,,,,
281.0259743368558,181.36363636363637,92.32818331687268,92.589645,362.7232445454545,72001,5,209.74408,282.7,144.8082444921373
,,,,,72373,,,,
,,,,,72867,,,,
318.82412650938835,129.45454545454547,107.4008449684392,108.402466,251.58514227272727,73001,3,198.76054,275.2,132.33952829677074
,,,,,73466,,,,
294.4004352930754,200.1818181818182,109.65964045515047,110.32812,349.02603063636366,74001,5,211.82635,282.5,143.61341371134372
,,,,,74149,,,,
,,,,,74886,,,,
252.22292647654936,152.63636363636363,76.09839640927099,82.59912,303.0589231818182,75001,4,176.0304,276.9,144.89723029504373
,,,,,75535,,,,
206.19691160345198,106.9090909090909,94.53904151485658,96.308174,222.90097154545455,76001,3,188.05621,276.4,123.59648887705458
,,,,,76096,,,,
,,,,,76758,,,,
209.5354873498406,112.36363636363636,106.71959437089616,107.02064,232.41432563636363,77001,3,199.80772,270.1,128.25872380831692
,,,,,77310,,,,
,,,,,77776,,,,
184.8714070674141,115.0909090909091,124.76251435594527,125.01919,188.18273354545454,78001,3,195.69942,258.1,107.6014460256502
,,,,,78474,,,,
129.20698635728604,159.0,129.9815955958486,132.13817,251.6454152727273,79001,4,205.74268,258.1,111.75907686882645
,,,,,79115,,,,
,,,,,79861,,,,
32.39076295826847,35.09090909090909,208.51274658935253,208.51276,33.614090090909094,80001,1,229.1592,242.6,26.633910617459854
,,,,,80151,,,,
,,,,,80361,,,,
,,,,,80942,,,,
230.51452585341465,116.81818181818181,91.58246983116345,93.90017,237.46261863636363,81001,3,184.35802,233.3,130.0709624070034
,,,,,81408,,,,
,,,,,82000,,,,
557.6655372103205,210.0,47.97964237007495,54.646374,484.0260290909091,82001,6,192.7081,254.1,177.74804764632879
,,,,,82602,,,,
193.42866859070764,131.27272727272728,93.9357896200709,96.99893,262.7019923636363,83001,3,189.25626,248.3,132.83836284249404
,,,,,83248,,,,
,,,,,83845,,,,
234.81965224298023,95.45454545454545,107.2260740800869,107.794365,217.80353227272727,84001,2,199.40868,237.3,126.58259944230771
,,,,,84471,,,,
,,,,,84973,,,,
232.32877070775717,236.9090909090909,106.74381808333493,107.29166,409.07617545454553,85001,6,205.72491,257.4,158.3219963640971
,,,,,85355,,,,
,,,,,85607,,,,
,,,,,85966,,,,
170.3823287479786,90.36363636363636,127.37859028442898,127.82212,164.09571472727274,86001,2,198.05125,249.9,101.21966826405792
,,,,,86546,,,,
,,,,,86900,,,,
194.75922191639017,101.0,110.99633424085154,111.71228,196.99894354545452,87001,2,192.73192,250.2,115.61713118596862
,,,,,87421,,,,
,,,,,87903,,,,
188.64161975566904,105.27272727272727,103.11419586409149,104.23306,208.03519390909094,88001,3,186.55766,244.0,118.19200385452929
,,,,,88349,,,,
,,,,,88863,,,,
210.28887947407497,127.54545454545455,84.25284266007799,86.17287,287.79700427272724,89001,3,196.44717,270.0,142.471773959835
,,,,,89393,,,,
,,,,,89831,,,,
220.6618841683923,124.72727272727273,67.19864118045581,72.23259,278.0285734545455,90001,3,171.9705,278.5,148.38757149558353
,,,,,90412,,,,
274.8335347701098,113.45454545454545,80.15353711965382,81.82566,254.28739472727275,91001,3,181.6166,256.7,140.83968428303217
,,,,,91096,,,,
,,,,,91583,,,,
202.90766510065728,152.72727272727272,59.22472354389538,62.600132,329.16638672727277,92001,4,178.04242,261.5,136.02430068977753
,,,,,92248,,,,
,,,,,92562,,,,
,,,,,92951,,,,
223.8338860944567,118.27272727272727,74.31345091697321,75.83818,245.81700663636363,93001,3,170.9022,263.2,127.55693508609862
,,,,,93406,,,,
,,,,,93825,,,,
184.1044104886358,173.36363636363637,126.49038340812731,128.91734,236.7186265454545,94001,5,192.55763,247.6,96.88990082629333
,,,,,94193,,,,
215.5380226834437,196.36363636363637,82.0979156771206,84.62861,387.8648481818181,95001,5,192.92241,267.9,136.44201308990725
,,,,,95028,,,,
,,,,,95648,,,,
410.9121784598131,182.0,40.01723282317425,44.653088,471.45059290909086,96001,5,195.5897,296.6,182.24716009713413
,,,,,96184,,,,
,,,,,96657,,,,
335.51128924108525,219.36363636363637,106.91289942536675,108.2865,428.5621592727273,97001,6,217.0923,323.6,180.73283310363962
,,,,,97342,,,,
406.8221740201371,163.1818181818182,26.595931807419422,38.35532,452.1758498181818,98001,4,184.80795,340.1,193.10620680710898
,,,,,98277,,,,
,,,,,98799,,,,
449.592913794462,188.72727272727272,60.765517397494975,69.6541,445.15219809090905,99001,5,199.10521,357.5,169.11623217556925
,,,,,99376,,,,
,,,,,99986,,,,
394.50579633628666,221.8181818181818,102.07027001292771,102.78604,414.29476363636365,100001,6,214.06093,376.7,164.51968337583196
,,,,,100635,,,,
262.21354222132123,356.27272727272725,111.88817768159987,114.223274,480.1445068181818,101001,10,200.90274,393.1,145.9943810872638
,,,,,101272,,,,
410.129547761394,171.63636363636363,54.19455903952553,58.54874,427.2051280909091,102001,4,206.03937,411.4,166.79761774774894
,,,,,102171,,,,
,,,,,102748,,,,
1183.52075047465,340.0,67.2713634310053,72.56224,727.2106590000001,103001,9,224.84346,456.8,173.9615622952601
,,,,,103610,,,,
405.50029751842186,152.8181818181818,37.572471973078386,39.930904,413.8905176363636,104001,4,183.7462,471.9,192.295986433429
,,,,,104323,,,,
124.08298729066071,210.45454545454547,87.96791904113007,90.413795,460.91359727272726,105001,6,220.99551,474.1,139.62665626845853
,,,,,105294,,,,
290.08733971869816,119.81818181818181,72.8469891171601,76.10894,277.3776448181818,106001,3,181.44899,455.6,147.38593061067968
,,,,,106095,,,,
,,,,,106326,,,,
,,,,,106764,,,,
432.3525705023865,152.45454545454547,55.716761758544415,57.350956,411.5963992727273,107001,4,200.35971,451.4,192.13025172019243
,,,,,107546,,,,
360.98976456994745,181.0909090909091,74.75185811380766,80.937744,490.7457779090909,108001,5,222.90245,454.6,187.45622246167375
,,,,,108442,,,,
319.05443463860706,143.0,70.31841366674247,74.67239,399.47357009090905,109001,4,205.29681,454.7,182.25677386671447
,,,,,109773,,,,
179.00758258654076,78.0909090909091,107.66722414995435,109.00281,189.3577157272727,110001,2,194.67427,423.9,122.51914649950272
,,,,,110163,,,,
,,,,,110527,,,,
,,,,,110841,,,,
401.017719160814,118.81818181818181,106.4243868011854,108.654915,324.2494661818182,111001,3,237.16698,410.4,166.8439698956102
,,,,,111288,,,,
201.91137930185644,105.54545454545455,141.68554718698803,145.91203,208.70031981818184,112001,3,222.33598,367.7,124.85004776656609
,,,,,112113,,,,
,,,,,112834,,,,
511.61148057200717,269.72727272727275,76.6950338958371,81.296524,878.5902243636364,113001,7,299.88486,403.6,237.21544619244804
,,,,,113730,,,,
526.0229508412962,206.54545454545453,85.49578083873499,88.63172,643.7068269090909,114001,5,283.82687,421.7,222.9873084639714
,,,,,114579,,,,
642.6393089010489,232.8181818181818,103.92099415539779,104.83985,707.7353510909091,115001,6,309.91193,467.4,229.66374507274824
,,,,,115555,,,,
556.9782443983415,197.54545454545453,116.86900467805732,117.85264,609.842204,116001,5,310.82565,492.5,227.78424739353056
,,,,,116463,,,,
1562.231241135017,396.8181818181818,58.37325819141293,62.902954,1257.2596621818182,117001,11,311.70526,569.7,242.33421541939387
,,,,,117599,,,,
