#{"t_start": 1642059278.857089, "env_id": "Walker2d-v2"}
r,l,t
7.665139,27,17.084028
2.464448,20,17.131298
3.707983,17,17.171065
-2.267977,21,17.218413
-2.787044,11,17.246083
-10.116063,18,17.588852
-3.997352,9,17.611617
10.737304,30,17.674621
0.435754,12,17.706329
-3.23027,26,17.761553
2.089557,21,17.836754
3.148571,15,17.871679
-1.936472,20,17.915247
-1.497105,15,17.949256
-9.250556,22,17.99588
6.47004,39,18.115121
4.770848,33,18.18853
7.283411,33,18.261106
21.633373,42,18.397948
9.98336,31,18.468761
4.319259,23,18.521872
1.06953,12,18.552577
0.245676,16,18.648513
5.99916,18,18.689279
1.569783,20,18.734766
15.932066,39,18.820516
-5.673841,16,18.939522
3.904615,13,18.97108
2.930296,19,19.016413
14.417328,49,19.117199
2.322088,24,19.252843
-3.475597,18,19.293886
-4.192835,17,19.332109
4.953828,26,19.386852
1.173553,19,19.430342
-0.878841,12,19.549926
-0.808855,9,19.572119
0.586659,30,19.632723
0.26474,12,19.66311
-0.444348,13,19.691961
9.217259,22,19.742419
-2.294341,11,19.771134
2.867834,13,19.924575
-1.841235,11,19.952232
1.389139,11,19.979118
1.217292,18,20.021429
-1.23987,10,20.047387
-0.19682,11,20.07332
-0.474035,17,20.112131
3.831401,26,20.536955
3.503242,18,20.579637
17.291709,32,20.652115
3.130687,16,20.694881
1.147899,12,20.723693
2.4148,43,20.943579
4.487946,23,20.997912
14.644871,33,21.067979
-0.691144,12,21.237896
10.871083,30,21.298771
3.739254,25,21.353125
5.08995,19,21.39976
0.801528,14,21.434007
4.906631,17,21.631803
1.904803,16,21.667711
0.702877,11,21.69401
-7.381228,15,21.72691
-0.342382,14,21.759206
-2.002793,10,21.78317
-2.251152,16,21.818864
8.165915,18,22.026581
5.447854,24,22.077988
-2.824088,24,22.130382
-2.564285,11,22.158284
-1.608471,25,22.210037
6.242727,16,22.424559
17.162504,45,22.515454
3.89519,17,22.558737
1.046893,13,22.58844
21.406969,33,22.843679
-2.479687,13,22.87675
9.781687,20,22.920366
1.566053,27,22.978425
2.450296,14,23.013142
1.417824,24,23.274209
4.490211,38,23.355398
0.364583,12,23.38815
9.318155,20,23.431629
5.904433,29,23.706698
2.586091,15,23.743579
4.13055,24,23.795331
-2.057548,36,23.873371
6.09278,21,24.144793
-0.804786,14,24.178537
-1.249724,16,24.214795
15.077205,38,24.29401
9.876981,33,24.844521
2.776409,26,24.902929
4.270909,18,24.944472
0.198564,13,24.9744
17.158305,34,25.2814
-1.125876,10,25.309168
8.16071,35,25.379792
2.018665,26,25.438488
1.220954,13,25.470482
-4.283248,16,25.755218
2.310148,27,25.811914
-3.870996,11,25.840765
5.367765,42,25.924965
1.562748,21,26.234586
-3.656285,10,26.259762
2.332335,22,26.305098
0.169155,14,26.336969
-2.829114,23,26.384531
0.3417,14,26.417582
-4.044295,18,26.729937
-3.936929,10,26.754381
1.301355,15,26.787035
1.225444,21,26.831766
1.652035,27,26.88903
-3.887704,13,26.920874
-1.924851,12,27.235752
4.582113,17,27.272372
5.161564,27,27.328893
7.275662,21,27.376558
5.469131,18,27.416951
1.398825,14,27.753507
-0.42716,18,27.793078
13.092336,21,27.838903
8.780325,36,27.914737
0.464752,13,27.947798
-0.246789,16,28.284599
5.047751,24,28.334083
-0.633111,14,28.367194
0.331347,11,28.392837
4.561441,28,28.453153
3.676153,15,28.489118
-5.140437,18,28.847577
-5.306993,16,28.882888
-3.864984,24,28.932433
3.761342,14,28.965206
10.092428,20,29.007336
-7.33497,18,29.378075
-1.437389,14,29.40981
-1.888103,29,29.468735
9.820645,31,29.536129
4.028966,18,29.578759
0.617043,17,30.219973
22.305606,40,30.30266
4.976896,24,30.359415
-0.449247,30,30.779818
0.385748,16,30.818697
7.392817,27,30.87537
0.802259,14,30.908718
9.122562,35,31.337985
10.331321,22,31.387807
-0.517333,9,31.410965
14.944556,27,31.466415
1.740845,37,31.543817
-2.856303,13,31.959368
3.210927,18,31.997715
-2.668724,14,32.02944
4.371911,22,32.075274
5.283096,17,32.113593
25.389103,38,32.578066
7.054192,40,32.666272
-0.706431,17,32.709231
0.631961,15,32.743527
5.310275,20,33.186656
3.206996,20,33.230237
12.888389,23,33.278868
0.675607,21,33.325503
-7.081934,15,33.360978
-0.84496,27,33.829099
-6.335728,12,33.85918
9.254214,27,33.915472
0.475993,14,33.95016
0.977443,12,33.97855
5.674071,26,34.469533
0.623171,17,34.510604
-4.285439,19,34.553201
-1.09657,15,34.588251
-2.721247,13,34.618932
-0.743872,27,34.675873
-4.075757,22,35.171168
-1.962441,10,35.197472
-0.981848,12,35.224344
0.13156,19,35.264489
-3.540291,27,35.320686
-3.409803,21,35.821684
-1.227462,18,35.862887
1.452626,12,35.891892
3.386523,22,35.939192
-0.693167,26,35.997184
3.437603,13,36.505415
4.105885,21,36.79635
4.755879,21,36.844153
10.121305,26,36.9027
-2.553988,26,36.961168
-3.621136,17,37.495145
11.056262,28,37.554483
-6.294453,10,37.581515
-3.975484,7,37.598625
0.95855,11,37.622891
-2.451937,16,37.657434
5.711968,25,38.194517
26.528467,54,38.309086
17.453743,37,38.39361
-0.945785,13,38.923924
-3.413422,9,38.946193
0.899742,21,38.990215
-2.23396,26,39.046491
14.758215,37,39.636586
35.459117,60,39.761808
-5.85997,15,39.804364
-4.504989,20,40.349182
-1.034903,15,40.382881
2.132576,23,40.430866
-3.408755,20,40.47439
-1.589828,11,40.500382
5.913386,17,40.53593
0.713962,13,40.566014
-5.975012,23,41.129067
7.347898,20,41.173747
19.450862,55,41.28715
-0.421806,11,41.86725
-4.03604,11,41.892727
-1.172211,12,41.920081
1.471755,33,41.988401
0.746283,16,42.02875
0.030119,25,42.638276
2.024633,16,42.676954
0.721751,14,42.70892
2.279812,13,42.739219
-4.094868,14,42.770673
0.343333,31,42.835115
5.012281,20,43.443597
-2.600765,10,43.468539
3.218939,27,43.524075
1.719708,15,43.559022
-2.329583,15,43.591991
1.205314,12,43.620414
0.512139,16,44.471905
-3.923954,22,44.519881
-3.450828,12,44.549843
0.676276,19,44.591612
0.009805,27,44.650419
3.053324,15,45.279864
-1.04114,24,45.331293
8.202017,21,45.379292
6.109342,20,45.425076
2.579983,16,45.461977
1.929726,27,46.124318
0.124932,25,46.180051
5.93435,24,46.233646
17.554308,40,46.916756
-0.797903,18,46.961496
6.575748,29,47.023028
35.43612,61,47.769239
3.662033,25,47.831642
9.690223,28,47.892478
12.854955,26,47.95019
1.785039,24,48.622265
4.440188,18,48.664061
7.208913,33,48.73243
5.263501,16,48.771163
-0.377445,31,49.480401
-3.749454,26,49.539679
-0.296759,17,49.579448
-1.681514,11,49.606164
-8.520007,33,49.67516
4.135629,15,50.34832
-0.257423,14,50.378838
2.884051,66,50.508061
4.268697,21,51.214854
0.919673,17,51.2532
-1.614001,20,51.296185
9.553035,26,51.350816
5.070264,25,52.065493
9.967177,36,52.141001
0.940157,26,52.200142
-1.775021,17,52.24017
4.948364,21,52.978513
1.021179,16,53.259092
1.022799,18,53.29856
0.672878,14,53.330988
-0.690882,9,53.352688
-2.563424,26,53.406067
6.767027,34,54.155889
5.702188,25,54.211625
-2.68991,21,54.257404
-1.100969,9,54.279989
0.559088,11,54.303663
10.671339,40,55.08545
4.116196,20,55.134516
-7.354952,16,55.171584
0.284485,11,55.198023
6.045585,19,55.239188
4.133002,20,56.007216
5.632957,50,56.109206
1.741716,14,56.148004
0.912173,14,56.179592
-1.723411,25,56.945617
17.450439,41,57.03086
8.622484,29,57.096349
0.695344,11,57.124862
4.964509,20,57.88708
-8.088236,14,57.919056
-4.194763,28,57.976677
-3.12427,22,58.026156
4.636845,19,58.068409
-2.248623,10,58.81889
3.442786,32,58.88432
4.287277,16,58.923951
-3.992838,13,58.954039
-1.426569,20,58.997218
11.196799,39,59.841878
5.407111,16,59.883526
3.486185,18,59.923641
-4.969219,15,59.958095
1.090475,12,59.986313
6.084109,19,60.807561
-3.097862,20,60.852541
-9.800778,12,60.881865
9.905457,25,60.934731
2.514576,14,60.969592
-2.340087,24,61.801811
6.903966,21,61.848658
0.798821,26,61.904276
10.113048,42,61.991669
6.838993,21,63.090707
-5.17012,21,63.138006
5.811619,25,63.192867
0.372014,12,63.222813
26.862996,53,64.10997
-10.22323,15,64.150952
1.958965,11,64.176625
6.349612,31,64.240333
1.3543,13,64.272252
-4.618042,10,65.095759
8.224393,18,65.13404
-1.561095,13,65.164378
4.094467,32,65.229867
-3.850152,15,65.266366
3.558488,34,66.162202
3.652569,15,66.200775
14.158902,23,66.249935
-2.047976,16,66.286723
2.491848,14,66.318325
15.228843,42,67.251573
-3.515714,19,67.29832
17.974908,40,67.381078
9.316712,20,68.277584
-0.688572,11,68.306497
-2.602908,11,68.332502
-2.258396,14,68.363746
10.886055,23,68.413972
0.27281,17,68.454638
-6.668818,14,68.487839
3.568745,42,69.422359
-3.092428,11,69.45291
0.134203,19,69.492737
-3.520089,11,69.518752
6.255369,20,69.559985
-1.848727,19,70.499481
-2.393427,45,70.597397
2.574566,24,70.657202
-6.549878,14,70.691681
11.778858,36,71.642779
-2.530376,22,71.694023
0.128745,13,71.724924
-6.346177,11,71.749799
0.677639,49,72.735982
-2.546519,14,72.774684
6.140649,24,72.825454
1.059435,21,72.872517
10.080367,31,74.070538
-2.156389,16,74.109258
-4.947911,13,74.138836
2.450437,13,74.167878
4.604442,16,74.202675
0.811507,19,74.244134
-2.514263,9,75.173438
8.559751,27,75.2276
14.104356,28,75.286815
-7.53923,25,75.341164
13.703502,34,76.333433
-1.421772,12,76.365697
5.536242,17,76.401736
0.450857,10,76.42549
-6.735413,20,76.46655
-0.599099,18,76.505826
1.335189,23,77.489038
0.378665,17,77.527399
0.838863,13,77.556665
0.703066,12,77.583217
-6.72377,25,77.635535
2.188532,31,78.675795
1.931636,25,78.731717
-3.53081,10,78.757914
-1.51972,11,78.782573
3.272484,14,78.813632
4.368869,15,78.846982
9.598509,27,79.872199
-1.270357,14,79.907263
0.132418,12,79.935108
1.456276,32,80.001489
