eval_returns,eval_time_elapsed,eval_qs,eval_abs_qs_difference,eval_discount_q,eval_qs_difference,eval_eplenmean,total timesteps,eval_ep_rewmean,eval mean 100 episode reward
1304.5333900240682,4,327.8585,114.404655,368.7728840971619,94.50814154082053,151.0909090909091,123001,763.8896524545454,752.7
,,,,,,,123245,,
,,,,,,,123589,,
630.214290404305,4,290.9246,74.94228,362.9239644139371,65.63201190668427,127.72727272727273,124001,653.9798550909092,749.3
,,,,,,,124098,,
,,,,,,,124704,,
727.1316590742678,3,286.3616,74.52198,355.83081917067176,66.13248558968542,116.27272727272727,125001,614.1715688181818,711.5
,,,,,,,125237,,
,,,,,,,125908,,
514.4356556235094,4,283.9063,82.23393,342.5228855129939,74.8114941472996,128.45454545454547,126001,633.5173440909091,721.1
,,,,,,,126606,,
521.4788590826519,2,224.80473,63.887413,294.64761574688356,51.14493600490612,85.0,127001,441.4212368181818,685.0
,,,,,,,127121,,
,,,,,,,127737,,
335.6567492393897,6,326.5827,86.21765,403.24245896613587,64.72275637801103,183.45454545454547,128001,928.637578090909,703.4
,,,,,,,128178,,
,,,,,,,128862,,
439.5611030457237,4,279.1266,72.33505,357.37255627949065,57.39562681437485,128.54545454545453,129001,662.8626112727272,679.8
,,,,,,,129436,,
767.5124359531034,5,321.34766,92.613945,381.2590800700142,81.041458546773,165.54545454545453,130001,844.0145329090909,699.0
,,,,,,,130118,,
646.2996867773168,3,291.7451,85.26165,358.40784733035093,73.60169458669886,119.0,131001,619.2953818181818,682.6
,,,,,,,131057,,
,,,,,,,131782,,
304.3624116984776,2,282.63882,100.58941,316.17941134057986,90.42204742900566,93.54545454545455,132001,502.7694344545456,662.4
,,,,,,,132220,,
,,,,,,,132778,,
1289.0677463102802,5,314.3742,75.910484,401.77469076653773,63.72553392269879,161.8181818181818,133001,824.573295181818,668.3
,,,,,,,133355,,
,,,,,,,133972,,
531.6855453486385,4,295.25714,72.14229,367.218526311909,62.86608306510367,126.9090909090909,134001,682.9030578181818,684.7
,,,,,,,134373,,
,,,,,,,134900,,
459.3164960986313,3,282.3735,102.479,306.9567588440512,97.34258480131152,96.72727272727273,135001,506.1966937272727,666.1
,,,,,,,135241,,
,,,,,,,135600,,
,,,,,,,135997,,
434.3391191394792,3,256.11487,65.352425,333.4552984307452,47.81601139483798,116.72727272727273,136001,614.1959325454544,685.6
,,,,,,,136459,,
562.0697992148384,3,275.48108,88.877144,328.6556313347485,79.13320332977709,100.0,137001,526.2712120909091,637.3
,,,,,,,137210,,
,,,,,,,137901,,
894.890495506791,6,329.03784,63.119198,436.70670288199125,38.66263594175753,203.27272727272728,138001,1058.9992367272725,679.4
,,,,,,,138618,,
1276.7885197897729,5,290.13168,63.61134,397.82335626286726,37.89290690683914,154.45454545454547,139001,805.7712906363638,675.8
,,,,,,,139377,,
,,,,,,,139734,,
609.5238345990581,4,288.6765,70.19295,371.2564053392594,56.854659464840104,133.72727272727272,140001,699.8464000909091,690.6
,,,,,,,140177,,
,,,,,,,140998,,
1348.5826341851352,10,370.05905,69.58133,476.16556419731114,30.26951720324882,309.0,141001,1605.8189714545456,800.7
,,,,,,,141653,,
1398.400758392118,6,348.01248,74.00121,444.1128722656767,59.329282503081274,205.8181818181818,142001,1058.7982744545454,838.3
,,,,,,,142501,,
626.9097338034625,3,416.07947,235.37343,299.7026289254014,231.58091218338652,106.0909090909091,143001,556.0461163636363,821.9
,,,,,,,143040,,
,,,,,,,143391,,
,,,,,,,143956,,
771.3216104475965,6,365.17053,91.05108,428.0097147750564,79.71779906658186,191.0909090909091,144001,1015.8009586363637,873.5
,,,,,,,144656,,
,,,,,,,144927,,
2647.6571905870564,9,387.4126,79.03354,466.51053155329777,65.33695346404701,272.90909090909093,145001,1414.5969227272728,951.5
,,,,,,,145952,,
1074.0058234320904,8,350.17337,59.709106,466.0432311895682,28.83962171316681,242.54545454545453,146001,1280.2771453636362,1043.9
845.8569130299345,7,375.30215,111.50062,433.47753936186723,86.43011836712013,222.0909090909091,147001,1141.7884324545453,1066.6
,,,,,,,147253,,
,,,,,,,147960,,
681.9102586514352,5,367.13156,98.488846,423.8283418049584,95.14534493852328,180.0,148001,926.5426761818184,1084.4
,,,,,,,148877,,
943.0761896853597,6,374.42712,87.20803,442.7499221040253,76.91758152026564,196.8181818181818,149001,1050.835035090909,1109.9
,,,,,,,149737,,
925.5581967283765,5,342.1929,92.636116,410.9700776301759,77.33182284594645,161.36363636363637,150001,865.6022623636363,1034.8
,,,,,,,150262,,
,,,,,,,150965,,
923.6153738805103,5,371.39044,109.00184,416.06025258218415,100.35652869543827,170.45454545454547,151001,913.7993761818183,1020.0
,,,,,,,151662,,
788.5543283374528,5,359.6979,92.16103,431.938411522125,80.26241584732912,179.45454545454547,152001,949.7569302727272,1052.1
,,,,,,,152376,,
1928.6752184253205,8,378.2559,65.20959,479.9816129664786,38.944140260051036,265.3636363636364,153001,1426.8114232727273,1096.9
,,,,,,,153291,,
843.5910863218961,5,354.63052,92.54914,425.4201007879917,83.64782007006457,164.54545454545453,154001,881.6804149090909,1068.0
,,,,,,,154053,,
,,,,,,,154852,,
1158.2592080831712,6,353.53677,88.293015,438.22537946457766,71.1763630975715,194.54545454545453,155001,1018.2310310909089,1034.2
,,,,,,,155543,,
773.6743923197376,5,328.09058,70.515,425.4814754413197,56.00135381370665,176.72727272727272,156001,933.1189390909093,993.7
,,,,,,,156214,,
1044.3568538478794,6,363.7964,93.50683,445.9141956404491,68.96167734009842,195.0909090909091,157001,1029.6905258181816,999.6
,,,,,,,157088,,
,,,,,,,157681,,
949.263992088431,7,382.25735,77.787224,467.5816978730652,70.03549338268593,221.45454545454547,158001,1181.4614641818182,1016.4
,,,,,,,158464,,
2691.905827497442,7,356.94333,72.16433,452.0182057942562,47.509015390440524,226.54545454545453,159001,1228.9370905454546,1041.3
,,,,,,,159198,,
,,,,,,,159949,,
1077.9270540697435,5,318.4692,89.74084,388.91374937774714,62.646449157165016,155.36363636363637,160001,855.6018380909089,1049.0
615.4922503179502,4,313.8254,87.96262,390.94295301584424,70.50738246284392,150.63636363636363,161001,799.6883326363636,1042.5
,,,,,,,161135,,
,,,,,,,161915,,
1129.1997233318832,7,355.96805,58.673622,467.0289494855173,37.64261875655954,218.27272727272728,162001,1193.4977575454543,1036.0
,,,,,,,162585,,
1170.619973914489,4,329.00543,117.94507,353.8698507720196,100.5366798747967,137.63636363636363,163001,750.1738209090909,999.9
,,,,,,,163659,,
893.8936584571842,7,390.19394,72.88251,481.44786330090216,49.39321786088958,241.27272727272728,164001,1325.0135981818182,1033.6
,,,,,,,164549,,
1954.001374395125,9,402.08035,72.746826,480.8765687572261,55.8058629708646,275.90909090909093,165001,1489.8014154545456,1092.7
,,,,,,,165320,,
,,,,,,,165619,,
1085.3140737185083,6,389.0091,94.92434,446.03688979132437,84.10326302396746,212.0909090909091,166001,1151.2568152727274,1110.7
,,,,,,,166412,,
456.6426704791065,6,373.5989,98.106575,431.2404556569673,86.85677312268506,186.8181818181818,167001,1000.8605379999998,1095.3
,,,,,,,167169,,
,,,,,,,167659,,
1655.6623970950072,7,381.6803,78.39663,471.9623472116888,59.6322155628116,224.54545454545453,168001,1203.5414792727272,1097.3
,,,,,,,168775,,
859.8596936124619,6,406.14444,108.22033,450.8120095621934,101.97528924905988,209.27272727272728,169001,1117.4565947272729,1109.9
,,,,,,,169680,,
470.72931251951405,5,375.03763,114.00645,415.35155402390666,106.3613638552341,163.45454545454547,170001,879.3568631818181,1117.0
1097.4308839312594,6,418.7084,129.7477,443.7842500857094,122.73917741106712,188.36363636363637,171001,1028.3517274545454,1104.0
,,,,,,,171011,,
530.7912642698942,8,417.41513,121.20134,446.19389178444396,113.0564810232331,250.9090909090909,172001,1338.5826182727271,1170.5
,,,,,,,172006,,
,,,,,,,172909,,
741.1555492493649,8,452.85803,144.67793,454.57277602456014,133.4352809779796,257.09090909090907,173001,1380.4729689090907,1172.0
,,,,,,,173966,,
954.1622423039644,6,385.7707,111.30042,432.77157138041144,97.4331145643505,186.45454545454547,174001,1016.1288100909093,1133.9
,,,,,,,174680,,
3168.0591681373917,9,424.54266,92.08377,486.70302181591256,76.49316460911335,295.45454545454544,175001,1608.2683116363637,1149.0
,,,,,,,175667,,
844.9256362287273,7,402.09778,95.807304,462.4770867948358,87.15766040463932,221.0,176001,1205.5833843636362,1191.5
,,,,,,,176330,,
795.1393203854229,4,360.99164,109.71184,402.10034909257115,103.63938124573252,133.8181818181818,177001,747.2433304545452,1155.1
,,,,,,,177048,,
,,,,,,,177951,,
1760.0271282189274,8,407.85974,88.37973,482.08873619073967,64.51370359044803,268.45454545454544,178001,1469.244717818182,1170.6
,,,,,,,178755,,
961.6970664428973,6,396.07333,95.71169,465.0072632685238,86.94785004257325,196.9090909090909,179001,1075.9782360000002,1198.4
,,,,,,,179569,,
749.0767415934424,7,408.32663,78.170715,487.9873502191533,63.92431043782622,243.9090909090909,180001,1359.1777342727273,1249.6
,,,,,,,180218,,
1537.035722876306,8,405.28616,77.234955,493.85728844123986,60.78860561444294,250.8181818181818,181001,1393.3194249090907,1240.0
,,,,,,,181035,,
,,,,,,,181983,,
2897.5617925880356,10,419.28568,65.489,512.2442687461898,41.789585315986116,325.0,182001,1801.295401,1283.2
,,,,,,,182998,,
1693.5015937045382,7,406.39896,100.68775,461.09757120627495,88.97738667275516,231.36363636363637,183001,1250.2316737272727,1309.0
,,,,,,,183753,,
887.8948058050768,4,387.80283,135.124,407.43949840461465,128.46104921651488,142.1818181818182,184001,781.9170441818183,1248.9
,,,,,,,184433,,
964.8443007920226,7,377.75412,93.99582,463.0757461002555,73.13390029498129,213.36363636363637,185001,1141.793412818182,1225.2
,,,,,,,185056,,
,,,,,,,185665,,
808.4059960914153,5,365.73877,89.36645,441.3796293547688,77.80161813719245,166.27272727272728,186001,920.6047378181818,1237.2
,,,,,,,186494,,
661.4072395015696,7,393.5458,96.2824,458.06737499551963,74.35579751238078,242.9090909090909,187001,1350.3057994545454,1243.1
,,,,,,,187190,,
,,,,,,,187806,,
726.7725030858421,5,353.63647,96.151054,431.9457165883434,75.87125694989653,166.0909090909091,188001,901.7751351818183,1211.3
,,,,,,,188451,,
1049.770863154004,7,365.2961,73.8854,485.31358812091804,32.58258820381128,233.54545454545453,189001,1298.2804436363638,1207.2
,,,,,,,189106,,
,,,,,,,189754,,
1346.606250874914,7,365.54834,73.45551,477.6775976687193,36.042719845457555,223.72727272727272,190001,1266.5218817272728,1198.0
,,,,,,,190346,,
2025.9886922169019,5,358.14584,87.62027,439.3331186904698,71.78433948619225,185.45454545454547,191001,1005.954229272727,1121.0
,,,,,,,191326,,
,,,,,,,191829,,
1552.3809917907486,5,403.48083,148.2283,407.4411267659348,131.48414293998025,162.9090909090909,192001,928.2059960909093,1066.3
,,,,,,,192359,,
730.1247636047987,6,369.0707,73.67488,471.7913377648349,49.64529090756458,199.36363636363637,193001,1121.2391144545456,1100.2
,,,,,,,193316,,
,,,,,,,193942,,
914.5152473023434,6,389.48593,104.459496,471.78819388438495,66.90443169388102,204.45454545454547,194001,1166.8180287272728,1105.4
,,,,,,,194644,,
719.0793575476608,5,384.36902,119.41031,429.1027181603693,101.65002461108233,175.9090909090909,195001,988.005947090909,1112.4
,,,,,,,195328,,
500.6460476642998,3,453.26758,239.13905,351.73064716161787,237.79878745275593,105.0909090909091,196001,578.5267498181819,1028.3
,,,,,,,196055,,
,,,,,,,196669,,
1027.3863697074037,5,383.4427,101.825836,448.1883029651913,84.13068204511924,177.8181818181818,197001,1005.994411,1038.6
,,,,,,,197354,,
,,,,,,,197928,,
876.4036734528624,4,338.75443,110.725784,413.3428895132949,76.67607284695985,143.0,198001,807.078911909091,984.9
,,,,,,,198255,,
,,,,,,,198995,,
1331.2965868621168,10,403.258,75.46552,506.15071331398394,38.38992251230778,310.54545454545456,199001,1714.9297218181819,1036.4
,,,,,,,199535,,
2080.7071897876594,10,418.19934,72.66005,530.1173584548087,30.33086111991474,317.45454545454544,200001,1804.2988240909092,1121.7
,,,,,,,200439,,
1422.6708194510475,5,375.81192,123.17298,421.52382534236307,95.7768359609036,177.54545454545453,201001,998.0070574545455,1124.2
,,,,,,,201740,,
415.30221804863845,3,446.5905,237.5688,338.8635636945298,235.05304433885604,100.54545454545455,202001,573.5258494545454,1076.3
,,,,,,,202286,,
2347.0349031541205,11,434.65234,77.81368,534.6138580837029,41.94310472626399,332.3636363636364,203001,1902.956772272727,1142.1
,,,,,,,203098,,
1291.7562546819424,5,343.69232,84.47818,434.1660576375041,70.0016665337922,161.36363636363637,204001,892.152159,1131.0
,,,,,,,204219,,
672.423546253395,4,374.84818,150.87517,374.9657546132875,143.89839165530788,127.72727272727273,205001,703.2945522727273,1149.4
,,,,,,,205153,,
,,,,,,,205674,,
668.6006916956376,6,379.2921,89.457634,469.2303046564833,57.80537653669394,196.72727272727272,206001,1148.890439909091,1168.2
,,,,,,,206949,,
1831.287665470604,9,422.58643,90.8497,516.7243455381584,49.28102711503364,293.90909090909093,207001,1714.6185734545454,1258.3
,,,,,,,207901,,
1429.9998257595437,4,481.08984,281.27945,317.75778766957114,271.31649949771236,137.1818181818182,208001,788.1152874545455,1184.4
,,,,,,,208478,,
5103.05381276698,21,485.21432,92.4007,546.5493058643019,33.81677747106618,597.9090909090909,209001,3545.8505060909088,1336.3
,,,,,,,209400,,
,,,,,,,209962,,
2007.4660729558648,9,413.8123,116.35157,475.89465396703906,73.19559447232847,271.3636363636364,210001,1558.9473776363636,1411.9
,,,,,,,210746,,
1869.964823070458,7,410.32883,97.04272,486.9233719220478,79.75352170027227,229.45454545454547,211001,1293.2166913636365,1479.0
,,,,,,,211494,,
549.0596604209859,12,423.7541,102.05972,499.69860626384923,54.77144422445822,352.72727272727275,212001,2111.000696181818,1547.1
,,,,,,,212710,,
373.52524738246035,10,442.11862,108.33582,510.331740008322,74.49297570384955,310.8181818181818,213001,1783.7989233636363,1633.4
,,,,,,,213661,,
685.7055798959987,7,361.72293,82.07165,481.9632189955562,31.73906511246274,235.72727272727272,214001,1359.7170669999998,1690.9
,,,,,,,214689,,
4865.51945360044,16,489.32434,78.63838,572.2996414639304,23.77055533907053,478.54545454545456,215001,2911.7226521818184,1845.3
,,,,,,,215245,,
518.8983082006072,4,372.68918,139.98169,390.97398980046177,120.66326181462777,134.9090909090909,216001,782.8662080000001,1798.6
,,,,,,,216203,,
,,,,,,,216714,,
514.8679212620738,4,357.7347,132.3893,389.98708402583327,117.56372070088698,120.45454545454545,217001,683.7562064545455,1775.2
,,,,,,,217292,,
,,,,,,,217774,,
278.0574630556769,2,502.9009,320.62445,310.4454286638124,311.88471054315795,83.27272727272727,218001,480.59333227272725,1534.8
,,,,,,,218079,,
,,,,,,,218778,,
3876.738143000397,12,457.49356,101.95356,515.5450732062751,72.1710719291505,347.8181818181818,219001,2073.6512129999996,1481.6
618.5309385043571,4,403.17874,163.4787,407.2758637822606,144.38197534224201,135.45454545454547,220001,792.1462049090908,1449.5
,,,,,,,220319,,
,,,,,,,220844,,
1604.6342954700435,4,355.803,131.3985,395.77278317580516,107.98378100698373,139.54545454545453,221001,767.4428748181818,1279.6
,,,,,,,221253,,
,,,,,,,221703,,
283.11245947352086,1,552.3505,413.61902,236.28461986205738,413.6190297262792,56.09090909090909,222001,312.06958681818185,1155.9
,,,,,,,222101,,
,,,,,,,222694,,
976.3432890794151,5,422.37048,137.57903,443.0838637794563,119.25320490830835,169.72727272727272,223001,1025.7004344545455,1085.4
,,,,,,,223371,,
,,,,,,,223938,,
859.0922942863585,4,463.7587,244.3507,356.23384134454795,230.27296885474087,143.63636363636363,224001,853.2669058181818,921.8
,,,,,,,224434,,
,,,,,,,224773,,
633.4984285611081,8,457.2886,138.16592,487.6634017756684,111.66632122166976,234.54545454545453,225001,1420.0388905454545,928.1
,,,,,,,225425,,
686.3743184308843,4,369.4744,115.410286,411.02584612926603,106.153183343837,123.45454545454545,226001,743.4597898181819,935.0
,,,,,,,226767,,
1291.2258832527025,9,447.73312,98.03409,515.5268562388005,84.57819370098679,256.45454545454544,227001,1512.9371281818183,1041.4
,,,,,,,227450,,
616.3599165104372,6,426.8511,147.49066,432.8245867021338,127.95115053480694,180.1818181818182,228001,1122.701812,982.5
,,,,,,,228407,,
603.9587479143502,4,444.96146,223.7316,360.43941641465676,213.51852422122366,120.9090909090909,229001,705.305984,936.5
,,,,,,,229056,,
,,,,,,,229535,,
,,,,,,,229909,,
607.7266298471721,4,412.21887,138.04933,427.0294343794718,132.2661771116054,139.36363636363637,230001,835.3979423636363,953.3
,,,,,,,230373,,
1576.11572802669,7,449.86835,142.56592,480.6227290835411,112.8493257129008,215.0909090909091,231001,1317.8285452727273,1039.0
,,,,,,,231053,,
516.4067984968686,4,392.224,146.7949,397.0270451538027,127.54439700051934,132.45454545454547,232001,824.459956909091,1045.8
,,,,,,,232509,,
172.38639306666786,1,539.2286,437.35675,193.3555390570223,427.23867449051744,48.90909090909091,233001,264.9846649090909,977.1
,,,,,,,233069,,
,,,,,,,233498,,
,,,,,,,233926,,
846.2569985413082,4,397.16556,140.80475,424.32925591675337,121.40291235362102,135.0909090909091,234001,817.3032117272727,901.2
,,,,,,,234240,,
476.55304682443443,5,523.4495,298.3887,348.6520038629582,288.2110955805619,168.0909090909091,235001,993.1252273636363,930.3
,,,,,,,235711,,
446.32350225240134,7,502.31442,192.65321,464.6198826086753,174.6592676628384,198.0909090909091,236001,1222.2315789999998,918.2
,,,,,,,236389,,
2381.224693955544,9,526.19965,190.47836,484.17815651459676,171.36688940667779,275.1818181818182,237001,1682.8156297272726,943.2
,,,,,,,237279,,
1525.3430727248738,8,453.76877,133.45908,512.0686454250524,92.38333333549836,236.54545454545453,238001,1430.6756606363635,1026.2
,,,,,,,238867,,
305.55885867153677,4,563.04565,379.63037,291.10925317961295,371.62872450236705,121.0,239001,723.2405306363636,1031.8
,,,,,,,239455,,
307.4852182420877,2,579.97754,443.521,235.4264541428705,443.52098741617743,57.36363636363637,240001,312.05450454545456,930.9
,,,,,,,240124,,
,,,,,,,240791,,
871.5445565350047,9,450.25037,115.79995,506.887560044716,88.89253472431518,284.0,241001,1693.0725479090909,1009.0
875.77415140604,9,470.30167,115.236984,515.5298004052603,86.91534943002279,270.27272727272725,242001,1697.6138251818184,1157.9
,,,,,,,242213,,
,,,,,,,242765,,
277.4112375615613,5,409.84296,174.4864,405.57501615478907,132.7677541835831,169.1818181818182,243001,1043.4158392727275,1205.9
,,,,,,,243238,,
,,,,,,,243583,,
,,,,,,,243946,,
1826.782375516861,7,461.89963,109.31026,521.405721055729,90.82885291131632,218.9090909090909,244001,1348.3017947272726,1215.5
,,,,,,,244373,,
888.8200876375023,5,363.13,123.38511,411.85122274140593,93.72614601893842,157.9090909090909,245001,931.5120942727273,1203.7
,,,,,,,245143,,
,,,,,,,245744,,
1829.568602158214,8,520.1645,174.16498,511.97813900368635,148.05265646907154,248.0,246001,1569.554365,1225.9
2330.2017564934,5,388.18546,135.28764,418.12442899715427,107.03369149757518,160.36363636363637,247001,977.3749697272727,1128.3
,,,,,,,247029,,
1173.2490886154646,8,461.13937,139.99623,486.76437290971177,113.18133717028537,250.9090909090909,248001,1608.9784901818182,1233.7
,,,,,,,248140,,
,,,,,,,248808,,
185.96057825328796,1,607.9524,519.7099,154.86599837698847,519.7099216307105,34.54545454545455,249001,184.1419758181818,1220.6
,,,,,,,249625,,
158.0615778873302,3,485.40128,277.4806,335.2309466417169,268.2166492012288,109.36363636363636,250001,661.992134,1139.1
,,,,,,,250562,,
1769.3198291611898,8,460.4447,127.95701,505.7196188699039,85.66413834329882,257.09090909090907,251001,1633.8879316363634,1101.4
,,,,,,,251757,,
1055.1323879522768,8,452.46814,115.81021,518.0467589822731,83.64288269815887,239.1818181818182,252001,1485.571417909091,1141.9
,,,,,,,252175,,
1195.448226281757,9,434.43176,102.02397,508.64805621598606,51.82222793308838,272.09090909090907,253001,1733.3245774545453,1206.8
,,,,,,,253193,,
521.082308968209,7,426.7252,126.96758,472.6642274557911,93.91275398342259,210.1818181818182,254001,1307.7765962727271,1237.4
,,,,,,,254386,,
,,,,,,,254991,,
3369.2710642247803,10,480.7501,92.19487,570.869821089285,57.44293776181796,297.72727272727275,255001,1883.949695,1250.5
,,,,,,,255811,,
915.570904552217,5,460.3325,151.39641,478.6016767890169,130.19452813151247,157.45454545454547,256001,1032.8927236363636,1291.9
,,,,,,,256742,,
1246.4383420838537,6,456.19717,132.22934,490.7944564861813,112.33693378168809,184.54545454545453,257001,1180.5186019090909,1248.9
,,,,,,,257383,,
,,,,,,,257991,,
1882.777835358946,10,484.83264,120.732666,540.0240798169679,75.4806286323524,289.09090909090907,258001,1887.6774034545454,1393.6
,,,,,,,258404,,
740.892395165918,6,455.16953,109.23681,503.6695765103936,87.45003303961964,187.36363636363637,259001,1266.2354347272728,1471.3
,,,,,,,259140,,
,,,,,,,259689,,
1420.1792358517996,4,385.75388,110.51672,451.3063959957854,79.69926656284227,139.8181818181818,260001,907.2101962727272,1404.1
,,,,,,,260667,,
,,,,,,,260982,,
1171.961797388724,9,482.07306,104.76172,561.1819862408444,53.475005901380854,287.90909090909093,261001,1901.4067885454542,1446.3
,,,,,,,261790,,
1877.829405649193,14,524.82104,91.5983,585.9665592293197,48.482743190235425,420.45454545454544,262001,2790.2165764545457,1558.7
5884.606771630363,16,550.08124,75.85887,624.0965155553321,24.91535269198765,475.0,263001,3251.3109660000005,1728.0
,,,,,,,263169,,
1440.928893161413,5,466.37518,177.33832,447.0233300074717,154.00193357737223,151.72727272727272,264001,1003.0079307272728,1706.4
,,,,,,,264110,,
278.80761890735477,2,592.72565,433.83524,261.2550889104887,431.00541350678037,66.0,265001,396.4332249090909,1621.8
,,,,,,,265118,,
,,,,,,,265534,,
,,,,,,,265920,,
1396.1982117037012,6,485.91895,143.38805,514.8016900059721,118.12871296448981,197.0909090909091,266001,1288.0737271818182,1621.6
,,,,,,,266570,,
343.0867055147746,1,615.94135,502.06384,194.12227795308183,501.9849479510873,43.18181818181818,267001,242.90598990909092,1482.1
,,,,,,,267166,,
,,,,,,,267513,,
4310.032249623863,9,535.7402,150.93697,538.536990140079,105.9681394470984,279.45454545454544,268001,1935.6595926363634,1489.7
,,,,,,,268387,,
,,,,,,,268866,,
1714.3074216188168,10,530.60626,97.90132,588.8518061135105,70.8304619510297,293.09090909090907,269001,1971.0817150909097,1630.9
,,,,,,,269754,,
6140.332495931579,12,538.04486,125.54174,565.7744267528726,90.95714111289531,350.8181818181818,270001,2372.003599181818,1645.5
,,,,,,,270420,,
1176.3402324488852,7,534.86505,146.6319,544.4257046012898,125.30096144982186,212.63636363636363,271001,1463.012756090909,1587.7
,,,,,,,271325,,
5880.866539273969,12,543.77484,92.62243,605.6518115462109,50.48115222103169,360.1818181818182,272001,2474.6137659999995,1471.9
,,,,,,,272638,,
1223.950002074042,12,551.5357,102.71401,603.3995815072344,62.8508900875066,353.6363636363636,273001,2461.289463090909,1617.3
,,,,,,,273670,,
419.4587635194413,10,553.01215,152.08205,554.1693940797678,119.82084961171036,304.6363636363636,274001,2074.4756732727274,1793.3
,,,,,,,274565,,
396.4225796650322,6,548.4977,249.19345,439.25429199145185,240.5849846251924,177.27272727272728,275001,1127.4575463636365,1797.8
,,,,,,,275355,,
1168.6491888368657,5,445.3044,193.43996,421.2173478900085,166.52976842523927,154.45454545454547,276001,922.3492417272727,1842.3
,,,,,,,276457,,
1239.591118600019,11,566.1641,134.50171,573.3990237586482,109.12261524702139,317.1818181818182,277001,2207.4956730000004,1920.4
,,,,,,,277308,,
2558.003893415199,11,573.6301,108.86326,600.7234686793233,89.31644123419942,330.1818181818182,278001,2255.193806909091,1918.9
2455.7791644139234,14,550.65393,92.49973,611.9647846174138,38.21184433084626,399.54545454545456,279001,2832.4601492727274,2005.7
,,,,,,,279139,,
1255.6567323394595,18,603.0483,90.8263,633.1855349173435,41.05774011981093,514.3636363636364,280001,3634.054736,2202.5
,,,,,,,280655,,
630.6854411304051,11,578.6565,202.27164,504.30103057612325,177.40965872063532,326.8181818181818,281001,2215.814036,2241.5
,,,,,,,281871,,
2520.522719631446,8,519.00305,161.78041,518.1600733797203,126.69911056050445,250.1818181818182,282001,1665.1954055454546,2086.4
2467.9386716655686,11,539.8882,121.85253,574.6509244883747,96.05021532684545,310.54545454545456,283001,2093.5302735454543,2078.5
,,,,,,,283183,,
612.3670259307937,4,612.4931,363.20575,384.1473115966804,355.06478825341634,128.54545454545453,284001,808.8879000000001,2052.4
,,,,,,,284115,,
,,,,,,,284838,,
385.4400063109002,5,546.82874,268.23816,413.91573924197456,254.05365280202997,151.9090909090909,285001,993.7112342727273,2073.4
,,,,,,,285217,,
503.784102108606,5,578.15405,311.20303,409.299963981624,292.6556616873975,152.45454545454547,286001,987.6287949999999,1947.8
,,,,,,,286066,,
,,,,,,,286918,,
1282.65219257933,3,601.1685,382.05847,348.4342138262884,374.9040124397199,100.27272727272727,287001,628.829173909091,1776.8
,,,,,,,287476,,
1371.0693533268843,9,522.50464,136.00548,551.9638188290369,109.80528778773929,284.0,288001,1915.9054663636364,1671.7
,,,,,,,288090,,
,,,,,,,288776,,
1327.002091805907,8,469.8608,190.46193,447.3901752504804,141.12594813305395,236.8181818181818,289001,1600.3931254545453,1452.4
,,,,,,,289108,,
,,,,,,,289968,,
4603.86484619177,10,522.4617,173.00967,509.71395590054675,126.39490281588542,286.54545454545456,290001,1974.7461842727273,1414.9
,,,,,,,290278,,
,,,,,,,290888,,
274.56249913389513,4,409.79776,179.00519,383.3255873470138,143.08964987484774,139.0,291001,926.0112409090908,1347.9
,,,,,,,291893,,
174.23727762199707,10,474.4829,157.59125,459.208254311802,124.36869864363129,293.1818181818182,292001,1944.6773949999997,1331.2
,,,,,,,292330,,
,,,,,,,292763,,
1168.145112431823,5,429.44217,158.29091,434.1391869935356,132.67656261542368,144.0909090909091,293001,950.9139316363636,1314.1
,,,,,,,293211,,
,,,,,,,293979,,
236.67015190051467,1,328.78714,201.33842,234.80379903134855,183.1729589267994,55.90909090909091,294001,341.5490979090909,1251.4
,,,,,,,294364,,
597.957293929779,8,463.00827,132.20398,526.3253190592462,96.19852037539667,244.8181818181818,295001,1547.7940562727274,1314.9
,,,,,,,295267,,
332.23310191699693,4,497.53195,272.03674,373.50418027211896,260.7501459053719,117.81818181818181,296001,712.7678245454546,1326.8
,,,,,,,296094,,
1055.916635747309,8,476.9253,139.5021,514.2255476937365,108.80117308548257,237.45454545454547,297001,1546.0486834545452,1275.6
,,,,,,,297624,,
1788.221214845104,11,571.9004,140.15236,598.6410822321772,126.37990577822364,313.1818181818182,298001,2085.564108181818,1321.5
,,,,,,,298479,,
1507.2911117855135,15,575.4961,126.81249,594.8349540887446,105.2524226731009,429.0,299001,2781.985008454545,1445.8
3298.952327316101,15,601.6525,139.58223,609.3517423126282,99.45551269637393,449.54545454545456,300001,3130.6592900909095,1631.3
,,,,,,,300555,,
3266.5708364526986,16,576.0722,101.297806,638.0605961242057,54.61271630306221,476.27272727272725,301001,3248.1953758181817,1773.5
,,,,,,,301529,,
1650.4210031729137,22,624.4454,89.215546,639.4755983717818,54.94121537857441,629.1818181818181,302001,4415.920559545455,2193.7
2129.0897352580832,15,598.54596,100.58642,640.7224084920941,70.61370475430245,428.72727272727275,303001,2973.153795636364,2451.5
,,,,,,,303166,,
,,,,,,,303719,,
7447.0764422082975,23,614.5068,101.43098,636.8371248583658,49.72806402116619,658.0909090909091,304001,4728.490077636363,2763.9
588.0693696754693,8,406.82166,141.85616,395.19532927263384,117.89880621918263,242.9090909090909,305001,1579.4006601818182,2917.4
,,,,,,,305250,,
,,,,,,,305786,,
