eval_abs_qs_difference,eval_returns,eval mean 100 episode reward,eval_discount_q,eval_ep_rewmean,eval_eplenmean,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference
23.820057,-83.9139705734109,-66.7,-46.316410684472096,-73.6802451818182,100.0,-4.2285037,34001,1,23.598495352338492
,,,,,,,34400,,
,,,,,,,34800,,
15.723516,-55.04911661784643,-64.0,-38.386948753132934,-58.662975,100.0,-5.453352,35001,1,15.206543891280539
,,,,,,,35200,,
,,,,,,,35600,,
,,,,,,,36000,,
18.103807,-63.10592516911518,-65.2,-41.76870533158114,-65.41882327272727,100.0,-6.4259205,36001,1,17.641884526485267
,,,,,,,36400,,
,,,,,,,36800,,
17.554617,-66.79059934501329,-67.1,-42.11408436891535,-66.4658750909091,100.0,-8.200551,37001,1,16.572380658609536
,,,,,,,37200,,
,,,,,,,37600,,
,,,,,,,38000,,
15.2057,-49.66437123933376,-67.2,-36.01620998831912,-56.09060745454545,100.0,-6.77457,38001,1,13.659989401068303
,,,,,,,38400,,
,,,,,,,38800,,
16.96826,-53.526121163119655,-66.3,-36.66085355802168,-58.009445,100.0,-5.212007,39001,1,16.50319290660905
,,,,,,,39200,,
,,,,,,,39600,,
,,,,,,,40000,,
14.393551,-52.69401585692659,-64.2,-34.68875491589158,-54.489577272727274,100.0,-6.801671,40001,1,13.34603845039883
