eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
,,132521,,,,,,,
534.4,242.7228173067663,133001,318.27055827272727,77.81707314856138,5,334.65753,122.81663517392425,243.50043,190.36363636363637
,,133394,,,,,,,
468.3,320.217388647696,134001,65.42048318181818,70.24148302761336,2,333.99915,54.29646104486521,320.2174,84.9090909090909
,,134018,,,,,,,
,,134478,,,,,,,
381.2,283.28441583629206,135001,123.29437672727272,75.39157340109722,3,315.3519,72.6531798453006,284.28506,138.63636363636363
,,135135,,,,,,,
,,135571,,,,,,,
281.0,273.6323740482735,136001,105.4572808181818,132.7635771999553,7,296.92224,65.16953137824058,274.90427,256.1818181818182
,,136549,,,,,,,
264.4,234.43978423733176,137001,354.1941775454545,239.18570065260948,5,336.86252,120.21729272352083,234.84816,198.27272727272728
,,137620,,,,,,,
329.8,183.75091584848587,138001,1087.388322181818,452.401358824948,11,370.40857,155.74285863652491,189.55034,393.1818181818182
,,138519,,,,,,,
351.6,232.20164326307423,139001,439.8251047272728,105.18888998766096,6,346.41962,117.22532673933087,232.49806,243.63636363636363
,,139590,,,,,,,
327.4,224.2780799971101,140001,142.16987272727272,137.3194168249736,2,280.5361,90.44092243622644,225.2661,91.9090909090909
,,140254,,,,,,,
346.0,226.19715296831038,141001,435.32040754545454,119.70077055537233,5,334.30627,117.65459262946034,228.56627,204.36363636363637
,,141273,,,,,,,
391.2,203.27878403838986,142001,794.3009892727273,139.08470209100452,8,370.78964,153.03407686064168,207.72267,300.1818181818182
,,142098,,,,,,,
398.1,244.1031107298658,143001,137.80562,148.29255396661682,2,299.63953,84.87103879333691,244.59142,96.45454545454545
,,143232,,,,,,,
408.3,234.67310728315695,144001,209.84439945454548,153.48178250473683,3,313.35547,114.02922883891473,235.22476,115.63636363636364
,,144285,,,,,,,
,,144716,,,,,,,
466.7,209.74360848786492,145001,602.1538635454546,155.59928135829298,6,355.4302,139.3452806084251,218.53067,223.45454545454547
,,145758,,,,,,,
442.6,252.37982594870752,146001,113.83522963636364,92.24389415489698,2,299.81607,76.38077674437824,252.86182,81.45454545454545
,,146421,,,,,,,
394.2,207.5072046203125,147001,586.6845927272727,135.16294893544747,6,339.6632,129.68040404318745,210.49806,211.54545454545453
,,147129,,,,,,,
,,147495,,,,,,,
,,147919,,,,,,,
352.9,235.22274883468808,148001,154.55266972727273,108.87124938725586,3,291.13925,81.46809789110279,238.65553,113.0
,,148834,,,,,,,
389.6,189.8662875474806,149001,528.5202747272727,496.8562203939618,6,336.93912,136.12854387150594,192.92792,241.45454545454547
,,149418,,,,,,,
,,149782,,,,,,,
368.1,202.30993570273333,150001,282.2048548181818,1102.8220757119698,3,290.6527,106.59334378209219,206.68407,132.8181818181818
,,150108,,,,,,,
,,150461,,,,,,,
333.6,201.84544629944185,151001,510.0265074545454,1298.7784421978122,5,332.29953,124.64744406765463,203.3919,200.45454545454547
374.4,214.95964767805006,152001,478.63194672727275,978.9743409335632,5,352.0967,138.608878742377,218.28856,183.72727272727272
,,152030,,,,,,,
,,152404,,,,,,,
,,152785,,,,,,,
371.3,170.52845673335852,153001,94.76149127272728,91.47577452831392,2,206.054,65.65545045131934,181.6609,83.72727272727273
,,153122,,,,,,,
,,153481,,,,,,,
357.7,194.5749649401132,154001,661.5154501818183,2159.796716978704,6,324.83774,113.62055112799516,199.2789,242.72727272727272
,,154021,,,,,,,
,,154411,,,,,,,
,,154780,,,,,,,
376.5,172.47237280259327,155001,118.55714854545454,119.63168202283605,2,217.61627,83.126058961651,186.25645,79.9090909090909
,,155138,,,,,,,
,,155568,,,,,,,
,,155956,,,,,,,
356.8,206.54315122181126,156001,469.5705349090909,881.5676912331354,4,327.18997,132.02359751432104,209.20802,172.45454545454547
,,156335,,,,,,,
,,156869,,,,,,,
359.5,169.9855862673451,157001,103.80045545454546,107.82680755917265,2,206.7923,70.77971925855736,174.91002,91.63636363636364
,,157505,,,,,,,
,,157918,,,,,,,
352.3,187.1169004726605,158001,475.69863836363635,688.1298838965861,5,335.186,160.17722887587345,189.58165,181.45454545454547
,,158338,,,,,,,
,,158666,,,,,,,
368.7,251.00910432621478,159001,278.2284304545455,82.9215927421381,4,325.94284,92.2997652416341,251.60631,148.0909090909091
,,159489,,,,,,,
,,159879,,,,,,,
367.4,196.9639806869642,160001,530.0310086363637,110.27101920122446,5,332.007,125.77090864256321,199.51881,208.8181818181818
,,160706,,,,,,,
369.9,182.88089631789734,161001,544.4871615454545,124.20668695671776,5,343.78983,168.24978673014675,191.04652,182.0909090909091
,,161523,,,,,,,
380.7,233.45992979253836,162001,269.894317,81.49743124438696,3,323.1532,112.02430049958484,234.97398,134.63636363636363
,,162036,,,,,,,
,,162618,,,,,,,
364.7,197.3928985787213,163001,338.5578121818182,208.3756165549534,4,295.62036,113.11358133913086,201.47495,142.36363636363637
,,163801,,,,,,,
367.8,212.36141047243657,164001,334.8785620909091,264.79574083974006,5,320.90182,112.11686915158994,214.50717,187.63636363636363
363.9,223.16287857504548,165001,341.09506836363636,32.61313664813356,4,329.19336,103.37854689976069,223.19516,169.54545454545453
,,165072,,,,,,,
385.7,203.08908154913172,166001,388.1754547272727,147.836370063844,5,323.2576,113.3442274946473,204.53116,210.63636363636363
,,166336,,,,,,,
408.9,201.46892925701798,167001,579.4357468181818,183.1497588659218,7,353.6595,126.6018697859151,204.6179,261.3636363636364
,,167228,,,,,,,
440.7,191.09947849068294,168001,589.2865536363637,524.8343207597719,8,345.7308,118.00827192515486,191.68866,299.54545454545456
,,168027,,,,,,,
421.2,242.2772023224404,169001,367.29430781818184,137.64511296475706,4,371.9377,123.75300097124008,242.51953,153.72727272727272
,,169049,,,,,,,
,,169687,,,,,,,
381.5,224.65722565704135,170001,202.0025589090909,159.98700056068498,3,301.1687,96.58049661586016,226.27301,119.81818181818181
,,170332,,,,,,,
,,170924,,,,,,,
395.6,174.3831999380914,171001,553.3560768181817,1298.0054018588387,6,320.2866,140.7336510358308,183.22487,231.1818181818182
,,171567,,,,,,,
411.7,195.46189219928166,172001,266.0992612727273,322.90564334275786,4,282.91382,110.17212237019272,196.93382,137.9090909090909
,,172402,,,,,,,
,,172819,,,,,,,
391.6,237.52886813765627,173001,261.0530403636364,299.35628397258984,4,326.82022,115.89324952561147,239.81151,145.1818181818182
,,173557,,,,,,,
423.2,134.50849592932897,174001,593.1897180000001,339.0463361071288,6,271.6509,131.43690940192394,154.81773,231.72727272727272
,,174303,,,,,,,
,,174801,,,,,,,
404.7,251.3770579007519,175001,217.87764972727274,92.57904389859424,4,308.68387,79.5183558943732,252.9828,168.1818181818182
,,175653,,,,,,,
376.0,202.2688325535478,176001,434.67816899999997,1238.495950752396,6,318.62643,131.84300246850069,204.61386,233.27272727272728
,,176378,,,,,,,
350.8,247.47497748360777,177001,259.7097831818182,434.8741547839752,5,318.02042,91.38562708722951,247.75279,181.0
,,177134,,,,,,,
334.7,257.0070262562642,178001,212.88279536363635,139.9041680186398,4,314.96838,90.61387062309974,257.823,168.63636363636363
,,178176,,,,,,,
354.2,184.7815536809135,179001,488.30667481818176,986.7112289109152,6,300.93393,120.17032799792705,195.82147,223.0
,,179192,,,,,,,
,,179663,,,,,,,
339.0,251.0364716892608,180001,237.56880463636364,528.1131911005398,5,318.4349,100.92362929675988,252.4359,175.9090909090909
,,180340,,,,,,,
353.9,194.92278362477418,181001,491.4067315454546,251.82305148478602,6,326.25928,126.99612794645735,198.75333,232.0909090909091
,,181131,,,,,,,
,,181809,,,,,,,
371.0,231.03870384046965,182001,415.36000663636366,208.6751718337185,5,345.65005,119.77022757721356,231.84157,196.1818181818182
,,182399,,,,,,,
383.1,158.68967226157014,183001,806.260247,1445.03528459713,7,354.61136,162.95726736427017,166.45055,255.1818181818182
,,183150,,,,,,,
,,183500,,,,,,,
,,183888,,,,,,,
453.2,176.6809997844893,184001,815.156761909091,809.8008868907882,7,375.28308,165.49571954307817,181.86931,251.63636363636363
,,184397,,,,,,,
,,184934,,,,,,,
441.9,183.07610542247338,185001,136.70773845454545,91.28026210397972,3,233.72777,73.27595073947792,184.65117,123.18181818181819
,,185654,,,,,,,
427.6,206.39195798314884,186001,238.92291745454543,88.53281984972675,3,273.03787,79.72298968640199,213.34035,113.0909090909091
,,186085,,,,,,,
,,186920,,,,,,,
476.3,172.3833922576428,187001,835.5972370909093,1744.8234277096208,6,391.737,184.78294134144386,179.71828,245.36363636363637
507.9,205.79285865348976,188001,550.0949185454546,181.8303836135462,4,352.9906,142.82722367997937,208.98373,173.63636363636363
,,188217,,,,,,,
544.9,212.10594445565383,189001,617.6704465454545,239.07405508008097,5,368.78326,159.3433596581569,215.72607,178.45454545454547
,,189492,,,,,,,
701.0,117.22670889585265,190001,1968.032011090909,503.372599536758,13,456.0828,278.2068465833521,123.38838,475.09090909090907
,,190454,,,,,,,
802.3,136.2414381419984,191001,1275.4610426363636,87.52723263494717,8,367.46536,186.9806675064456,158.81158,289.8181818181818
,,191446,,,,,,,
837.8,154.34375019872212,192001,1170.6610770000002,2223.829925523414,8,392.89874,194.58534036861877,167.29263,286.27272727272725
,,192457,,,,,,,
859.2,137.63328503301088,193001,1075.989681818182,1762.9787012484085,7,406.2241,225.88162877122207,143.20337,280.3636363636364
,,193779,,,,,,,
1089.9,38.944296749711974,194001,2325.8318767272726,1842.750856179898,13,443.17795,297.6953612291464,63.006813,474.45454545454544
1160.6,177.1191647132448,195001,802.3421259090909,952.567886363921,6,425.154,241.14705459071283,178.08452,216.54545454545453
,,195846,,,,,,,
1207.8,156.0867598696694,196001,1156.6200005454546,1861.7781124852454,8,420.43213,236.43408675370492,163.41986,293.72727272727275
,,196938,,,,,,,
1261.5,173.5135066455586,197001,923.5555131818181,443.2813633265876,6,413.98398,225.854859603008,177.47247,241.0909090909091
,,197505,,,,,,,
1256.3,190.06539740916278,198001,783.6103136363637,1026.5684614187442,6,412.78537,195.04530579119717,191.73364,230.27272727272728
,,198922,,,,,,,
1139.0,200.138680795382,199001,765.1734808181819,1348.5612176121494,6,427.33704,227.45285576325435,201.35854,216.54545454545453
,,199757,,,,,,,
1035.1,205.6225238956211,200001,518.9947212727272,1567.8610805656906,5,351.1301,134.55110798826357,207.43687,177.27272727272728
,,200630,,,,,,,
1020.3,204.79449077716134,201001,774.0831352727273,852.7682866923826,6,394.7918,154.79945766358426,206.47852,236.63636363636363
,,201742,,,,,,,
1035.0,172.635906533686,202001,1074.8820600909091,19.61490007301106,8,404.9818,150.68880519481522,174.7727,294.3636363636364
,,202734,,,,,,,
930.6,140.30278189998182,203001,1372.3723115454543,555.7483431414566,9,443.69385,251.52995084072788,146.26434,321.09090909090907
,,203934,,,,,,,
928.7,152.7622966409157,204001,1081.5221372727272,1983.4564224552262,7,402.68875,205.48753640813948,157.4806,269.6363636363636
934.1,184.82904864136498,205001,925.8048460909089,358.31005841164534,7,428.18802,217.7254974222399,187.18097,254.63636363636363
,,205710,,,,,,,
874.4,233.58143775899086,206001,496.3790473636364,303.74719830933714,4,364.2449,120.98124180095114,236.34633,161.0
,,206330,,,,,,,
849.0,198.70492865519645,207001,648.9395976363636,515.0452870056223,5,395.87503,189.4275653564364,205.12427,189.0909090909091
,,207252,,,,,,,
823.9,240.24282761574034,208001,457.59002318181814,351.1952277397065,4,375.824,139.64129472484547,240.72552,174.1818181818182
,,208086,,,,,,,
,,208637,,,,,,,
861.3,192.55558254695944,209001,894.1202079999999,1296.5718470179183,7,423.63623,185.80316662057177,194.2951,257.72727272727275
,,209663,,,,,,,
825.1,243.69933956221203,210001,462.79991572727283,180.48443780493278,4,388.75333,147.54101691570813,244.16508,166.1818181818182
