eval mean 100 episode reward,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_returns,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,eval_eplenmean
,,14868,,,,,,,
,,14925,,,,,,,
,,15000,,,,,,,
3.0,2.3885874282049255,15001,3.5669728181818177,3.243335856837062,0,-0.2097459,4.269503269727461,3.4628828,25.454545454545453
,,15078,,,,,,,
,,15183,,,,,,,
,,15259,,,,,,,
,,15331,,,,,,,
,,15402,,,,,,,
,,15489,,,,,,,
,,15583,,,,,,,
,,15674,,,,,,,
,,15761,,,,,,,
,,15838,,,,,,,
,,15949,,,,,,,
3.3,2.2814857057449007,16001,4.724273636363637,1.519839764985405,0,-0.21454225,5.358501901754339,3.814433,30.727272727272727
,,16020,,,,,,,
,,16108,,,,,,,
,,16208,,,,,,,
,,16284,,,,,,,
,,16363,,,,,,,
,,16463,,,,,,,
,,16505,,,,,,,
,,16587,,,,,,,
,,16682,,,,,,,
,,16764,,,,,,,
,,16844,,,,,,,
,,16917,,,,,,,
,,16988,,,,,,,
3.4,1.9568405116538314,17001,4.531157545454546,3.327416122249076,0,-0.19834705,4.967898439023867,3.6954355,27.0
,,17055,,,,,,,
,,17126,,,,,,,
,,17195,,,,,,,
,,17282,,,,,,,
,,17387,,,,,,,
,,17462,,,,,,,
,,17562,,,,,,,
,,17647,,,,,,,
,,17732,,,,,,,
,,17809,,,,,,,
,,17909,,,,,,,
,,17985,,,,,,,
3.4,2.761262706370815,18001,2.6320168181818184,2.5856801374574205,0,-0.18866114,3.391016499107522,3.5086706,24.727272727272727
,,18066,,,,,,,
,,18139,,,,,,,
,,18221,,,,,,,
,,18284,,,,,,,
,,18368,,,,,,,
,,18430,,,,,,,
,,18521,,,,,,,
,,18607,,,,,,,
,,18707,,,,,,,
,,18791,,,,,,,
,,18852,,,,,,,
,,18911,,,,,,,
,,18962,,,,,,,
3.2,2.174845281899758,19001,4.363921363636364,16.501714537139197,0,-0.21039338,4.977185499793079,3.7288263,27.636363636363637
,,19043,,,,,,,
,,19131,,,,,,,
,,19187,,,,,,,
,,19280,,,,,,,
,,19347,,,,,,,
,,19490,,,,,,,
,,19555,,,,,,,
,,19634,,,,,,,
,,19704,,,,,,,
,,19810,,,,,,,
,,19882,,,,,,,
,,19967,,,,,,,
3.3,3.7476663774166754,20001,1.637088181818182,-5.286299416574805,0,-0.20343891,3.5296249709197003,4.4404635,30.818181818181817
,,20056,,,,,,,
,,20155,,,,,,,
,,20247,,,,,,,
,,20380,,,,,,,
,,20454,,,,,,,
,,20529,,,,,,,
,,20602,,,,,,,
,,20684,,,,,,,
,,20800,,,,,,,
,,20881,,,,,,,
,,20956,,,,,,,
3.2,2.785499467016582,21001,2.5615182727272727,2.6343484951168317,0,-0.19387911,3.3098457998180337,3.5384061,24.181818181818183
,,21057,,,,,,,
,,21126,,,,,,,
,,21201,,,,,,,
,,21313,,,,,,,
,,21404,,,,,,,
,,21490,,,,,,,
,,21556,,,,,,,
,,21632,,,,,,,
,,21717,,,,,,,
,,21781,,,,,,,
,,21848,,,,,,,
,,21996,,,,,,,
3.1,2.7794949970783622,22001,2.704517545454545,3.483133851983043,0,-0.17966413,3.466191941638927,3.5781126,24.727272727272727
,,22082,,,,,,,
,,22156,,,,,,,
,,22241,,,,,,,
,,22316,,,,,,,
,,22387,,,,,,,
,,22452,,,,,,,
,,22531,,,,,,,
,,22606,,,,,,,
,,22672,,,,,,,
,,22737,,,,,,,
,,22853,,,,,,,
,,22928,,,,,,,
3.5,2.1632353545862486,23001,4.352946,1.9426006714902286,0,-0.19776155,4.823466584649326,3.771521,27.545454545454547
,,23003,,,,,,,
,,23066,,,,,,,
,,23149,,,,,,,
,,23230,,,,,,,
,,23292,,,,,,,
,,23392,,,,,,,
,,23466,,,,,,,
,,23523,,,,,,,
,,23597,,,,,,,
,,23663,,,,,,,
,,23732,,,,,,,
,,23807,,,,,,,
,,23886,,,,,,,
,,23945,,,,,,,
3.4,2.5186690020887066,24001,2.9122434545454543,4.293711881263093,0,-0.19819444,3.614221351216332,3.382645,24.636363636363637
,,24002,,,,,,,
,,24089,,,,,,,
,,24163,,,,,,,
,,24234,,,,,,,
,,24298,,,,,,,
,,24396,,,,,,,
,,24504,,,,,,,
,,24599,,,,,,,
,,24663,,,,,,,
,,24738,,,,,,,
,,24810,,,,,,,
,,24909,,,,,,,
,,24990,,,,,,,
10.6,-10.07942110105178,25001,75.13892563636362,57.73924835950899,5,-0.31744096,56.79613817612954,23.529203,188.36363636363637
,,25712,,,,,,,
20.2,10.566638861796529,26001,91.28875927272726,47.112644712258835,5,25.611298,56.27237576407392,24.644945,184.54545454545453
,,26589,,,,,,,
38.3,19.903810624702896,27001,170.68222090909092,81.86946197005744,6,58.241756,72.73103390620652,34.601524,221.0
,,27510,,,,,,,
66.2,-0.16803426504791927,28001,283.5928652727273,382.3620505302518,6,82.52111,98.07176830713088,36.58167,215.54545454545453
,,28206,,,,,,,
,,28960,,,,,,,
102.3,48.31928346142885,29001,311.49593463636364,159.2800931148438,7,132.04251,99.5945644518709,48.319286,265.54545454545456
,,29752,,,,,,,
147.3,34.19905716802046,30001,438.4616043636364,460.69393049199624,7,156.95903,130.80236255272078,41.436123,250.0909090909091
,,30630,,,,,,,
183.3,61.850688092866285,31001,324.369011,400.21756739306727,4,181.9437,136.51066189226538,61.916836,158.27272727272728
