#{"t_start": 1642089423.827873, "env_id": "Walker2d-v2"}
r,l,t
6.696443,21,15.881221
4.711246,27,15.939306
4.022024,21,15.986635
7.912911,26,16.041267
5.270276,22,16.377434
5.545935,19,16.419243
-1.741321,16,16.455542
1.353515,17,16.492282
3.918792,16,16.528103
4.618849,45,16.643095
3.154086,14,16.6806
5.460213,34,16.750791
3.344998,13,16.784505
0.185905,21,16.867117
-2.148187,9,16.890469
-0.990057,10,16.913246
5.742911,17,16.950208
-4.482426,16,16.986206
3.077559,21,17.031574
-0.782342,16,17.11704
1.44951,16,17.153486
-0.865992,14,17.185471
-1.080683,10,17.209146
0.80527,10,17.232118
1.185901,26,17.286226
-2.822464,8,17.308879
3.765206,19,17.414394
-4.785574,20,17.459202
-0.073626,12,17.488434
2.313802,24,17.539102
-1.901544,23,17.589975
3.087007,17,17.629042
-3.084307,23,17.756817
11.004469,28,17.816598
4.132975,18,17.858326
1.794516,18,17.897999
-10.189808,17,18.024381
13.359021,26,18.080412
-0.309991,51,18.18601
1.480799,17,18.230633
7.467609,21,18.373772
-8.317946,16,18.410124
-1.621073,9,18.432496
3.862415,16,18.466604
4.291467,21,18.51155
1.959937,15,18.545999
11.015255,44,18.749929
-5.658389,15,18.788925
7.434464,28,18.847541
21.326519,39,19.779443
-3.271426,42,19.870865
-0.229563,13,19.906555
21.159283,37,20.114825
-1.167288,13,20.150074
-1.586199,19,20.191496
1.532844,23,20.242126
-7.090537,15,20.278287
-0.589587,27,20.479268
-0.267986,10,20.505351
-0.708259,25,20.556782
3.405,15,20.592127
2.328592,28,20.649646
5.728763,29,20.863654
-2.262045,27,20.922535
2.802488,31,20.989834
-4.748418,39,21.230179
3.20986,20,21.278067
6.101701,17,21.316056
1.35752,15,21.349897
9.490174,23,21.398563
-2.078431,9,21.422138
2.336699,18,21.633486
16.857199,29,21.694592
-4.193938,11,21.723449
-1.825015,9,21.744623
2.518958,21,21.788314
1.747143,17,22.010379
4.410788,23,22.059344
6.610621,24,22.111164
-1.407307,10,22.136653
5.934456,28,22.194172
9.611689,23,22.441156
5.872057,18,22.4816
1.254253,13,22.511564
0.615839,17,22.548622
18.999392,34,22.618761
1.579897,14,22.862251
4.793224,28,22.919901
-3.080576,21,22.967551
2.313506,13,22.998394
2.495671,14,23.029566
4.601959,17,23.283896
11.640097,36,23.358828
2.420868,17,23.400431
-3.956479,8,23.420931
1.143201,16,23.454671
10.800866,34,24.483094
4.841104,19,24.527712
7.265189,21,24.573379
1.804172,12,24.601971
-3.090025,18,24.640792
-7.351102,23,24.923773
-0.532319,9,24.946448
-2.169523,12,24.972193
-2.439393,17,25.007761
-2.041874,16,25.042518
0.62826,10,25.065989
9.761579,38,25.386179
2.189416,13,25.419373
-1.116514,15,25.452081
-2.112584,9,25.473675
-3.475887,40,25.552992
3.227785,18,25.869546
-1.64236,10,25.894034
-1.579812,12,25.920533
-9.197197,34,25.990168
-0.372638,15,26.027373
3.666724,13,26.056965
11.48734,28,26.394905
0.700896,15,26.431182
2.457502,13,26.460694
-2.232976,14,26.491464
-1.232465,18,26.530367
8.514915,31,26.885855
5.105469,18,26.929263
2.5031,30,26.991851
0.118352,17,27.031894
-4.018608,15,27.065403
10.335263,26,27.422718
0.895694,14,27.456348
-6.031698,21,27.500781
-6.684871,30,27.563837
-0.025535,30,27.943944
-0.226541,9,27.968747
2.507307,24,28.018764
-2.788889,13,28.050631
-9.623418,24,28.100809
-1.789001,11,28.128065
-2.827108,19,28.49563
-1.562734,10,28.520207
-3.838365,15,28.552938
-2.426914,26,28.607306
6.52975,18,28.648768
1.244543,17,28.686636
5.597115,22,29.073282
-5.044563,16,29.109491
-0.997003,16,29.145093
-0.978295,10,29.16898
0.078397,18,29.207384
4.334778,27,29.617876
1.552208,14,30.380376
-1.546806,12,30.407913
-0.259684,16,30.442483
-3.954334,20,30.485281
1.712226,32,30.552015
-3.949652,20,30.963648
-4.016754,37,31.040594
4.605093,26,31.099603
-0.149045,27,31.555594
-4.128609,14,31.589446
-8.15533,19,31.630568
-0.32045,23,31.680516
7.208828,31,31.745911
-5.611877,12,32.162202
16.142596,40,32.24328
11.469173,32,32.316458
-2.354461,12,32.348119
-0.289351,20,32.787321
-3.357824,37,32.863716
2.261107,15,32.901663
0.376938,13,32.931471
0.488352,17,32.968553
1.168721,17,33.413307
4.593737,21,33.458864
-1.423778,9,33.482207
6.25996,22,33.527844
-0.26464,13,33.558896
-2.968685,8,33.578611
2.420095,25,34.051762
-4.536725,11,34.079272
-1.929206,11,34.104461
-5.577195,30,34.165475
-11.315816,30,34.230744
1.089073,16,34.70031
4.713118,23,34.749911
8.342089,34,34.826943
3.552848,15,34.864286
5.297389,26,35.360546
13.438531,44,35.452303
-0.966634,15,35.491441
-1.018783,10,35.515108
3.312985,17,35.551275
-0.229017,14,36.036009
4.746427,25,36.088617
-3.261379,13,36.120017
3.259742,21,36.164456
6.816138,25,36.218372
-4.336149,21,37.466696
19.50418,34,37.53731
14.118204,26,37.596002
9.079636,22,37.645939
-0.141234,27,38.177419
-0.180424,16,38.215381
-1.829359,11,38.241572
0.262011,11,38.266942
5.607942,24,38.316791
0.386783,15,38.35196
1.727262,14,38.871747
1.415284,15,38.905155
-1.456927,15,38.938648
-0.249732,12,38.966075
-1.900024,9,38.987461
6.756984,30,39.048794
-1.982372,15,39.587395
-7.235376,16,39.622977
-12.980742,21,39.667922
3.947819,21,39.714381
2.25589,24,39.76601
