eval_eplenmean,eval_discount_q,eval_ep_rewmean,eval mean 100 episode reward,eval_returns,eval_qs,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed
1000.0,595.705070970584,7698.438019818182,7732.9,7682.169913932493,751.3046,40.43563760114537,142001,85.90798,26
1000.0,607.6865811623671,7890.069093909092,7773.3,7972.3545369331105,754.8219,25.975950459500133,143001,96.03732,27
,,,,,,,144000,,
1000.0,599.3874411490614,7750.974686272727,7770.6,7789.521933879824,753.4793,37.72116939662374,144001,90.061295,27
1000.0,608.5171914436888,7963.050240636363,7805.1,7891.237391438756,755.6622,19.60041487729944,145001,99.613655,27
1000.0,602.2441076434666,7820.80616609091,7811.8,7835.5898670085435,757.27673,34.818300075749654,146001,90.7076,27
1000.0,584.9574469445778,7557.841148363636,7789.1,7471.616913949061,757.26685,59.39350147862432,147001,80.96939,27
,,,,,,,148000,,
1000.0,603.0817448843502,7847.341529636365,7803.8,7886.104443039975,761.6199,36.590735152630515,148001,90.47353,26
1000.0,611.4355955867428,8023.161520545453,7817.2,8024.591800305216,762.12836,20.34440651103149,149001,99.02236,27
1000.0,614.6294254285959,8133.052667727273,7850.0,8128.459889269751,768.3168,15.859840999359697,150001,103.52734,26
1000.0,616.4244269879505,8091.873819272727,7893.2,7982.695412077618,769.10913,20.947806048248967,151001,101.47552,27
,,,,,,,152000,,
1000.0,612.6356199773116,8060.956830272728,7913.6,8153.844437029478,771.0053,25.56063110292864,152001,97.193634,27
1000.0,614.540659256601,8191.334994545455,7958.4,8260.636360034325,774.8332,16.539183447169567,153001,105.538155,27
1000.0,619.3912784866834,8140.214520181819,7983.4,8073.686735539203,776.1768,23.475153338797348,154001,99.10462,27
1000.0,614.3953347834045,8123.085182363636,8013.3,8186.630472199878,782.2009,30.717547640260417,155001,97.504616,27
,,,,,,,156000,,
1000.0,611.9002595326278,8083.462847272726,8066.6,8050.875018720065,782.8463,35.07816000663517,156001,94.87347,27
1000.0,622.6116845646488,8217.310031818182,8113.0,8138.204561544656,788.0391,27.94669931363413,157001,99.133224,27
1000.0,599.8059202924907,8038.529344363636,8119.4,8000.5113728238575,784.2366,39.76444059232342,158001,93.10903,27
1000.0,622.2045408160883,8264.586377363636,8131.8,8325.40106469132,788.1757,23.31536532180646,159001,101.517555,27
,,,,,,,160000,,
1000.0,613.2274044648318,8050.816852909091,8129.9,8027.963820186321,788.07697,43.70482083501063,160001,94.70574,27
1000.0,609.702637205472,8140.34381590909,8137.9,8167.040644160462,797.11743,43.44367771887627,161001,92.09845,27
1000.0,610.606057241448,8111.569789181818,8132.2,8124.2353192385135,798.734,48.02703509000883,162001,88.55162,26
1000.0,607.3887822670896,8005.232930272728,8117.7,7924.598477036179,799.89233,59.500530405197395,163001,85.26385,27
,,,,,,,164000,,
1000.0,619.0647890139154,8274.119770272726,8130.5,8257.917209849445,802.6258,36.501258288182974,164001,96.168625,26
1000.0,622.7349349851402,8327.52324727273,8156.1,8380.898055876967,805.1631,34.06146428832665,165001,99.62154,26
1000.0,625.5217989806041,8406.655142909092,8178.3,8406.21220589764,808.7944,30.05555521051201,166001,101.02304,27
1000.0,626.472105716563,8302.955106454545,8204.9,8347.327600184113,808.98145,40.70673971075012,167001,94.31892,26
,,,,,,,168000,,
1000.0,623.8841763541262,8353.026738090908,8221.1,8278.937012132174,812.3045,38.76631966408895,168001,97.15935,27
1000.0,614.9081047658585,8313.039974727273,8244.3,8242.457244548423,817.5468,47.11866892485558,169001,93.08981,27
1000.0,626.2740004388862,8426.255503909091,8276.6,8350.585175741135,822.49225,41.86787967697076,170001,96.22214,27
1000.0,625.0085936368042,8538.441093454543,8322.4,8509.564541304877,825.4186,33.45033718071752,171001,102.57778,27
,,,,,,,172000,,
1000.0,612.6427138211685,8160.329669272727,8338.3,8207.728474910902,822.9131,67.5317754223223,172001,91.24962,27
1000.0,621.1498532593831,8412.227923909091,8357.5,8421.14396589034,830.40826,50.6793571755281,173001,94.02538,27
1000.0,624.9609376821281,8467.336702272725,8374.9,8423.564845929286,833.94525,49.08274180550945,174001,94.6648,27
1000.0,621.5611557770503,8399.879801818182,8375.3,8453.591826906379,833.40894,54.95544320799923,175001,93.62692,27
,,,,,,,176000,,
1000.0,608.838822426372,8460.851605363638,8389.0,8575.428925889717,835.6545,49.84439616713614,176001,97.73402,27
1000.0,629.6549612894087,8593.15171890909,8416.0,8605.420041427471,841.5002,44.52086347946078,177001,98.42466,27
1000.0,568.2993892706204,7663.861258818182,8344.7,8492.179188710728,804.72266,94.59815049383775,178001,137.34946,26
1000.0,626.978990632463,8564.111025000002,8359.7,8645.457209781347,842.41406,48.07395222482018,179001,98.06756,26
,,,,,,,180000,,
1000.0,633.1619652236774,8526.663161272725,8361.4,8613.00482599005,843.49713,53.513855332071394,180001,97.94245,26
1000.0,630.5308440814831,8651.889910727272,8410.2,8657.371344966889,844.9838,42.217421456719734,181001,103.172455,26
1000.0,625.6728409374887,8499.128830454543,8425.4,8461.303180441817,843.92456,55.95332759298344,182001,91.662094,26
1000.0,627.551852415748,8552.37208,8434.2,8413.664795905444,850.1186,57.00908884456612,183001,93.31629,26
,,,,,,,184000,,
1000.0,627.0399150989532,8406.363468636364,8435.7,8411.090083796944,846.84204,68.28260136365509,184001,90.430534,26
1000.0,619.5976420736839,8431.906491818181,8433.7,8633.144832976777,846.6609,64.81035055418614,185001,96.276024,26
1000.0,619.5253159724764,8328.41167636364,8406.1,8432.619714449796,847.1082,75.60004843801472,186001,93.22332,26
1000.0,624.334462489227,8351.285200545455,8478.3,8543.03220845329,846.63574,73.3163616570016,187001,96.51199,26
,,,,,,,188000,,
1000.0,638.670414173633,8698.626172636365,8494.4,8722.757973485697,857.2561,50.62186835447463,188001,100.455154,26
1000.0,645.5499240742894,8766.633766363635,8519.8,8721.439178497849,862.7981,50.04420038239884,189001,101.732,26
1000.0,644.2559784687002,8772.842411454545,8534.7,8798.211985588418,864.17847,50.675561981673354,190001,98.8165,26
1000.0,626.1802995733298,8829.69718509091,8568.0,8678.605161821544,865.6914,44.713598428646485,191001,102.14749,26
,,,,,,,192000,,
1000.0,652.7727109914996,8949.419241545454,8609.0,8978.85862532735,869.01855,38.70115112715089,192001,103.93852,26
1000.0,656.2536397331456,8970.099738363637,8669.4,8958.634844045386,873.26935,41.22852347961941,193001,108.3754,26
1000.0,642.5119283830553,8741.047773727272,8708.7,8728.170744477598,877.72534,67.22920093137792,194001,95.639595,26
1000.0,647.1358055351501,8958.977415727273,8772.6,8975.988357953238,881.408,49.576684349508554,195001,100.55789,26
,,,,,,,196000,,
1000.0,658.2343589167148,9034.983043272729,8848.1,9012.361562030499,887.64703,49.31390315262357,196001,104.66647,26
1000.0,638.8169169389096,8722.857063454545,8858.5,8730.079753493419,884.6648,75.6219744405678,197001,92.977745,26
1000.0,649.3975823404273,9058.883435363636,8889.3,8976.679359873784,893.2674,51.669467633578485,198001,102.09348,26
1000.0,657.6178136598022,9024.831942545456,8917.2,8994.570624028773,895.34924,57.970151416183576,199001,99.754974,26
,,,,,,,200000,,
1000.0,662.9648493006675,9195.827449727272,8957.7,9136.538096967557,895.3148,41.36551121474361,200001,105.86988,26
1000.0,664.9506754340654,9147.354762818182,8983.6,8908.480920498638,895.34076,46.435405416733055,201001,108.5158,26
1000.0,660.1240470533696,9073.204821727275,8994.0,9057.257332820132,896.25104,54.28290820895922,202001,106.09744,26
1000.0,669.6805030378101,9245.767296727274,9042.5,9188.961013561355,901.35077,43.07236477148702,203001,107.59939,26
,,,,,,,204000,,
1000.0,672.8932736690206,9412.16103109091,9096.0,9416.359938630778,905.735,31.13536626705659,204001,113.17122,26
1000.0,667.0655179490317,9274.568192909092,9123.3,9321.873902033902,905.99994,44.582650352071134,205001,108.04446,26
1000.0,643.639956737905,9020.866176818183,9154.1,9021.457912100199,907.94006,69.57384591123069,206001,99.04734,26
1000.0,672.6884212869904,9355.872516545454,9187.0,9447.14080907938,912.44354,43.45244451874202,207001,109.85528,26
,,,,,,,208000,,
1000.0,655.0800738296592,9160.453650090909,9206.1,9252.05882311245,915.56366,64.37119978250988,208001,100.36844,26
1000.0,661.5026679307216,9266.083857636362,9215.7,9264.208639981845,915.7273,54.60768438311111,209001,103.75828,26
1000.0,671.100893387448,9276.712035454546,9226.7,9354.378350661818,918.6101,57.37785903875831,210001,105.73746,26
