eval_ep_rewmean,eval_returns,eval_eplenmean,eval_discount_q,eval_time_elapsed,eval mean 100 episode reward,total timesteps,eval_abs_qs_difference,eval_qs_difference,eval_qs
,,,,,,16763,,,
,,,,,,16872,,,
,,,,,,16970,,,
224.39293918181818,221.23350419604108,45.09090909090909,181.17772425865817,1,223.9,17001,100.63794,-100.63794579648342,-0.8615167
,,,,,,17088,,,
,,,,,,17189,,,
,,,,,,17279,,,
,,,,,,17374,,,
,,,,,,17459,,,
,,,,,,17532,,,
,,,,,,17627,,,
,,,,,,17725,,,
,,,,,,17811,,,
,,,,,,17933,,,
229.3075133636363,223.33179271545285,46.0,184.37455094007564,1,224.3,18001,102.514595,-102.51459519262907,-0.86745757
,,,,,,18041,,,
,,,,,,18145,,,
,,,,,,18231,,,
,,,,,,18315,,,
,,,,,,18400,,,
,,,,,,18477,,,
,,,,,,18572,,,
,,,,,,18676,,,
,,,,,,18771,,,
,,,,,,18872,,,
,,,,,,18983,,,
218.3072392727273,240.93822655062417,45.0,176.83175932894738,1,224.5,19001,96.71406,-96.7140549827924,-0.8439028
,,,,,,19095,,,
,,,,,,19205,,,
,,,,,,19299,,,
,,,,,,19399,,,
,,,,,,19473,,,
,,,,,,19555,,,
,,,,,,19657,,,
,,,,,,19745,,,
,,,,,,19850,,,
,,,,,,19930,,,
216.89929509090908,227.7141176423776,43.54545454545455,176.31155113780238,1,224.3,20001,98.05132,-98.0513177288572,-0.8872856
,,,,,,20027,,,
,,,,,,20117,,,
,,,,,,20221,,,
,,,,,,20327,,,
,,,,,,20423,,,
,,,,,,20520,,,
,,,,,,20615,,,
,,,,,,20693,,,
,,,,,,20804,,,
,,,,,,20884,,,
,,,,,,20969,,,
217.60536163636368,217.94553176255542,43.36363636363637,176.93406430679613,1,223.8,21001,98.78708,-98.78707421808507,-0.8840072
,,,,,,21067,,,
,,,,,,21158,,,
,,,,,,21281,,,
,,,,,,21407,,,
,,,,,,21505,,,
,,,,,,21600,,,
,,,,,,21698,,,
,,,,,,21844,,,
,,,,,,21936,,,
229.46314109090906,215.7306469792606,46.81818181818182,184.20657927584097,1,224.1,22001,101.38953,-101.38952326502371,-0.8280018
,,,,,,22026,,,
,,,,,,22127,,,
,,,,,,22233,,,
,,,,,,22320,,,
,,,,,,22428,,,
,,,,,,22537,,,
,,,,,,22636,,,
,,,,,,22708,,,
,,,,,,22826,,,
,,,,,,22924,,,
219.14223345454545,212.41307708349592,43.63636363636363,177.92020387289372,1,223.1,23001,99.37612,-99.37612121195816,-0.88170505
,,,,,,23014,,,
,,,,,,23102,,,
,,,,,,23212,,,
,,,,,,23297,,,
,,,,,,23384,,,
,,,,,,23460,,,
,,,,,,23550,,,
,,,,,,23645,,,
,,,,,,23744,,,
,,,,,,23827,,,
,,,,,,23964,,,
216.16010572727274,186.76979115357182,43.54545454545455,175.65025666627758,1,222.8,24001,97.50229,-97.50229126442177,-0.87924725
,,,,,,24054,,,
,,,,,,24139,,,
,,,,,,24243,,,
,,,,,,24325,,,
,,,,,,24434,,,
,,,,,,24509,,,
,,,,,,24606,,,
,,,,,,24711,,,
,,,,,,24818,,,
,,,,,,24921,,,
112.90752536363635,111.3846560946707,21.181818181818183,101.4985193704422,0,210.9,25001,58.573658,-58.57365796486988,0.023599457
,,,,,,25008,,,
,,,,,,25093,,,
,,,,,,25161,,,
,,,,,,25242,,,
,,,,,,25347,,,
,,,,,,25412,,,
,,,,,,25478,,,
,,,,,,25548,,,
,,,,,,25603,,,
,,,,,,25659,,,
,,,,,,25715,,,
,,,,,,25770,,,
,,,,,,25830,,,
,,,,,,25894,,,
208.1290422727273,204.7381146242979,38.63636363636363,171.53419256952705,1,208.0,26001,49.930164,39.42937492305542,138.5272
,,,,,,26088,,,
,,,,,,26244,,,
,,,,,,26405,,,
,,,,,,26567,,,
,,,,,,26749,,,
,,,,,,26925,,,
255.54944063636358,259.63023303925746,46.36363636363637,202.4868943050833,1,210.1,27001,123.56916,123.56914590622405,242.1411
,,,,,,27101,,,
,,,,,,27265,,,
,,,,,,27425,,,
,,,,,,27493,,,
,,,,,,27596,,,
,,,,,,27815,,,
,,,,,,27976,,,
141.94757754545455,152.08486858670818,33.0,122.241705397683,1,203.2,28001,197.17299,196.74253669843702,259.91428
,,,,,,28100,,,
,,,,,,28322,,,
,,,,,,28611,,,
,,,,,,28901,,,
542.3098037272728,514.4542630642684,108.72727272727273,326.09382934455226,3,235.0,29001,102.63172,96.71712791335494,296.57175
,,,,,,29334,,,
,,,,,,29620,,,
,,,,,,29791,,,
324.0607867272728,406.1841179971572,74.45454545454545,231.8025517678266,2,247.9,30001,239.68214,239.65621077090375,365.8488
,,,,,,30100,,,
,,,,,,30276,,,
,,,,,,30514,,,
,,,,,,30824,,,
267.21856881818184,275.58639748826846,54.45454545454545,205.04798037964895,1,253.3,31001,199.82857,198.66952677786136,315.20535
,,,,,,31057,,,
,,,,,,31317,,,
,,,,,,31493,,,
,,,,,,31692,,,
363.44016663636364,434.13958331722654,73.18181818181819,254.44077164801666,2,267.6,32001,200.49438,200.49437276825782,350.67014
,,,,,,32040,,,
,,,,,,32342,,,
,,,,,,32574,,,
,,,,,,32831,,,
489.8434372727272,526.6358978478406,101.0909090909091,306.7363536414136,3,296.4,33001,194.68626,185.91985375905088,367.21805
,,,,,,33155,,,
,,,,,,33470,,,
,,,,,,33762,,,
265.1251884545455,256.2273025913605,53.0,205.66153475379642,1,314.0,34001,264.10675,262.4995184672559,378.3045
,,,,,,34098,,,
,,,,,,34330,,,
,,,,,,34552,,,
,,,,,,34823,,,
236.9048559090909,202.54005876616966,54.27272727272727,184.57605945850207,1,319.6,35001,188.58229,183.76825275494193,282.73727
,,,,,,35083,,,
,,,,,,35280,,,
,,,,,,35473,,,
,,,,,,35749,,,
285.9127806363636,285.95760636325326,58.54545454545455,216.94406496168037,1,323.3,36001,253.88701,252.93667633727418,373.82724
,,,,,,36059,,,
,,,,,,36304,,,
,,,,,,36577,,,
,,,,,,36851,,,
256.85000854545456,253.40119321314214,50.0,201.0503067404159,1,334.0,37001,215.13217,214.51463242017414,330.01218
,,,,,,37116,,,
,,,,,,37333,,,
,,,,,,37530,,,
,,,,,,37734,,,
,,,,,,37936,,,
275.2460480909091,301.4774427373328,57.36363636363637,209.1235733864063,1,311.3,38001,243.82114,241.7902195489659,360.40018
,,,,,,38177,,,
,,,,,,38437,,,
,,,,,,38639,,,
,,,,,,38921,,,
476.086805090909,532.5340531937222,103.0909090909091,291.49288182069887,3,322.5,39001,152.42958,134.00668813822077,305.35992
,,,,,,39217,,,
,,,,,,39459,,,
,,,,,,39689,,,
373.14173690909087,421.13137557124054,85.63636363636364,253.09657956963449,2,333.9,40001,197.31764,197.07244306248128,337.08142
,,,,,,40096,,,
,,,,,,40451,,,
,,,,,,40682,,,
,,,,,,40923,,,
251.68679172727272,271.14015785528085,49.63636363636363,196.67321567896445,1,325.0,41001,195.39146,195.37886822037888,307.58618
,,,,,,41232,,,
,,,,,,41592,,,
,,,,,,41892,,,
522.2726773636364,640.2601152055628,111.0,311.4987630637116,3,328.4,42001,119.03784,108.17913387911234,296.27252
,,,,,,42170,,,
,,,,,,42446,,,
,,,,,,42682,,,
,,,,,,42933,,,
269.63267472727273,319.96000844954386,61.54545454545455,204.63994202320526,1,326.1,43001,162.79848,162.55936651960047,270.64328
,,,,,,43383,,,
,,,,,,43671,,,
233.58480027272728,192.61462938895164,52.0,182.68286524129766,1,326.3,44001,196.45258,196.21035595764997,294.24045
,,,,,,44008,,,
,,,,,,44215,,,
,,,,,,44537,,,
,,,,,,44854,,,
364.46740472727276,317.6849907377616,79.0,248.80278746321926,2,335.0,45001,147.79088,147.31340384012694,289.7997
,,,,,,45141,,,
,,,,,,45367,,,
,,,,,,45583,,,
,,,,,,45827,,,
416.419165,410.54340664220206,83.63636363636364,278.49436702598496,2,351.0,46001,101.17697,82.80395701381948,243.33925
,,,,,,46033,,,
,,,,,,46355,,,
,,,,,,46637,,,
,,,,,,46978,,,
242.21696263636366,251.5737648384217,50.72727272727273,189.55537789502125,1,349.8,47001,119.50847,117.71184940639513,224.89491
,,,,,,47244,,,
,,,,,,47430,,,
,,,,,,47764,,,
538.5163455454544,667.592676506348,112.63636363636364,318.74959048586834,3,355.4,48001,118.44528,114.92321695295028,306.4338
,,,,,,48149,,,
,,,,,,48543,,,
,,,,,,48949,,,
501.83882563636365,594.9338629476823,102.63636363636364,304.4430923620064,3,370.2,49001,125.08291,122.16828125929041,305.14523
,,,,,,49391,,,
,,,,,,49782,,,
407.12390727272725,393.0224203429972,79.18181818181819,276.0064811178733,2,386.5,50001,101.201584,96.47116372381387,261.0546
,,,,,,50049,,,
,,,,,,50438,,,
,,,,,,50794,,,
432.66907372727275,459.2017795039814,81.9090909090909,288.38565830644745,2,381.5,51001,106.88652,96.61931961803516,268.10797
,,,,,,51019,,,
,,,,,,51385,,,
,,,,,,51741,,,
501.4422088181818,403.4276298863968,97.54545454545455,313.72624962234903,3,401.9,52001,95.2115,82.0955757790411,272.46426
,,,,,,52103,,,
,,,,,,52427,,,
,,,,,,52722,,,
,,,,,,52983,,,
488.1494723636364,476.2923943600603,100.9090909090909,305.67470609076764,3,427.6,53001,107.83269,95.04202746235309,274.17276
,,,,,,53347,,,
,,,,,,53710,,,
373.19001954545456,565.1961950768646,80.45454545454545,250.6175226147567,2,430.7,54001,127.079765,101.62932255706913,245.29881
,,,,,,54086,,,
,,,,,,54417,,,
,,,,,,54777,,,
454.55447781818185,413.3221281888221,93.0909090909091,292.9370635749187,3,436.0,55001,118.288475,109.23427908847928,279.82425
,,,,,,55116,,,
,,,,,,55420,,,
,,,,,,55766,,,
263.69776081818185,304.7660160060512,51.63636363636363,201.88848673977043,1,437.4,56001,201.85645,192.7382253700758,308.27933
,,,,,,56001,,,
,,,,,,56176,,,
,,,,,,56373,,,
,,,,,,56660,,,
,,,,,,56963,,,
459.13339199999996,404.4209413697849,94.72727272727273,292.88015779393385,3,434.5,57001,82.43112,72.75249497013226,243.06703
