eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_returns,total timesteps,eval_qs_difference,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval mean 100 episode reward
1000.0,-30.6538063231641,28.405043,-332.8534784245147,1,28.365497233804955,28,-1.1278516,-325.2807563636363,-324.5
1000.0,-33.85361558267162,29.167717,-327.6554013430118,1001,29.164274643799875,28,-1.1215333,-336.37315963636365,-331.0
1000.0,-31.706248738523588,29.145391,-355.51613253705204,2001,29.134919533856078,28,-1.1269599,-334.00798127272725,-331.1
1000.0,-32.76238291054709,27.64367,-335.1309674430916,3001,27.629846810776225,28,-1.131215,-320.0453789090909,-328.8
,,,,4000,,,,,
1000.0,-29.907418689419192,27.653313,-361.17423041271564,4001,27.603544488736603,28,-1.1316588,-316.96037645454544,-325.9
1000.0,-28.245317270615338,26.823647,-276.04430046174133,5001,26.817367517207437,28,-1.1251185,-307.3877247272727,-324.1
1000.0,-32.99254981346377,29.666687,-417.84802101219015,6001,29.660328209216598,28,-1.1294249,-340.56015499999995,-324.6
1000.0,-34.6793143721978,29.889538,-359.42236724563486,7001,29.88396250859713,28,-1.1254771,-344.4269180909091,-327.8
,,,,8000,,,,,
1000.0,-33.18931726934672,26.649748,-347.7350115376446,8001,26.599199775532306,28,-1.1283662,-310.13308445454544,-325.9
1000.0,-34.65784313537974,28.310469,-369.27817931911716,9001,28.2979101117989,28,-1.128795,-328.5783163636363,-326.3
1000.0,-30.58006106368484,28.354515,-345.77051453668173,10001,28.348103383455644,28,-1.131874,-325.0740324545455,-325.2
1000.0,-29.412942633274103,27.442455,-344.4608824142419,11001,27.438721561850503,28,-1.1330994,-314.8370236363636,-323.2
,,,,12000,,,,,
1000.0,-31.302117661490808,28.025373,-292.32761690191046,12001,27.959611397092498,28,-1.1227908,-321.8131180909091,-324.5
1000.0,-35.3631817842662,28.979784,-351.37646189199506,13001,28.963541352118078,28,-1.122755,-335.8725144545454,-325.5
1000.0,-29.033423888356072,26.717236,-324.2004501049707,14001,26.702228559405683,28,-1.1253824,-307.0191992727273,-325.3
1000.0,-28.274264161525835,27.781103,-300.93741507485095,15001,27.771238652595184,28,-1.1248804,-316.9527127272727,-323.8
,,,,16000,,,,,
1000.0,-29.405648877908423,28.359047,-343.08520585332536,16001,28.3327720592455,28,-1.1262265,-323.7015791818182,-321.1
1000.0,-35.078799488153166,27.06726,-348.8544795506298,17001,27.061526898882292,28,-1.1200475,-316.543755,-321.2
1000.0,-32.194280991848956,29.14497,-363.75743110223857,18001,29.13991987472616,28,-1.1213368,-334.4849048181818,-321.1
1000.0,-27.296271589672468,27.909142,-325.61280890514473,19001,27.883170668377844,28,-1.1239086,-317.0941026363637,-322.1
,,,,20000,,,,,
1000.0,-35.60265148306389,30.06112,-377.123658207222,20001,30.04905971226864,28,-1.1265553,-347.00277663636365,-323.7
1000.0,-33.320384079392824,27.82976,-344.54216057947735,21001,27.81667167256755,28,-1.1300616,-322.45451272727274,-324.6
1000.0,-31.235900663877544,28.521551,-292.6715270613913,22001,28.501571272691447,28,-1.1239986,-327.17924081818177,-323.7
1000.0,-31.150512778897703,29.070457,-318.4084704977862,23001,29.046864482114117,28,-1.1300912,-332.6085636363636,-326.3
,,,,24000,,,,,
1000.0,-31.69192036678028,28.9664,-298.51555895994267,24001,28.957367849464482,28,-1.1289369,-332.2380494545455,-327.5
1000.0,-50.816636663977896,49.721474,-556.4396837911698,25001,49.72073131488358,28,-0.9883282,-557.3990664545454,-351.8
1000.0,-40.07933752015249,52.301662,-597.3211979895084,26001,52.301664089918475,28,1.6939347,-545.7558392727273,-376.4
1000.0,-36.416673335176704,56.442505,-580.5593699180541,27001,56.44250248518292,28,2.8105001,-572.3725308181818,-402.4
,,,,28000,,,,,
1000.0,-6.960991671147502,40.261044,-67.57689052720394,28001,40.26104062505936,28,23.612823,-173.3735629090909,-392.0
1000.0,27.34198618797243,10.0170355,278.01066313369665,29001,10.016985458357855,28,34.99668,276.86552745454543,-327.7
1000.0,75.25918068645849,27.246704,799.4613727809468,30001,-23.41784787570315,28,48.13346,790.0197158181818,-210.2
1000.0,80.3413239520257,28.65551,853.3807354738293,31001,-24.541834390668928,28,52.519897,850.155257,-79.8
,,,,32000,,,,,
1000.0,97.00996081174588,16.647863,1055.4387405007863,32001,-4.416737165924207,28,91.475006,1054.9573841818183,69.9
1000.0,125.32923472754068,32.119663,1328.014572762814,33001,-21.98475407274212,28,98.190605,1325.829527909091,250.2
1000.0,177.5563887861294,58.784863,2015.443273483195,34001,-46.742552347042626,27,133.9859,1983.0653154545455,517.5
1000.0,171.99343721689777,34.41303,1886.2616117317903,35001,-9.094771163375725,28,162.58533,1887.0745139090907,786.6
,,,,36000,,,,,
1000.0,191.5134147408082,28.297749,2282.537260305352,36001,20.80219336834943,27,222.95868,2211.163000090909,1088.5
1000.0,227.43374363072036,32.420334,2582.111606985227,37001,4.680473292345906,28,236.80888,2546.443274181818,1395.1
1000.0,205.55233453829797,48.7998,2231.7333913707153,38001,40.17242960491081,28,248.85303,2290.302760727273,1626.5
1000.0,212.67534339633238,47.623634,2881.1647738690085,39001,33.909792627495364,27,265.93353,2530.7859630909093,1821.9
,,,,40000,,,,,
1000.0,237.5180534066054,34.79504,2817.5220363329104,40001,19.40499152438517,27,280.9862,2850.955156909091,2043.7
1000.0,258.2045929316885,40.595207,2985.5794325520887,41001,13.422602970541845,27,285.00156,2971.4121922727277,2256.9
1000.0,265.6963184366991,41.659657,3222.901073759143,42001,6.154560220963379,28,299.15164,3193.0099772727276,2465.3
1000.0,266.7306513484693,39.796707,3303.85348990408,43001,23.5220185350532,28,307.89746,3107.817768818182,2601.9
,,,,44000,,,,,
1000.0,281.90509493088297,45.461235,3484.463002611969,44001,3.328436794022697,28,323.06564,3476.458303363636,2772.6
1000.0,303.1235569526769,48.51189,3603.535598877983,45001,3.5795744192017764,27,339.3555,3657.8514034545456,2937.1
