eval_qs_difference,eval_abs_qs_difference,eval mean 100 episode reward,total timesteps,eval_returns,eval_discount_q,eval_qs,eval_time_elapsed,eval_ep_rewmean,eval_eplenmean
16.103353457257324,16.868187,1136.7,141001,1012.6463952802753,258.1240708415797,273.53918,8,1013.1013662727273,294.27272727272725
142.60482389422273,142.60483,1091.0,142001,526.9643821586128,211.34187977947587,322.7356,5,570.5765106363637,196.72727272727272
,,,142678,,,,,,
2.4270061115056167,8.858683,1115.6,143001,1083.0855747527387,258.58463772044746,273.1142,9,1148.8433292727275,329.45454545454544
,,,143827,,,,,,
149.46376854530087,149.87134,1013.8,144001,805.2905261011322,114.08437129998664,251.8391,5,396.4686224545454,177.0
31.94349563261784,34.916714,1176.0,145001,2873.2853298759715,248.61419388375043,320.68884,26,2947.519347727273,936.0
,,,145068,,,,,,
12.32706860574318,13.848464,1148.3,146001,757.2474842685934,237.61576797483593,250.38263,7,870.0887911818182,261.54545454545456
,,,146190,,,,,,
3.6014497616245857,10.18427,1168.0,147001,1243.4114950463002,262.2235234956142,277.5621,10,1253.682273363636,362.6363636363636
,,,147087,,,,,,
13.507635986449982,16.569477,1187.0,148001,1140.8024031843797,259.91141430101834,284.09134,10,1233.916981181818,360.0
67.35068942590411,67.76412,1242.8,149001,1373.1255521408016,258.14967594163755,329.38937,16,1807.1288803636364,582.3636363636364
,,,149259,,,,,,
42.90579771077924,43.31304,1428.5,150001,1650.8787922679264,257.73417607642864,323.6431,24,2723.3344994545455,871.4545454545455
