eval_discount_q,eval_qs_difference,eval_eplenmean,eval_returns,eval mean 100 episode reward,eval_ep_rewmean,eval_qs,total timesteps,eval_abs_qs_difference,eval_time_elapsed
,,,,,,,16753,,
,,,,,,,16859,,
,,,,,,,16987,,
115.24976432350785,-63.856827114142874,27.272727272727273,133.9063536090722,130.6,130.93614536363637,-2.2094252,17001,63.856827,0
,,,,,,,17084,,
,,,,,,,17177,,
,,,,,,,17286,,
,,,,,,,17379,,
,,,,,,,17495,,
,,,,,,,17587,,
,,,,,,,17689,,
,,,,,,,17805,,
,,,,,,,17887,,
,,,,,,,17981,,
112.0353552381177,-62.03097761111812,26.454545454545453,124.40652481648921,130.3,126.77904845454546,-2.190875,18001,62.03098,0
,,,,,,,18090,,
,,,,,,,18169,,
,,,,,,,18272,,
,,,,,,,18356,,
,,,,,,,18453,,
,,,,,,,18561,,
,,,,,,,18664,,
,,,,,,,18774,,
,,,,,,,18879,,
,,,,,,,18970,,
116.18826751217247,-64.36145811350023,27.545454545454547,134.74664067359373,130.5,132.18553272727272,-2.187859,19001,64.36146,0
,,,,,,,19080,,
,,,,,,,19160,,
,,,,,,,19270,,
,,,,,,,19369,,
,,,,,,,19478,,
,,,,,,,19582,,
,,,,,,,19667,,
,,,,,,,19768,,
,,,,,,,19866,,
,,,,,,,19984,,
115.30093136579973,-63.88447324771011,27.272727272727273,128.9151183775735,130.4,131.0003890909091,-2.2070997,20001,63.884464,0
,,,,,,,20095,,
,,,,,,,20167,,
,,,,,,,20248,,
,,,,,,,20341,,
,,,,,,,20428,,
,,,,,,,20534,,
,,,,,,,20640,,
,,,,,,,20739,,
,,,,,,,20838,,
,,,,,,,20917,,
116.25727157811306,-64.40793482459736,27.545454545454547,129.496701129223,130.7,132.25686745454547,-2.1811693,21001,64.40793,0
,,,,,,,21034,,
,,,,,,,21156,,
,,,,,,,21256,,
,,,,,,,21360,,
,,,,,,,21449,,
,,,,,,,21563,,
,,,,,,,21681,,
,,,,,,,21761,,
,,,,,,,21867,,
,,,,,,,21943,,
115.80551113841513,-64.11394562693569,27.454545454545453,128.73925287150988,130.8,131.6749697272727,-2.1827772,22001,64.11395,0
,,,,,,,22041,,
,,,,,,,22134,,
,,,,,,,22251,,
,,,,,,,22356,,
,,,,,,,22442,,
,,,,,,,22521,,
,,,,,,,22622,,
,,,,,,,22708,,
,,,,,,,22804,,
,,,,,,,22884,,
,,,,,,,22971,,
