eval_eplenmean,eval_discount_q,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_time_elapsed,eval_qs,total timesteps
20.0,88.30999898064547,-48.57185026099341,96.95171836363637,48.57185,97.1,96.87083646434745,0,-0.9477539,17001
,,,,,,,,,17055
,,,,,,,,,17166
,,,,,,,,,17253
,,,,,,,,,17354
,,,,,,,,,17458
,,,,,,,,,17542
,,,,,,,,,17638
,,,,,,,,,17759
,,,,,,,,,17848
,,,,,,,,,17931
20.0,88.25671913304377,-48.52993079017147,96.89026463636364,48.529934,97.0,97.03792330616514,0,-0.9493668,18001
,,,,,,,,,18042
,,,,,,,,,18133
,,,,,,,,,18233
,,,,,,,,,18319
,,,,,,,,,18434
,,,,,,,,,18523
,,,,,,,,,18629
,,,,,,,,,18725
,,,,,,,,,18815
,,,,,,,,,18910
20.09090909090909,88.67431909791388,-48.79146236264692,97.4005939090909,48.791466,97.0,101.87808848453757,0,-0.9526241,19001
,,,,,,,,,19018
,,,,,,,,,19130
,,,,,,,,,19224
,,,,,,,,,19304
,,,,,,,,,19402
,,,,,,,,,19496
,,,,,,,,,19608
,,,,,,,,,19723
,,,,,,,,,19814
,,,,,,,,,19933
20.0,88.27759637837349,-48.55965486433319,96.91625363636363,48.559654,97.0,97.40378344543305,0,-0.9524882,20001
,,,,,,,,,20043
,,,,,,,,,20128
,,,,,,,,,20223
,,,,,,,,,20327
,,,,,,,,,20416
,,,,,,,,,20524
,,,,,,,,,20610
,,,,,,,,,20701
,,,,,,,,,20791
,,,,,,,,,20893
,,,,,,,,,20981
20.09090909090909,88.6658174953706,-48.7762778854809,97.38921472727274,48.77628,97.1,96.63729185694942,0,-0.95066434,21001
,,,,,,,,,21061
,,,,,,,,,21171
,,,,,,,,,21262
,,,,,,,,,21354
,,,,,,,,,21444
,,,,,,,,,21547
,,,,,,,,,21622
,,,,,,,,,21717
,,,,,,,,,21830
,,,,,,,,,21914
20.0,88.30824111560935,-48.57829654138689,96.95102245454547,48.578297,97.1,96.83031257738409,0,-0.9489779,22001
,,,,,,,,,22003
,,,,,,,,,22099
,,,,,,,,,22207
,,,,,,,,,22309
,,,,,,,,,22411
,,,,,,,,,22497
,,,,,,,,,22607
,,,,,,,,,22687
,,,,,,,,,22796
,,,,,,,,,22889
,,,,,,,,,22985
20.09090909090909,88.55934795541701,-48.70827303740052,97.2698830909091,48.70828,97.1,97.15790755835036,0,-0.952632,23001
,,,,,,,,,23088
,,,,,,,,,23177
,,,,,,,,,23273
,,,,,,,,,23358
,,,,,,,,,23467
,,,,,,,,,23546
,,,,,,,,,23638
,,,,,,,,,23719
,,,,,,,,,23798
,,,,,,,,,23897
,,,,,,,,,23990
20.0,88.44628641760482,-48.691761947241666,97.1099810909091,48.69176,97.1,96.29823431596591,0,-0.9509749,24001
,,,,,,,,,24106
,,,,,,,,,24192
,,,,,,,,,24296
,,,,,,,,,24402
,,,,,,,,,24490
,,,,,,,,,24561
,,,,,,,,,24634
,,,,,,,,,24734
,,,,,,,,,24811
,,,,,,,,,24956
25.363636363636363,116.5935342679493,-67.36706596695237,132.1943621818182,67.36707,100.6,130.17893155237715,0,-1.3042299,25001
,,,,,,,,,25056
,,,,,,,,,25161
,,,,,,,,,25257
,,,,,,,,,25337
,,,,,,,,,25452
,,,,,,,,,25624
,,,,,,,,,25803
,,,,,,,,,25988
37.45454545454545,164.49277393744057,47.90099850891629,198.14006509090908,53.51506,111.2,190.21893587798186,1,142.05403,26001
,,,,,,,,,26148
