eval_abs_qs_difference,eval_ep_rewmean,eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval_returns,eval mean 100 episode reward,eval_discount_q,total timesteps,eval_qs
130.1664,990.6833386363636,262.8181818181818,123.83202629592547,7,557.0258533296728,1009.4,229.56902721872228,137001,345.7375
,,,,,,,,137681,
143.74086,1032.7889413636365,285.72727272727275,138.90122670976936,8,2405.9536322701956,1045.8,229.10774849533044,138001,378.0334
,,,,,,,,138314,
196.37578,501.0368546363636,163.45454545454547,191.91976661021064,4,449.8317214270522,1028.5,161.29762723028904,139001,339.52097
,,,,,,,,139005,
,,,,,,,,139971,
141.7479,742.8863237272727,218.45454545454547,137.70961272809294,6,930.0660976922381,1022.9,224.7346361950658,140001,359.366
311.33795,152.8995881818182,74.0,311.33795707998485,2,1110.3386350023466,944.4,59.73005865933733,141001,363.4375
,,,,,,,,141553,
213.97154,307.1853421818182,118.0909090909091,213.29363067969783,3,167.2834617728929,837.7,151.04271419597598,142001,323.8827
,,,,,,,,142199,
216.01747,376.21831263636363,145.9090909090909,214.3024288663997,4,530.8346648740344,777.4,174.27312129378276,143001,342.42703
,,,,,,,,143036,
,,,,,,,,143809,
132.00525,1105.5380346363636,293.3636363636364,130.65970666270346,8,605.9318268471493,742.0,282.17240725412717,144001,399.71887
,,,,,,,,144527,
169.84517,512.8534056363636,163.72727272727272,164.35619061143092,4,266.5573757187773,653.0,188.40430138749653,145001,318.66986
,,,,,,,,145504,
178.17824,295.1499895454545,107.45454545454545,175.1887143580338,3,1032.548152583641,551.9,147.77822099225753,146001,289.00076
,,,,,,,,146856,
148.78009,917.4351339090911,262.1818181818182,140.44490000135497,7,1581.036979539298,550.1,231.5793522902584,147001,368.30862
118.73255,1364.305761,360.3636363636364,106.32926339931822,10,1872.4563095031804,623.3,242.97476329074897,148001,377.83078
,,,,,,,,148602,
265.43652,336.3753895454545,143.8181818181818,264.8842356437556,4,118.20690917314134,600.3,103.88395406156592,149001,362.40625
,,,,,,,,149315,
,,,,,,,,149785,
180.43173,830.4015835454546,258.1818181818182,177.2841423785303,7,2249.4044731507147,654.2,192.84414397359672,150001,371.81482
,,,,,,,,150317,
121.067314,1089.638038909091,290.0,110.16805423715017,8,1516.181756206314,739.1,259.35072856258563,151001,369.78104
240.6931,488.48289700000004,188.0909090909091,239.0561745455908,5,206.509348475291,769.9,132.38636986712484,152001,357.5536
,,,,,,,,152103,
,,,,,,,,152696,
215.36053,341.74476200000004,137.36363636363637,213.7290981977355,3,140.3872394805486,694.8,154.79585110878654,153001,340.9889
,,,,,,,,153092,
,,,,,,,,153685,
176.12704,886.5955740909092,261.54545454545456,168.8365861689432,7,1590.169250775303,723.2,218.2087111573517,154001,378.7476
,,,,,,,,154468,
153.92746,846.444581909091,243.45454545454547,146.7322922094175,6,1142.5754518571214,782.2,234.98936858118915,155001,368.96558
336.03137,55.25703709090909,44.0,336.03134096230497,1,54.83222989122465,706.7,41.01803512358507,156001,369.31824
,,,,,,,,156023,
89.78919,2016.5190890909093,476.8181818181818,76.74812298703178,13,1057.7452210777647,771.3,260.9394712077993,157001,406.4497
,,,,,,,,157213,
163.59842,1139.4679248181817,314.45454545454544,158.93786647886307,9,2285.3322997975865,826.0,195.2126310589927,158001,372.81982
,,,,,,,,158017,
,,,,,,,,158715,
135.15398,1434.161390909091,415.54545454545456,129.0546258508494,11,216.67626116196624,936.9,206.10354706936113,159001,382.56448
,,,,,,,,159537,
156.33209,949.6550939999998,247.8181818181818,148.64087575727297,7,284.81708383499694,914.0,248.90022143841514,160001,379.51865
,,,,,,,,160460,
194.89093,596.1518199999999,177.0909090909091,192.98709323118646,5,1082.3440348364898,902.2,199.14070462529088,161001,366.02783
,,,,,,,,161242,
130.78123,1184.227389818182,318.09090909090907,122.60332491796133,9,1750.2113785070735,989.2,262.29859247440834,162001,398.42996
,,,,,,,,162086,
,,,,,,,,162901,
81.57903,2506.034464818182,598.1818181818181,70.54979199938204,17,3618.9825959243544,1169.1,304.311783576924,163001,433.3473
,,,,,,,,163682,
156.39088,1181.706633,308.3636363636364,152.23259835670993,8,2540.3578660541953,1205.4,251.45284955374538,164001,399.64786
140.99364,1136.9413201818184,326.45454545454544,136.42620492728895,9,820.3057457923119,1328.9,224.0128991312542,165001,376.0122
,,,,,,,,165096,
102.08558,1715.7198213636364,408.54545454545456,93.74421217163473,11,4177.124361641491,1294.4,287.6369191898967,166001,413.68015
122.354004,1455.9115100909091,365.6363636363636,115.64463188679375,10,278.3616024974668,1369.0,247.86892817718555,167001,394.8555
,,,,,,,,167006,
130.41772,1563.2597092727272,392.27272727272725,121.15997292992878,11,749.7916629013965,1357.1,254.67724288934113,168001,404.84256
,,,,,,,,168953,
163.64406,1414.7745606363637,381.72727272727275,158.2180363220162,10,1784.7497995562105,1401.5,241.4138872519318,169001,414.3699
191.01537,1010.1672677272728,264.6363636363636,188.3317439746252,7,323.7410991972912,1458.0,184.83026419439773,170001,382.9789
168.49144,709.1895641818182,201.36363636363637,163.92021904668152,5,253.49275140981592,1425.8,203.68499017712927,171001,343.16687
,,,,,,,,171450,
,,,,,,,,171631,
245.29219,196.89510900000002,76.0909090909091,244.1772346480345,2,200.9328697824828,1210.4,121.7582235096245,172001,343.15332
,,,,,,,,172022,
,,,,,,,,172311,
220.46063,593.0651957272727,179.1818181818182,216.12648145614637,5,43.849262737945644,1105.9,173.16232279705562,173001,382.316
,,,,,,,,173103,
206.85272,903.361098909091,258.27272727272725,205.6536466077123,7,624.2054533294888,1059.3,221.0563388430601,174001,416.36688
,,,,,,,,174424,
128.85637,1214.086373,310.0,124.65622885998596,8,1225.4854531825956,1042.6,251.9449058980509,175001,400.43387
,,,,,,,,175837,
214.35152,270.1614352727273,100.72727272727273,212.36493510766286,2,266.2561233488022,879.5,162.08054716784625,176001,319.69025
,,,,,,,,176955,
298.31613,114.49506818181818,55.54545454545455,297.75983622780126,1,16.063753767628913,729.0,68.12317231610369,177001,350.02454
,,,,,,,,177807,
149.09106,1058.890439181818,280.3636363636364,146.18789626212262,8,609.7245742483782,685.3,265.7235952732608,178001,411.5327
,,,,,,,,178681,
202.07397,365.273701,116.81818181818181,200.5307450607127,3,436.1705986241833,597.3,165.44693922989327,179001,334.90012
,,,,,,,,179150,
,,,,,,,,179420,
184.576,757.9189021818182,207.0909090909091,179.78703691500718,5,810.161462309278,599.1,231.36355406897607,180001,374.3961
,,,,,,,,180021,
,,,,,,,,180574,
226.35768,306.7837832727273,110.9090909090909,223.23210229782498,3,648.6424699595688,611.5,144.11737090930373,181001,334.80652
,,,,,,,,181623,
186.97878,660.0755694545454,202.45454545454547,182.4476449664891,5,369.9639612930088,628.3,176.00328207575606,182001,340.87268
,,,,,,,,182372,
,,,,,,,,182965,
201.49896,373.4859651818182,133.54545454545453,199.46638876593295,3,243.35471835648133,577.0,126.83829995903922,183001,309.17178
,,,,,,,,183357,
,,,,,,,,183644,
187.3098,398.40172500000006,136.0909090909091,183.2423209584035,3,210.38537858470312,500.0,172.9761325904391,184001,319.6004
,,,,,,,,184144,
,,,,,,,,184561,
,,,,,,,,184970,
241.342,181.62620936363635,79.45454545454545,239.91246868208074,2,166.8981759904365,467.1,117.51269785993492,185001,321.9309
,,,,,,,,185954,
156.75333,1159.1775327272728,277.1818181818182,153.5182642684513,7,1414.15787977789,565.0,292.5034218830656,186001,430.2251
,,,,,,,,186896,
149.50685,1231.5677636363637,298.09090909090907,146.300800719843,8,1920.5496636724,602.3,310.21506762714995,187001,439.81317
,,,,,,,,187501,
232.95343,443.8808371818182,149.8181818181818,231.48405250827562,4,193.25878430985614,611.8,171.75044961997185,188001,379.1331
,,,,,,,,188549,
148.69255,952.7924496363638,225.0909090909091,144.6222871615697,6,872.3487908777921,630.4,287.5843580206813,189001,409.93524
,,,,,,,,189272,
203.56656,669.5315091818183,181.0,202.0847685386001,5,1909.2405140085148,657.1,201.8064884756248,190001,381.97147
,,,,,,,,190056,
,,,,,,,,190891,
139.40462,913.9848977272726,218.0,136.7201516738509,6,1471.7541524990227,698.0,275.4802288584176,191001,388.86462
,,,,,,,,191376,
167.0097,939.5028348181818,232.8181818181818,165.73288278457585,6,775.2917209350406,754.1,289.3628667442996,192001,425.02615
,,,,,,,,192065,
,,,,,,,,192922,
347.5529,177.52248781818182,60.90909090909091,347.115581514477,1,15.47841156119136,737.7,57.838732754758034,193001,400.69434
161.758,1017.5726600909092,245.0,158.10889014055954,6,693.948742232098,822.2,303.06301974325174,194001,432.5047
,,,,,,,,194390,
167.55971,849.6867181818183,218.0909090909091,162.49601426306913,6,285.8890492582659,804.9,247.1457359142992,195001,381.741
,,,,,,,,195272,
127.06877,1346.103573,305.3636363636364,125.32032219222793,8,1074.371116327659,825.8,341.4495617677205,196001,451.19336
,,,,,,,,196563,
171.34517,1411.4898713636364,340.09090909090907,166.898764283214,9,291.03840610426136,918.7,267.9089668056338,197001,420.77557
,,,,,,,,197607,
113.59315,1373.7806115454548,326.6363636363636,108.7181617216549,9,1216.2776420683126,955.5,319.9660287687698,198001,423.27393
,,,,,,,,198698,
222.49428,839.2048392727272,238.54545454545453,220.03692216071752,6,238.76981495370276,998.5,194.68910919165947,199001,398.38242
,,,,,,,,199425,
144.45421,1356.621425818182,347.0,143.25568472321427,9,2454.6557324626633,1028.6,284.3310089278038,200001,426.97678
,,,,,,,,200417,
227.55098,894.9603239090909,256.8181818181818,225.47212804480932,7,1741.2035375562366,1017.0,209.07038080160393,201001,410.0926
,,,,,,,,201585,
243.02295,498.2155410909092,179.72727272727272,241.47941802487395,5,755.084241178998,1047.4,213.15993109910985,202001,394.17126
,,,,,,,,202933,
163.92487,1101.9698114545456,298.6363636363636,161.52961719695801,8,2022.9638949538391,1058.5,241.40689588278818,203001,409.81534
,,,,,,,,203045,
,,,,,,,,203849,
,,,,,,,,203968,
290.25797,300.1795468181818,113.9090909090909,289.3004469959511,3,128.7410535864928,1022.1,91.05309452521513,204001,373.9154
,,,,,,,,204636,
,,,,,,,,204758,
,,,,,,,,204915,
224.53676,625.2078622727272,200.27272727272728,222.31003074321282,5,293.5246236798811,943.5,179.92650800371533,205001,389.92218
,,,,,,,,205256,
145.19815,1023.0703613636364,261.3636363636364,143.24051062705087,7,952.9209341123446,882.0,288.9103429522829,206001,412.682
,,,,,,,,206143,
,,,,,,,,206934,
138.75632,1049.4700852727274,271.90909090909093,133.46387463063607,7,462.8315616912173,859.5,274.2783135397901,207001,390.38388
,,,,,,,,207980,
199.0556,663.602209,216.1818181818182,197.20807253696236,6,586.9537110158108,823.3,202.74452894152157,208001,373.9633
179.93158,990.3984348181821,275.27272727272725,176.86437206324,7,932.7094624632489,813.5,261.1430534476839,209001,408.52756
,,,,,,,,209139,
,,,,,,,,209828,
178.45578,806.6149663636363,223.45454545454547,173.21402795045697,6,366.7900365249048,818.0,260.13858943478294,210001,382.3836
