eval_abs_qs_difference,eval_qs_difference,total timesteps,eval_returns,eval mean 100 episode reward,eval_time_elapsed,eval_qs,eval_ep_rewmean,eval_discount_q,eval_eplenmean
66.18415,15.088530961125462,76001,5422.333269914897,5247.7,27,513.6651,5410.604218454546,429.12974131372806,1000.0
73.245766,4.149392918087037,77001,5604.278244254705,5313.2,27,521.2304,5619.205604090909,452.9248152201572,1000.0
62.17941,37.32152275533603,78001,5089.976935194281,5327.7,27,517.04034,5215.235292636364,422.2699436446892,1000.0
65.543915,21.33220755436759,79001,5475.504333119605,5365.4,27,527.718,5501.814807909091,442.3806250506886,1000.0
,,80000,,,,,,,
73.94685,5.902340535858007,80001,5604.849402545675,5422.2,27,527.2729,5672.994793272726,463.9284907614549,1000.0
83.36572,-4.626972585105549,81001,5768.438118604084,5496.5,27,534.7726,5863.203302363636,473.94677020659947,1000.0
74.596436,7.408417883732,82001,5788.285265688263,5549.3,27,538.8913,5780.193527636364,470.065564590113,1000.0
81.11008,-1.5216407585591945,83001,5916.521322244348,5607.2,27,541.5554,5903.203457,477.2047870936898,1000.0
,,84000,,,,,,,
64.15603,25.96736281050995,84001,5594.04929912079,5622.5,27,545.0652,5640.917179363636,454.4836217255803,1000.0
82.39466,-1.5311170723994316,85001,5943.034016681024,5676.0,27,546.7198,5954.952826454545,477.2154346413312,1000.0
87.50497,-11.84881140324538,86001,6060.2592648620375,5723.5,27,545.14545,6040.9582408181805,475.77328082457694,1000.0
69.77192,14.532862125821897,87001,5778.67750846438,5784.8,27,550.44794,5809.798863181819,455.20005948766226,1000.0
,,88000,,,,,,,
78.79365,5.445037844440094,88001,6049.345309860937,5837.5,27,553.42163,5957.999422363637,483.06402130391075,1000.0
68.875275,21.861928018677894,89001,5788.183405422034,5858.8,27,556.0676,5807.481556363637,470.1256572363871,1000.0
84.345634,1.2635019262763556,90001,6084.6361472821545,5882.6,26,560.9683,6073.621018363637,481.3862845384065,1000.0
75.71286,11.816224815911575,91001,5986.091886929374,5905.5,26,562.8703,5985.630787545455,479.8886979109718,1000.0
,,92000,,,,,,,
67.69764,27.875767274615235,92001,5889.125373615536,5899.7,26,563.2545,5825.857462909091,476.83807275250933,1000.0
82.2756,3.6820938574546536,93001,6113.4569253502805,5945.4,26,567.582,6128.383742,494.32926999719746,1000.0
69.252754,25.746105221369785,94001,5926.353719041469,5951.3,26,570.32635,5923.674580636363,482.69896183826717,1000.0
63.882504,38.49333234317533,95001,5855.279261893449,5929.6,26,574.9663,5826.5586882727275,466.49442487074157,1000.0
,,96000,,,,,,,
90.5499,-6.388442908261812,96001,6310.067639052841,5971.7,26,572.6442,6285.199473727273,499.87155501930135,1000.0
82.23076,6.728049986765882,97001,6247.175492987402,6004.6,26,577.98267,6207.658430363636,500.11318004169584,1000.0
65.749954,32.832661342583194,98001,5862.086825812396,6010.1,26,571.8425,5861.864640454545,476.5314978710528,1000.0
72.34659,21.661478474829302,99001,6051.18299762951,6009.2,26,575.6539,6019.721063363636,484.64347545436664,1000.0
,,100000,,,,,,,
74.14483,19.739983916983057,100001,6101.286945858177,6018.1,26,580.4515,6092.9683156363635,490.76082615922587,1000.0
75.820694,15.925926281151822,101001,6095.197833685889,6044.6,26,577.00006,6090.921711909091,485.03117546680335,1000.0
91.58772,91.57631037267635,102001,5224.451834142799,5962.3,26,574.0993,5257.157718818182,436.2909675776111,1000.0
78.74445,9.989835869033898,103001,6275.988167576019,5980.6,26,583.1942,6222.114791727272,495.0215042123147,1000.0
,,104000,,,,,,,
