eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
41.219697201878084,293.82425,137001,253.3291068475255,282.3636363636364,42.173763,963.9466646363636,974.5056974976621,1182.5,8
,,137456,,,,,,,
28.778489243393345,285.0172,138001,256.15746745688654,255.72727272727272,32.067802,911.699372090909,954.0963118862534,1126.2,7
,,138437,,,,,,,
0.032668211517762884,301.33228,139001,274.1170358865269,351.8181818181818,11.564504,1331.5629111818182,1343.3061118002765,1242.6,10
,,139300,,,,,,,
33.320351386694256,264.52512,140001,240.3819805603425,190.1818181818182,41.073997,681.5302994545455,602.8303786376529,1205.4,5
,,140232,,,,,,,
37.15442758642753,338.47244,141001,265.59773757424995,581.2727272727273,43.805134,2074.6218366363637,3704.1354078367435,1231.7,16
,,141250,,,,,,,
266.394608377549,298.15286,142001,50.27636559371683,36.27272727272727,266.3946,61.29464263636364,61.06410264593491,1110.2,1
,,142067,,,,,,,
,,142497,,,,,,,
59.82487644988581,288.96478,143001,245.0719628918594,213.63636363636363,60.34795,732.1517060000001,727.9982360870167,1043.6,6
,,143303,,,,,,,
13.284389205361693,280.2874,144001,267.0558201113774,239.0909090909091,23.686562,903.3985608181817,970.2003512467749,1020.1,6
,,144252,,,,,,,
57.5165061268201,284.57785,145001,242.6632004105128,214.36363636363637,59.375492,727.348117090909,737.861222971584,956.5,6
,,145006,,,,,,,
,,145716,,,,,,,
9.354279149768946,276.19095,146001,266.8818560379786,225.9090909090909,18.94859,867.0639378181818,869.043316756535,922.4,6
,,146439,,,,,,,
15.020821176610532,274.6818,147001,260.0606120183165,225.9090909090909,22.760038,846.6406427272727,860.804496489944,915.1,6
,,147290,,,,,,,
,,147913,,,,,,,
41.97465380413087,280.89713,148001,240.75103111463523,227.0,50.74264,803.5745575454545,886.9372406162562,864.9,6
,,148524,,,,,,,
102.58314757035532,259.23477,149001,186.92600201159195,142.45454545454547,105.427124,431.3358324545454,720.0467248488961,824.2,4
,,149604,,,,,,,
,,149960,,,,,,,
97.33286834484943,307.79068,150001,223.5994318732108,223.9090909090909,99.23608,735.9233479090909,352.6909032539803,723.7,6
