eval_qs_difference,eval_qs,total timesteps,eval_discount_q,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_returns,eval mean 100 episode reward,eval_time_elapsed
,,15665,,,,,,,
,,15758,,,,,,,
,,15821,,,,,,,
,,15939,,,,,,,
-3.188626925080806,-2.538243,16001,4.244597392457847,13.0,3.188627,4.2867013636363644,4.341374794687881,4.3,0
,,16015,,,,,,,
,,16113,,,,,,,
,,16251,,,,,,,
,,16350,,,,,,,
,,16431,,,,,,,
,,16506,,,,,,,
,,16588,,,,,,,
,,16643,,,,,,,
,,16706,,,,,,,
,,16816,,,,,,,
,,16914,,,,,,,
,,16983,,,,,,,
-3.186127048663615,-2.5472562,17001,4.223220836458459,13.0,3.186127,4.264041727272727,4.481490483081804,4.3,0
,,17072,,,,,,,
,,17157,,,,,,,
,,17222,,,,,,,
,,17293,,,,,,,
,,17358,,,,,,,
,,17440,,,,,,,
,,17518,,,,,,,
,,17578,,,,,,,
,,17662,,,,,,,
,,17729,,,,,,,
,,17812,,,,,,,
,,17921,,,,,,,
,,17992,,,,,,,
-3.2150651430131756,-2.5452583,18001,4.2527117170567355,13.0,3.215065,4.297259545454545,4.41985785961431,4.3,0
,,18072,,,,,,,
,,18141,,,,,,,
,,18270,,,,,,,
,,18380,,,,,,,
,,18452,,,,,,,
,,18516,,,,,,,
,,18595,,,,,,,
,,18678,,,,,,,
,,18789,,,,,,,
,,18871,,,,,,,
,,18946,,,,,,,
-3.181380230717183,-2.544498,19001,4.210094084569158,13.0,3.1813803,4.250787727272726,4.227824183584595,4.3,0
,,19022,,,,,,,
,,19090,,,,,,,
,,19153,,,,,,,
,,19245,,,,,,,
,,19315,,,,,,,
,,19412,,,,,,,
,,19496,,,,,,,
,,19596,,,,,,,
,,19724,,,,,,,
,,19795,,,,,,,
,,19869,,,,,,,
,,19958,,,,,,,
-3.2680765504372205,-2.540389,20001,4.337530058650304,13.0,3.2680764,4.3887540909090905,4.4317195253278125,4.3,0
,,20036,,,,,,,
,,20162,,,,,,,
,,20243,,,,,,,
,,20340,,,,,,,
,,20408,,,,,,,
,,20482,,,,,,,
,,20548,,,,,,,
,,20627,,,,,,,
,,20690,,,,,,,
,,20785,,,,,,,
,,20869,,,,,,,
,,20972,,,,,,,
-3.1911113356458047,-2.5413187,21001,4.231373693259277,13.0,3.1911116,4.273533181818181,4.28868085496195,4.3,0
,,21062,,,,,,,
,,21146,,,,,,,
,,21246,,,,,,,
,,21315,,,,,,,
,,21411,,,,,,,
,,21505,,,,,,,
,,21547,,,,,,,
,,21632,,,,,,,
,,21720,,,,,,,
,,21780,,,,,,,
,,21969,,,,,,,
-3.177298494745435,-2.5433743,22001,4.212133056681208,13.0,3.1772985,4.252421818181818,4.226473371531427,4.3,0
,,22057,,,,,,,
,,22136,,,,,,,
,,22222,,,,,,,
,,22335,,,,,,,
,,22425,,,,,,,
,,22481,,,,,,,
,,22551,,,,,,,
,,22674,,,,,,,
,,22740,,,,,,,
,,22849,,,,,,,
,,22914,,,,,,,
,,22985,,,,,,,
-3.201280668032432,-2.5432637,23001,4.237833947388735,13.0,3.2012808,4.28099790909091,4.2121660893755895,4.3,0
,,23065,,,,,,,
,,23137,,,,,,,
,,23252,,,,,,,
,,23327,,,,,,,
,,23381,,,,,,,
,,23490,,,,,,,
,,23590,,,,,,,
,,23714,,,,,,,
,,23796,,,,,,,
,,23915,,,,,,,
-3.2454333705508294,-2.542621,24001,4.302032303039223,13.0,3.2454336,4.350377636363636,4.4147429800717255,4.3,0
,,24040,,,,,,,
,,24142,,,,,,,
,,24235,,,,,,,
,,24292,,,,,,,
,,24367,,,,,,,
,,24496,,,,,,,
,,24558,,,,,,,
,,24667,,,,,,,
,,24768,,,,,,,
,,24863,,,,,,,
,,24958,,,,,,,
-22.59972661327199,-1.3918531,25001,34.65691283309133,22.181818181818183,22.599726,39.01552963636364,39.056838719479586,7.8,0
,,25068,,,,,,,
,,25157,,,,,,,
,,25245,,,,,,,
,,25333,,,,,,,
,,25421,,,,,,,
,,25510,,,,,,,
,,25600,,,,,,,
,,25880,,,,,,,
-11.68724112383512,62.06642,26001,112.96567014610922,110.72727272727273,29.661682,193.48538172727274,194.81180371662117,27.0,3
,,26160,,,,,,,
,,26456,,,,,,,
,,26902,,,,,,,
19.360280438317762,97.38918,27001,116.41246749608973,112.0,20.351221,202.68066509090912,201.01245956658843,48.8,3
,,27322,,,,,,,
,,27726,,,,,,,
87.51095249802708,134.55548,28001,80.44993235645165,62.81818181818182,87.510956,109.20124363636364,107.28054264856483,61.3,1
,,28098,,,,,,,
,,28472,,,,,,,
,,28782,,,,,,,
39.279228582123565,112.762726,29001,109.93070256926272,91.27272727272727,39.280632,175.89869163636362,175.05184318507307,79.5,2
,,29102,,,,,,,
,,29415,,,,,,,
,,29738,,,,,,,
33.275578270603845,104.684074,30001,110.69926312429878,87.36363636363636,34.46607,171.99797318181817,171.80466615729506,97.9,2
,,30075,,,,,,,
,,30417,,,,,,,
,,30808,,,,,,,
28.138655445640993,105.0394,31001,112.56653814036643,98.45454545454545,30.111279,187.18924854545455,187.236850806253,117.9,2
,,31191,,,,,,,
,,31662,,,,,,,
50.66902424364862,132.07208,32001,122.35563111093569,107.18181818181819,50.7552,208.86208227272726,226.208940996401,140.0,3
,,32113,,,,,,,
,,32502,,,,,,,
,,32887,,,,,,,
97.64452539167702,160.55785,33001,110.94885818557776,155.72727272727272,97.64453,207.82135354545454,206.9836789264443,162.6,4
,,33437,,,,,,,
