#{"t_start": 1641820734.465468, "env_id": "Hopper-v2"}
r,l,t
72.114329,48,15.893064
20.361092,24,15.952172
26.433642,25,16.006382
7.222674,10,16.3393
12.363489,14,16.369473
28.192706,27,16.425998
14.298397,16,16.465287
10.392304,13,16.494338
18.713174,28,16.57608
9.518602,11,16.605105
6.101504,11,16.629607
15.427911,16,16.664118
10.333078,12,16.69156
13.800596,24,16.743169
14.534214,20,16.787917
27.882653,26,16.883172
21.021414,25,16.938171
18.247473,18,16.980268
102.93683,60,17.151317
28.328711,32,17.226121
11.190057,16,17.266155
9.3979,13,17.295074
8.539963,11,17.320244
13.812354,15,17.411579
10.44705,14,17.442609
12.176141,14,17.473066
12.424252,17,17.510626
12.984232,20,17.553413
15.324891,16,17.589494
27.463871,23,17.710597
12.57927,14,17.742907
59.840757,50,17.843237
22.881715,32,17.996056
10.74812,27,18.056583
19.783866,21,18.10307
16.531167,18,18.142432
16.362458,17,18.183823
9.006673,13,18.307173
13.207343,15,18.339269
10.687629,14,18.370331
7.754507,10,18.393455
7.743402,10,18.416028
13.759,27,18.471518
17.646234,21,18.629211
13.380474,20,18.673258
10.998769,12,18.702178
9.608638,15,18.734072
17.642002,17,18.770879
11.783081,23,18.821336
6.83877,14,19.359133
19.674891,22,19.404531
16.658776,22,19.451942
18.823553,21,19.49937
12.169507,23,19.548906
10.644771,15,19.713385
8.518098,31,19.777763
6.456068,9,19.803507
11.397533,13,19.830921
16.204739,20,19.874515
17.622876,23,20.0704
14.262184,18,20.111211
21.745197,24,20.162511
9.21244,15,20.197577
11.883428,21,20.241891
19.376501,23,20.445178
12.507705,21,20.490913
17.816154,22,20.539855
26.230937,32,20.60638
14.096176,16,20.6466
18.277497,40,20.89256
10.743297,12,20.924993
7.646122,10,20.947433
7.041953,9,20.96837
10.600813,15,20.999607
27.034086,30,21.23821
12.094143,18,21.280039
15.051092,19,21.322676
14.353077,15,21.356181
17.45994,19,21.398396
12.889845,20,21.633688
15.046723,17,21.672239
6.163855,10,21.696728
9.150999,16,21.730043
12.725683,20,21.772964
13.144736,15,21.807816
12.885844,27,22.064536
20.374599,24,22.117339
12.569006,16,22.154119
37.773025,52,22.467237
10.109864,15,22.507348
16.272006,23,22.555537
11.547101,14,22.588526
24.888567,27,22.644677
21.006974,25,22.925791
11.541164,13,22.956738
10.764852,14,22.988943
18.920123,18,23.027194
16.887443,29,23.0872
9.640033,23,23.759562
20.211416,26,23.816243
16.887564,17,23.855509
16.321877,19,23.896656
12.404812,20,23.940383
4.961398,12,23.968444
11.229546,24,24.267309
10.399216,12,24.299995
17.475182,18,24.338973
24.274746,25,24.391611
25.029402,30,24.713954
11.450374,17,24.754085
10.503993,16,24.788872
14.843405,16,24.825943
7.320794,10,24.849517
21.668882,25,24.900344
12.610282,22,25.220302
7.611567,11,25.246756
12.881804,21,25.290686
8.783026,11,25.317472
17.065374,26,25.371527
50.261281,48,25.756221
8.093088,10,25.7872
21.482068,26,25.840256
9.750131,12,25.870423
30.952854,27,26.215294
9.566554,13,26.248103
15.44955,27,26.303277
7.753704,14,26.337023
10.774374,16,26.371955
86.191685,58,26.790407
8.388287,11,26.823929
9.942515,15,26.856324
6.947371,11,26.881732
34.918173,43,27.285676
10.198999,13,27.320319
16.416517,28,27.377506
7.204534,13,27.409964
7.83809,11,27.435679
15.742888,29,27.819581
9.652161,22,27.86815
22.960179,31,27.933519
20.952414,19,27.977698
8.448596,13,28.007314
11.533274,24,28.391759
14.971627,18,28.432425
7.000628,11,28.459313
9.894527,16,28.493694
19.212836,35,28.566712
11.54135,13,29.337912
9.377005,13,29.367231
15.826515,17,29.404183
9.81216,12,29.431301
12.166605,23,29.47884
30.048396,32,29.905249
5.100261,22,29.954325
31.486769,35,30.035602
12.861913,20,30.082948
28.242113,28,30.511035
8.829501,11,30.539318
40.760754,45,30.629732
8.80421,16,30.670941
71.606639,79,31.20642
10.130369,13,31.248269
4.824276,12,31.275299
26.748097,36,31.740185
10.069794,12,31.771515
11.182807,15,31.804058
8.925871,29,31.865029
11.275993,15,31.900803
10.042665,19,32.340334
11.378497,15,32.37454
18.799521,24,32.425322
39.541627,27,32.482766
14.830483,25,32.952817
11.815891,15,32.987882
28.800776,27,33.04502
10.186867,17,33.083799
20.844633,40,33.58294
28.938541,26,33.641525
13.579759,21,33.68978
7.155373,11,33.716101
18.540007,23,33.763677
49.338231,44,34.284038
12.938815,32,34.36079
23.61239,24,34.414529
13.522621,16,34.891349
9.11368,14,34.923251
4.950578,13,34.951876
13.070367,15,34.986132
14.57755,17,35.022663
33.45477,38,35.100472
60.877715,48,36.044249
14.228285,15,36.083959
19.580787,49,36.640662
15.87135,18,36.687746
10.162699,14,36.719128
11.14536,15,36.751974
12.807028,15,36.789118
17.35275,19,36.832614
19.521164,33,37.378527
20.089574,24,37.432926
6.69293,30,37.497078
9.366479,13,37.530506
12.559987,27,38.069428
18.869656,19,38.114258
12.625861,14,38.14604
23.636763,21,38.189968
9.864488,20,38.235251
10.999001,16,38.769977
7.152837,9,38.791713
16.099569,36,38.863866
17.595335,26,38.923054
16.957582,28,39.484786
11.529864,14,39.518397
20.319282,27,39.575793
10.263389,15,39.611329
5.265289,10,39.634687
11.228533,28,40.212763
19.5241,23,40.26461
14.478854,31,40.332048
8.856865,11,40.360037
7.901211,26,40.413308
14.761879,15,40.974543
18.355739,31,41.038719
9.465608,11,41.067333
12.34302,15,41.099952
10.988438,24,41.150946
30.563452,31,41.758744
11.409354,14,41.793233
7.934917,10,41.816369
19.896646,24,41.865862
7.886081,16,41.904833
16.12802,22,42.499783
21.965671,22,42.547808
22.251402,24,42.599584
33.016818,29,42.660537
10.359428,17,42.701706
80.447539,46,43.747083
17.533349,21,43.797924
11.720706,15,43.831614
11.340118,26,44.463442
23.088,27,44.523558
19.764169,22,44.572126
15.889644,25,44.625936
12.297426,13,44.657792
7.579429,9,45.259958
10.526564,27,45.316813
34.982883,41,45.401983
24.188833,30,45.468428
15.733024,19,46.110225
13.495641,24,46.161317
9.203401,17,46.202532
44.382361,36,46.275347
13.398995,15,46.914731
9.277837,16,46.949629
7.349244,17,46.988305
18.50601,17,47.024928
11.717754,13,47.055007
13.870019,18,47.092886
27.45176,29,47.775168
24.23282,28,47.835781
12.349481,14,47.869266
22.977638,22,47.916574
25.40051,25,48.596154
17.469535,18,48.638176
16.097253,21,48.68729
15.750324,18,48.728198
8.348202,11,48.754484
8.345007,10,48.776965
9.803187,19,49.452817
13.29359,16,49.488832
8.19364,11,49.514102
21.709006,19,49.553977
12.870237,17,49.5934
9.64474,12,49.620636
6.804894,10,49.643061
8.360452,13,50.331624
22.671362,25,50.385448
16.822794,20,50.429985
11.567205,15,50.463651
6.631735,10,50.487736
53.702878,44,51.237334
7.601074,13,51.272568
7.620384,12,51.300734
11.408124,18,51.338264
16.722252,39,51.419625
10.318314,14,52.521278
18.061405,24,52.571018
51.271959,47,52.668003
28.648714,33,53.431705
9.605132,12,53.462869
8.836144,11,53.488759
30.749605,32,53.553815
7.46334,14,53.588657
11.997537,15,54.315563
18.464414,23,54.364998
20.523057,18,54.407532
9.886072,11,54.436018
11.133686,20,54.47791
15.360174,20,54.521213
12.964507,15,55.264225
11.385969,21,55.308586
25.957031,25,55.363227
9.896778,20,55.407738
22.256535,21,55.45352
21.441936,21,56.226212
15.124808,16,56.263712
10.363316,20,56.306631
95.821246,82,57.194152
19.529875,23,57.259075
12.463883,17,57.300287
15.745801,18,57.339488
15.42535,21,58.120876
15.637887,19,58.162667
55.988838,54,58.2723
32.593171,39,59.11079
10.878918,12,59.142623
9.691935,12,59.169503
7.139857,11,59.19409
10.993666,12,59.220707
8.235502,10,59.244721
8.510278,22,60.047339
17.57195,21,60.093386
13.926419,18,60.135133
8.226045,20,60.18167
17.90122,19,60.223674
10.795178,36,61.068412
31.10645,37,61.147408
23.688029,23,61.201435
21.814369,22,62.032111
27.52146,25,62.47643
7.799203,12,62.507725
10.545128,15,62.540159
22.326129,31,62.603592
10.297986,15,62.641081
21.589709,28,63.499252
46.003559,45,63.592953
40.580885,49,64.500474
7.694548,15,64.540756
11.561132,17,64.577762
10.86491,13,64.607958
15.270183,37,65.488921
10.637393,14,65.525181
8.339917,11,65.549809
9.258385,23,65.597296
26.967525,24,65.650588
15.671269,20,65.694201
17.796965,25,66.576006
11.632859,31,66.641172
10.836939,18,66.685281
8.871734,22,66.731517
12.124744,19,67.616176
9.639259,12,67.644711
16.891852,21,67.6887
27.90435,32,67.756384
133.776024,88,68.777712
8.017724,10,68.816314
12.670219,16,68.850028
52.895157,39,69.779696
15.54244,27,69.841816
5.763932,8,69.86386
21.49422,21,69.906839
16.13211,15,69.943094
12.657923,23,70.86312
25.325124,43,70.951102
42.745925,33,71.025107
7.514369,11,71.929143
10.116025,12,71.955803
20.529053,23,72.003693
16.120841,16,72.041429
11.372107,14,72.07211
36.847102,32,73.413218
33.495174,27,73.47446
9.722209,29,73.536443
7.207603,10,73.562215
9.563542,12,73.590143
28.837852,46,74.580416
28.346989,28,74.645972
9.791766,13,74.677351
25.426948,43,75.662419
14.803166,17,75.706285
23.828827,21,75.751558
14.791752,23,75.801121
18.9949,19,75.84404
9.015332,14,76.794415
29.619844,27,76.85137
8.588248,15,76.886608
50.215191,48,76.983375
20.316029,25,77.971625
28.852489,26,78.028993
13.764143,32,78.096882
20.512723,21,79.083042
20.654597,20,79.12641
14.172389,16,79.162442
19.530598,20,79.206695
15.437341,25,79.259042
8.207353,10,79.284486
9.271696,14,80.264202
10.873207,14,80.294688
20.199783,27,80.350281
14.04652,19,80.394604
5.499455,9,80.417167
16.757923,25,81.416446
12.00725,19,81.459442
17.726893,21,81.504783
48.106227,32,81.572557
8.042763,10,81.599016
25.234813,44,82.6546
14.215313,15,82.693508
9.051198,11,82.719535
9.609285,14,82.75077
18.983178,25,82.802701
7.105735,9,83.81118
57.011126,65,83.938986
8.946709,36,85.399281
16.0266,27,85.45997
14.334287,15,85.495788
14.322601,29,85.555609
5.539556,9,85.579818
10.010257,22,86.624386
23.379649,31,86.690674
35.637951,44,86.784661
14.457903,18,86.828784
25.339989,27,87.898726
10.871996,14,87.932441
8.165795,11,87.959032
7.924507,15,87.990778
8.676351,15,88.023882
13.18086,19,88.064896
17.24728,17,89.1314
8.468791,14,89.162798
42.045795,36,89.236217
45.991723,39,90.353318
9.191913,13,90.387793
12.337133,24,90.439399
10.986471,15,90.474616
35.225007,30,90.536328
9.973993,15,91.61282
34.229851,39,91.692756
3.987619,24,91.752656
31.460798,34,91.823704
27.437295,40,92.966602
12.151233,23,93.019871
24.926229,22,93.067982
15.441494,17,93.107314
24.554758,26,94.227103
6.163641,17,94.266342
11.537278,18,94.305183
13.093563,22,94.353339
7.583203,10,94.377998
15.446752,24,95.503639
8.571924,11,95.53027
10.786585,16,95.56431
17.770865,20,95.606802
9.12872,13,95.638725
13.444397,14,95.668732
10.651503,12,96.784374
12.475471,16,96.822364
16.145947,27,96.879297
18.330931,28,96.941236
17.115553,21,96.988063
12.909427,24,98.527563
16.238576,18,98.568078
6.305212,10,98.591835
24.331367,26,98.646835
38.897909,48,99.857975
10.876612,14,99.895759
7.80791,10,99.920144
20.933434,37,99.994704
5.440058,11,100.02459
30.067085,28,101.206416
16.273508,19,101.251098
9.477779,12,101.278869
62.241343,44,101.368189
35.776143,36,102.581983
22.145126,22,102.632123
37.446252,31,102.698255
22.362721,27,103.897705
14.114809,23,103.948761
7.04797,14,103.982986
19.522088,18,104.021009
16.852044,18,104.060505
8.43913,11,104.087051
70.988584,50,105.339945
14.143486,15,105.380135
15.536558,33,105.447873
9.203336,20,106.659778
28.405729,28,106.719855
12.932982,19,106.763125
8.829202,17,106.801364
14.322033,16,106.838624
11.876891,19,108.055065
22.544035,21,108.100465
22.431266,23,108.151875
9.947388,20,108.196307
13.251266,16,108.232085
22.771755,41,109.503023
7.084611,19,109.549474
14.276257,17,109.587975
7.990661,10,109.61132
6.363541,11,109.635962
9.0967,14,110.867096
17.422872,17,110.903804
7.280409,9,110.925499
11.680516,14,110.955326
10.863692,20,110.999185
16.495143,20,111.042501
13.764606,21,112.684219
9.935139,13,112.714957
16.583016,27,112.770488
18.252765,20,112.815906
14.168695,24,112.866804
23.87125,27,114.149514
49.786763,40,114.232379
6.252031,10,114.262487
100.629636,69,115.626735
24.318515,29,115.699275
6.839497,16,115.737207
12.324571,21,117.021784
6.49323,9,117.044432
8.773169,17,117.080243
56.870196,34,117.151132
19.932605,21,117.199428
15.8468,35,118.520728
16.054068,17,118.563061
14.72779,22,118.609715
36.19662,34,118.680468
7.924878,10,119.968552
66.162613,59,120.086206
10.64946,14,120.127733
15.30615,24,120.177569
31.96946,32,121.514844
13.454892,15,121.552077
12.233493,20,121.595006
10.715336,13,121.625362
11.822981,20,121.669988
16.484072,18,123.001869
8.048302,10,123.026037
10.700926,21,123.069422
8.289135,14,123.101366
13.097485,18,123.141635
10.874477,13,123.171028
18.984011,22,124.509784
13.963914,37,124.587334
12.78447,13,124.620562
6.597292,13,124.651268
7.131508,9,124.673143
21.673394,47,126.070388
8.265695,10,126.102128
32.091596,33,126.172712
13.486639,13,126.205932
11.330897,13,127.941317
8.51055,12,127.969862
10.754613,16,128.003821
59.237948,44,128.093838
9.364551,27,129.478242
8.100535,11,129.506032
9.978879,11,129.532573
23.547628,26,129.585208
9.034347,13,129.61659
6.438414,13,129.645636
7.132039,13,129.675761
10.489303,16,131.047297
10.09162,12,131.074963
23.524414,25,131.126899
15.802473,19,131.169878
9.054514,11,131.195836
15.766459,16,131.231431
6.770338,14,132.613572
14.353455,15,132.648178
14.607621,20,132.69065
5.517386,10,132.715235
18.749079,23,132.762561
19.174116,18,132.803967
17.47309,22,134.214936
13.038904,16,134.250752
14.611438,36,134.32381
16.217334,16,134.36536
10.386523,20,134.407984
15.590623,16,135.821666
9.687871,20,135.864644
9.154902,11,135.891615
26.163953,24,135.941705
10.144989,25,135.995408
27.738907,24,137.437444
19.191158,25,137.493261
6.590992,15,137.527942
18.437626,25,137.58343
10.714312,15,137.621408
9.966897,14,139.061469
17.920374,18,139.099841
11.788156,13,139.129383
23.277846,23,139.178693
8.814631,11,139.205554
28.981116,30,140.680678
23.144048,27,140.740926
12.919922,26,140.796534
16.624365,24,140.849709
35.438546,28,142.3352
35.507262,30,142.399159
13.517814,15,142.436954
36.930233,32,142.502503
16.8951,21,144.373061
21.436155,23,144.423838
94.923809,66,144.557469
10.231584,17,146.049792
7.646556,11,146.075155
15.666878,27,146.131836
16.941373,17,146.171442
17.476257,21,146.218931
13.778777,18,147.718828
13.324883,26,147.773887
5.926666,10,147.800548
15.173783,21,147.843722
6.603571,9,147.866433
8.493127,11,147.89016
15.994237,17,149.393554
10.416394,13,149.423819
8.015748,15,149.456033
12.223662,29,149.516485
17.527721,26,149.573271
11.864797,16,151.088182
7.101666,10,151.11202
10.361739,22,151.157325
12.137025,15,151.194272
13.851713,22,151.241023
12.146767,20,151.284839
10.259703,15,152.81278
10.582623,21,152.856818
6.982023,26,152.913216
8.805151,19,152.956065
17.124408,28,153.016013
14.953147,22,154.569107
22.717894,40,154.651187
8.405181,10,154.679681
10.778587,14,154.712762
43.512345,41,156.311814
11.943627,27,156.373267
26.39042,24,156.427373
7.210074,14,156.463055
9.63848,15,158.028817
23.792602,31,158.093877
7.06821,14,158.127898
43.310968,36,158.200128
16.150562,27,159.794045
9.257781,12,159.824198
10.875726,21,159.868036
32.203614,33,159.937562
7.890662,18,159.979308
15.424404,19,161.951682
9.049528,17,161.989441
40.347237,38,162.067884
24.828357,29,163.677786
13.175575,14,163.713663
12.753925,14,163.744081
23.741821,36,163.81688
10.430703,15,163.855605
11.089554,14,163.886465
10.47548,16,165.484593
8.813723,18,165.524301
17.076633,23,165.573197
9.009083,14,165.606431
15.179862,19,165.647305
12.991228,16,167.256669
9.876895,12,167.283956
7.826174,10,167.307492
9.604167,11,167.331404
10.494235,16,167.367185
11.311092,14,167.397732
10.72806,13,167.427009
13.143824,20,167.469227
8.57289,16,169.097861
9.472637,22,169.145295
31.497637,31,169.212642
14.821337,27,169.271744
11.685172,13,170.90371
11.260441,31,170.966465
11.769378,14,171.003022
11.279392,20,171.044805
14.332607,27,171.101299
22.30922,24,172.76437
10.717053,20,172.808663
11.129735,16,172.846112
10.226313,18,172.884409
10.551432,12,172.912599
11.482133,20,174.658562
12.17965,15,174.692591
34.974714,28,174.74946
6.13783,9,174.773385
9.15499,12,174.799261
10.01781,16,174.833114
13.272942,22,176.517711
14.176651,25,176.571293
18.648417,23,176.626755
11.821014,14,176.662561
15.297847,16,176.700529
22.037138,23,178.396582
12.743467,15,178.432329
10.218147,13,178.464335
11.979851,28,178.526937
10.919298,18,178.572155
15.287878,22,180.67632
12.682751,16,180.712313
13.903978,16,180.746922
62.595747,40,180.826342
9.318197,11,180.856918
20.566247,23,182.636582
59.888352,43,182.735026
7.249383,9,182.765719
18.482278,25,182.823155
28.221841,43,184.795342
15.366354,24,184.857755
4.745271,10,184.88674
8.395198,11,184.913739
7.763896,11,184.940654
11.165303,17,186.873755
7.115801,10,186.897829
36.294595,34,186.966993
5.35101,8,186.990818
7.60822,10,187.012627
21.345895,22,187.057313
36.451929,46,188.868923
96.216625,56,188.99157
85.90102,71,190.865077
26.521534,31,190.943165
7.633958,13,192.701683
16.878438,20,192.74786
6.398749,9,192.7727
19.717171,29,192.834561
9.885917,16,192.873692
7.770726,19,192.9159
12.03703,26,194.722662
13.481907,32,194.795978
7.448493,10,194.822896
11.64964,24,194.872115
8.38312,12,196.682214
9.291575,17,196.718395
32.997045,37,196.795372
21.123465,30,196.864492
15.086506,37,198.702331
13.070974,14,198.737699
12.360428,16,198.773864
27.602054,24,198.823947
8.659592,11,198.851342
13.29071,25,201.056341
7.728618,11,201.086349
56.376675,56,201.198038
9.490092,18,201.244518
12.217803,13,203.051635
27.181616,23,203.099789
6.88899,34,203.170983
15.894325,16,203.209523
97.83693,65,205.12567
5.632404,8,205.156099
10.786655,26,205.209925
64.436435,44,207.100266
19.009382,21,207.149935
10.826919,18,207.190184
11.170181,15,207.225501
22.873379,28,209.088441
9.642166,20,209.134221
13.579106,25,209.187346
10.28943,20,209.231899
12.048378,13,209.264506
14.732765,17,211.11974
10.198684,20,211.163119
9.997598,21,211.209536
8.342861,13,211.239785
29.923387,28,211.29762
4.713653,9,211.322639
11.7538,13,213.17887
13.328916,20,213.222472
10.127386,13,213.252391
8.729681,15,213.2854
10.719086,14,213.316125
14.756813,19,213.357969
7.137972,15,215.238068
7.290824,10,215.263345
18.012075,29,215.321836
29.74744,41,215.408668
34.937363,30,217.331378
10.608007,14,217.365951
7.349218,11,217.390844
14.15383,43,217.477258
27.489954,30,219.413881
7.213113,11,219.442204
21.44511,31,219.505994
7.086408,9,219.531035
14.339032,18,219.568182
31.836443,42,221.912012
15.467764,18,221.955985
7.868805,12,221.983703
10.453363,17,222.02107
22.671994,28,222.079302
14.867042,16,224.008534
24.494186,22,224.055385
16.089701,19,224.097475
13.819826,14,224.129932
16.463393,24,224.18018
11.028412,14,226.109622
8.966947,13,226.138744
12.419335,34,226.208495
6.747192,14,226.24514
9.938224,12,226.271902
8.811776,11,226.296137
6.032199,8,228.23183
7.459969,11,228.255795
20.675257,31,228.319857
13.32327,15,228.355709
20.229579,20,228.398318
26.741203,33,230.391941
10.819299,15,230.428675
9.037359,14,230.459164
13.693937,25,230.512669
11.699061,24,230.565917
8.256414,13,232.530108
10.292595,16,232.566613
12.602511,17,232.603473
13.342779,15,232.636717
8.143877,16,232.671478
9.505127,12,232.700493
24.982471,44,234.733701
9.965939,12,234.768626
12.310456,19,234.808137
6.741377,9,234.832025
15.898006,20,234.875141
18.799938,21,237.023124
15.623927,16,237.059039
8.305841,10,237.084273
7.472722,9,237.104802
25.750941,32,237.168695
14.57942,24,237.223861
18.482456,18,239.24702
10.263949,12,239.275595
27.1348,31,239.338896
16.149634,42,239.427636
18.218055,24,241.468643
13.888364,27,241.528266
6.795144,14,241.562009
11.594783,21,241.605977
6.211883,9,241.630414
15.794231,22,244.063209
6.679406,13,244.095311
21.446941,22,244.140927
25.071389,23,244.190321
9.615175,17,244.230637
11.760759,14,246.268097
21.069181,27,246.327698
7.225194,11,246.355597
14.076689,28,246.413176
73.122625,43,248.524632
31.813617,31,248.593494
9.898328,27,248.653533
152.457062,79,250.839967
6.602373,10,250.876361
8.118588,11,250.900148
7.558185,10,250.923135
11.120225,15,250.955172
18.560852,20,253.03216
5.331509,27,253.09099
6.759929,10,253.116511
7.335617,17,253.152745
21.012093,18,253.193326
11.878581,16,255.282507
10.207082,13,255.311536
11.571283,33,255.37936
10.182838,12,255.410656
9.699321,14,255.440555
17.054569,20,255.483305
8.109053,18,257.588018
13.897361,20,257.632886
25.398485,24,257.684323
14.699676,21,257.733222
11.830939,18,257.775592
6.218884,10,259.865201
56.891434,73,260.008383
8.147763,10,260.043228
15.430138,16,262.160331
18.357726,20,262.204718
11.872238,16,262.240182
14.971629,30,262.302472
11.403342,18,262.344581
21.585379,20,264.476826
18.799253,21,264.523413
9.496648,16,264.559509
14.561666,21,264.604232
20.132233,19,264.646784
11.405576,18,267.174158
10.884283,18,267.213686
6.178873,11,267.239992
18.304239,19,267.280926
13.747762,15,267.313663
15.72456,23,267.361914
9.169492,15,269.513066
16.584879,20,269.555708
12.940647,14,269.587327
9.4088,14,269.619807
13.175554,27,269.675045
9.472057,12,269.704762
48.058121,36,271.899991
8.426117,17,271.940979
7.503219,19,271.983926
