eval_eplenmean,eval_returns,eval_discount_q,eval mean 100 episode reward,eval_qs,eval_abs_qs_difference,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean,total timesteps
1000.0,4451.875488426853,332.88380914064913,3209.7,405.54706,72.781624,-14.190019588614483,26,4526.925664818181,46001
1000.0,4368.9498560291295,332.0535064607229,3395.4,425.9259,46.26097,29.985296042917902,26,4288.139349363636,47001
,,,,,,,,,48000
1000.0,4493.295841983255,355.0287352014343,3616.8,433.41318,52.1875,19.466687293829622,26,4490.943155454545,48001
1000.0,3799.4543611426693,310.39798095157835,3738.8,434.4692,82.18695,82.18401694637667,26,3830.145714999999,49001
1000.0,5084.17054218217,405.3010726072141,3994.3,456.0039,75.72424,-11.270564255370981,26,5073.9928779090915,50001
1000.0,5035.3607722099105,407.287384855726,4219.9,465.51434,68.67154,0.026041572402567163,26,5058.097278272728,51001
,,,,,,,,,52000
1000.0,4911.169324111791,397.7686006301765,4385.4,474.826,54.757812,26.35307862005493,26,4878.520099363636,52001
1000.0,5005.38383631806,399.3567196449084,4582.1,482.10693,59.10306,23.16099247249667,26,4984.822757909091,53001
1000.0,4797.521541426141,392.904690618464,4658.8,488.67215,51.803444,39.83784990821508,26,4877.318530090909,54001
1000.0,5167.646386503155,410.1577443859196,4727.3,496.70862,60.433655,23.963530568939607,27,5133.507570090909,55001
,,,,,,,,,56000
1000.0,5410.971892704625,436.9514548817162,4848.5,504.68878,71.80095,3.011834269863708,26,5449.351664727274,56001
1000.0,5663.908939683314,452.8326470407621,4980.2,508.4304,85.9925,-14.574847950882,26,5678.356888363637,57001
1000.0,5718.176719911914,447.5850313091336,5175.8,510.9406,87.707275,-18.189041136342954,26,5734.405553818182,58001
1000.0,5341.181258504908,432.298674778894,5229.9,512.9369,60.760544,24.312021181305113,26,5314.224372818181,59001
,,,,,,,,,60000
1000.0,5168.827186849093,427.4313050443243,5245.9,520.6431,54.04896,42.86113938412183,26,5200.976706090909,60001
1000.0,5567.685326558265,443.64390177249174,5308.8,520.9453,68.617096,14.438826731746117,26,5504.271710181819,61001
1000.0,5431.463077957707,446.71670782541145,5363.3,522.89557,63.483364,21.448239124854283,26,5456.723171000001,62001
1000.0,5482.642459149289,447.45768612684475,5427.5,524.5152,65.57656,20.554724795214156,26,5482.587394818182,63001
,,,,,,,,,64000
1000.0,5457.946877208469,447.17898703580215,5466.0,526.26605,60.59387,28.093345217121467,25,5424.434655818182,64001
1000.0,5609.056071967741,451.03718296601613,5479.9,528.747,66.61861,19.29213347340602,25,5541.075624818182,65001
1000.0,5670.314704763576,460.5207440899221,5478.3,535.8692,67.36698,18.03779505851327,25,5634.23043509091,66001
1000.0,6139.488389882264,469.28972698522335,5518.6,544.66547,97.42205,-21.47685653283182,25,6126.0197807272725,67001
,,,,,,,,,68000
1000.0,5988.060524500318,472.16633252650195,5589.8,546.89246,87.07706,-8.445462023080598,25,6020.82418290909,68001
1000.0,6339.2101599675025,497.79268684389604,5694.4,559.1197,92.70867,-12.767736620619354,25,6211.688637272728,69001
1000.0,6263.939135436905,498.23538263416464,5778.7,561.5183,91.268585,-8.748174347281706,25,6195.917489272728,70001
1000.0,6345.716256294101,501.7257108778209,5874.9,567.9783,99.765205,-18.308521651595427,25,6359.575996636364,71001
,,,,,,,,,72000
1000.0,6307.819162696629,503.40966036204975,5968.4,572.055,92.99869,-10.875420421115843,25,6327.679861181818,72001
1000.0,6468.245950566289,486.0216414957575,6065.8,572.4387,96.47869,-11.91713739145099,25,6324.720172545454,73001
1000.0,6374.596805353551,512.2815163908706,6161.9,578.4058,94.242165,-9.361924512993834,25,6384.836673181818,74001
1000.0,6444.803043812325,514.4118178945005,6256.0,582.9305,96.68601,-14.361746675791085,25,6482.190031545454,75001
,,,,,,,,,76000
1000.0,6173.496293833452,496.8607051036539,6279.4,583.0821,79.635956,10.639600115504425,25,6216.316964272727,76001
1000.0,6531.695649395356,503.2119404170343,6328.7,589.5294,97.204315,-14.457364472849958,25,6538.0472667272725,77001
1000.0,6132.285483921532,495.47442975211203,6334.9,586.42816,74.84722,17.653854462350523,25,6178.262368727273,78001
1000.0,6264.007838305127,500.8089043339301,6340.2,596.0959,76.040695,18.349652527185672,25,6273.263152363636,79001
,,,,,,,,,80000
1000.0,6281.086401444527,501.64782998139947,6337.9,596.6956,77.64056,16.303581945281767,25,6300.551154181818,80001
1000.0,6333.707160393261,503.6367928812662,6345.9,599.29645,85.56708,7.243027013464897,25,6419.135076181818,81001
1000.0,6362.25955886943,509.1536441260185,6349.4,603.2475,76.42619,20.441200640662952,25,6332.124854818182,82001
1000.0,6541.20146871715,520.8559945056501,6369.3,606.8908,90.48471,-1.9081670633572168,25,6603.636686999999,83001
,,,,,,,,,84000
1000.0,6437.326710930309,511.34969593969396,6364.2,607.0241,77.79402,17.165920389937984,25,6404.817917363636,84001
1000.0,6768.62960833702,521.1008749305895,6407.9,609.06213,95.50855,-8.675523803029602,25,6693.266775090909,85001
