eval_qs,eval_qs_difference,total timesteps,eval_time_elapsed,eval_ep_rewmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_returns,eval_eplenmean
137.58897,22.314122530258437,43001,26,1089.059284,141.20121393628472,31.55036,853.9,1391.608237488505,821.7272727272727
161.19756,25.282799082200004,44001,24,1267.6886332727272,147.62634633622895,35.492355,901.6,1632.4071792603086,755.7272727272727
146.12645,42.13971629396511,45001,24,1057.8371177272727,122.759618572023,53.12711,937.5,1607.4455187554865,803.3636363636364
,,45282,,,,,,,
179.56395,29.06221439162109,46001,26,1532.8914125454546,154.2799367829326,32.259056,1067.7,252.12986346274224,865.7272727272727
185.01433,11.16270265841116,47001,30,1878.1184092727271,180.99340289548996,24.214378,1189.2,1900.2601430863813,975.8181818181819
187.21156,29.392374738632302,48001,30,1737.2627496363639,160.6776423241774,30.397285,1287.7,1701.8211090769478,1000.0
193.67007,12.066082129763725,49001,31,2000.965967636364,186.79378788497436,24.023384,1415.3,2018.5740982208763,1000.0
,,49058,,,,,,,
181.98544,9.941094526352105,50001,30,1870.0436784545454,187.98124257558587,27.234575,1485.6,2040.4203621453144,978.2727272727273
195.66595,46.03027371459407,51001,24,1503.5993840000003,163.25794309818852,49.058903,1546.8,269.0021257685786,780.0909090909091
173.44815,38.59434348510699,52001,25,1399.7562095454543,170.742305870762,43.22083,1569.0,1924.4844593333153,832.4545454545455
,,52729,,,,,,,
139.24617,29.995461692656384,53001,23,919.997760818182,173.43371683995738,34.43721,1550.6,1149.8174608170982,755.5454545454545
,,53919,,,,,,,
182.45778,108.01193970697763,54001,9,368.61684163636363,116.44338579195276,108.635956,1474.8,133.83606247169797,297.1818181818182
188.7683,59.363956832745885,55001,19,971.2725928181819,161.52328011676067,59.917274,1400.8,1071.3140439684419,616.0909090909091
159.24475,35.914265144300494,56001,26,1191.1221586363638,152.0774352459874,43.95191,1339.9,861.798957496199,831.4545454545455
,,56533,,,,,,,
174.91685,72.60485223735711,57001,20,1035.9850390000001,112.23285475965314,76.34632,1254.1,1941.0963505706793,659.2727272727273
169.13814,36.93005699284092,58001,29,1390.8838353636363,169.39545366545974,39.13674,1192.7,1868.854532867781,935.5454545454545
,,58003,,,,,,,
156.1764,28.51634085492619,59001,30,1412.9652702727274,178.8774210173033,32.074436,1139.7,1907.6250072662879,978.1818181818181
211.37909,32.713845793168346,60001,31,1982.9983848181816,198.32950800074312,35.509907,1161.2,2248.5584699459155,1000.0
157.07425,59.442309926594135,61001,23,1012.2985850909091,146.7930285467338,63.085728,1148.3,1412.6348615560241,759.9090909090909
,,61785,,,,,,,
169.96373,26.994329871306192,62001,28,1442.6504426363636,174.82102374340406,30.998259,1196.2,931.1202832311909,904.1818181818181
159.01869,69.32377088406989,63001,23,885.6710495454546,160.26344278999633,70.76781,1234.1,1829.864160578657,764.0
,,63232,,,,,,,
159.30939,56.3800790730528,64001,21,815.4086364545454,159.15340753036446,64.465416,1239.7,366.1649603481925,677.2727272727273
175.14774,41.26707658284,65001,27,1341.9744034545454,176.0662491409,44.10115,1267.6,642.8972365168391,863.2727272727273
166.90883,64.34743453678058,66001,26,1058.0583575454546,153.30711700349434,68.02418,1278.0,926.3403400777478,830.7272727272727
,,66460,,,,,,,
182.22418,58.92054078252388,67001,21,999.6368610000001,165.61709325947388,63.28884,1222.7,2043.5715452177576,679.0
188.61987,49.07782763780212,68001,24,1256.4599329090909,169.195587596251,52.447044,1198.6,1961.704986480376,778.8181818181819
155.25368,32.291710079057424,69001,26,1145.5073857272728,160.47714654774455,43.246975,1130.5,900.4614055259879,843.8181818181819
155.82997,59.793090896291545,70001,27,1028.678212909091,148.3344226412259,62.64586,1098.0,1748.6756910981126,896.0
