eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
,,,,15957,,,,,
10.0,3.2491014,-0.7465906,5.825763774013025,16001,5.633358007503109,5.8,-3.2491012556818366,0,5.827275454545455
,,,,16035,,,,,
,,,,16108,,,,,
,,,,16203,,,,,
,,,,16276,,,,,
,,,,16367,,,,,
,,,,16444,,,,,
,,,,16512,,,,,
,,,,16628,,,,,
,,,,16708,,,,,
,,,,16785,,,,,
,,,,16880,,,,,
,,,,16969,,,,,
10.0,3.2513185,-0.7466902,5.867457215628918,17001,5.639307726579381,5.8,-3.2513183989695666,0,5.833377363636362
,,,,17070,,,,,
,,,,17143,,,,,
,,,,17232,,,,,
,,,,17339,,,,,
,,,,17429,,,,,
,,,,17494,,,,,
,,,,17586,,,,,
,,,,17651,,,,,
,,,,17734,,,,,
,,,,17802,,,,,
,,,,17935,,,,,
,,,,17998,,,,,
10.0,3.2548454,-0.7465059,5.856691586165987,18001,5.644759082841066,5.8,-3.2548450732929073,0,5.839145363636363
,,,,18069,,,,,
,,,,18151,,,,,
,,,,18246,,,,,
,,,,18385,,,,,
,,,,18453,,,,,
,,,,18547,,,,,
,,,,18640,,,,,
,,,,18703,,,,,
,,,,18779,,,,,
,,,,18840,,,,,
,,,,18897,,,,,
,,,,18993,,,,,
10.0,3.2413354,-0.746954,5.795400193014104,19001,5.620294203069409,5.8,-3.241335348794917,0,5.813529363636364
,,,,19077,,,,,
,,,,19148,,,,,
,,,,19238,,,,,
,,,,19309,,,,,
,,,,19424,,,,,
,,,,19487,,,,,
,,,,19563,,,,,
,,,,19627,,,,,
,,,,19734,,,,,
,,,,19811,,,,,
,,,,19908,,,,,
10.0,3.2467988,-0.74557227,5.81735685866006,20001,5.630969822578556,5.8,-3.2467987616352856,0,5.824782818181817
,,,,20010,,,,,
,,,,20081,,,,,
,,,,20176,,,,,
,,,,20251,,,,,
,,,,20332,,,,,
,,,,20424,,,,,
,,,,20492,,,,,
,,,,20599,,,,,
,,,,20687,,,,,
,,,,20776,,,,,
,,,,20873,,,,,
,,,,20951,,,,,
10.0,3.2506385,-0.7459406,5.8150853711546615,21001,5.638090433510238,5.8,-3.250638514160428,0,5.832179181818182
,,,,21076,,,,,
,,,,21156,,,,,
,,,,21228,,,,,
,,,,21306,,,,,
,,,,21357,,,,,
,,,,21429,,,,,
,,,,21526,,,,,
,,,,21706,,,,,
,,,,21784,,,,,
,,,,21877,,,,,
,,,,21995,,,,,
10.0,3.2435858,-0.7473038,5.869394905908574,22001,5.62528715003196,5.8,-3.2435855917862884,0,5.818662545454544
,,,,22103,,,,,
,,,,22205,,,,,
,,,,22332,,,,,
,,,,22418,,,,,
,,,,22516,,,,,
,,,,22600,,,,,
,,,,22700,,,,,
,,,,22761,,,,,
,,,,22844,,,,,
,,,,22923,,,,,
,,,,22995,,,,,
10.0,3.2454958,-0.74756396,5.796053471257247,23001,5.627600732498075,5.8,-3.24549591726439,0,5.8211177272727275
,,,,23064,,,,,
,,,,23148,,,,,
,,,,23219,,,,,
,,,,23305,,,,,
,,,,23375,,,,,
,,,,23475,,,,,
,,,,23570,,,,,
,,,,23641,,,,,
,,,,23722,,,,,
,,,,23771,,,,,
,,,,23858,,,,,
,,,,23915,,,,,
,,,,23970,,,,,
10.0,3.2529886,-0.74680704,5.8588978936487335,24001,5.6412155562188975,5.8,-3.2529884440045636,0,5.835421545454546
,,,,24065,,,,,
,,,,24157,,,,,
,,,,24251,,,,,
,,,,24375,,,,,
,,,,24462,,,,,
,,,,24529,,,,,
,,,,24584,,,,,
,,,,24655,,,,,
,,,,24783,,,,,
,,,,24894,,,,,
,,,,24983,,,,,
27.0,24.715055,-0.33683285,46.805436305333565,25001,40.49306517782402,9.9,-24.715054062610374,0,46.67640554545455
,,,,25124,,,,,
,,,,25217,,,,,
,,,,25338,,,,,
,,,,25508,,,,,
,,,,25673,,,,,
,,,,25851,,,,,
62.81818181818182,26.646137,73.46334,114.31215474439752,26001,83.88843906024876,21.1,24.24437510187147,1,113.96977345454548
,,,,26056,,,,,
,,,,26440,,,,,
,,,,26857,,,,,
