eval_eplenmean,eval_abs_qs_difference,eval_qs,eval_returns,total timesteps,eval_discount_q,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_ep_rewmean
241.0,64.61021,302.11157,993.8731921840904,142001,234.74817321079036,1155.3,59.161091002158855,6,863.8621618181817
,,,,142112,,,,,
,,,,142944,,,,,
215.8181818181818,118.80865,328.83972,534.8711340752048,143001,230.3354078488878,1118.4,118.00186347883077,6,692.9356986363637
209.36363636363637,69.439156,291.09988,784.9907674307426,144001,235.45936729021358,1085.8,67.56337282290355,5,711.039604090909
,,,,144084,,,,,
,,,,144885,,,,,
163.72727272727272,176.70132,336.93463,468.0182792718784,145001,201.98799261949844,1029.1,176.70132295461764,4,462.3277234545454
,,,,145774,,,,,
442.72727272727275,34.61294,319.44983,1314.897327634207,146001,262.27176099082453,1089.9,31.66505420556583,12,1581.9922877272727
,,,,146507,,,,,
202.27272727272728,50.459023,271.42923,691.0635887038652,147001,235.21675042254404,1034.2,47.955081107220515,5,685.1053530909091
,,,,147630,,,,,
269.1818181818182,48.273037,292.36453,858.6263432047641,148001,246.2164247826456,1033.2,38.96826211017287,7,947.7169671818184
,,,,148265,,,,,
302.72727272727275,16.504818,303.77185,1196.9941722062808,149001,270.8249652657621,1027.9,9.584072399268983,8,1158.9052514545456
,,,,149290,,,,,
288.90909090909093,19.197786,301.10266,1107.2910073981443,150001,268.33705839185245,943.0,16.42031630840286,8,1088.9747648181817
