#{"t_start": 1641790526.4690785, "env_id": "Hopper-v2"}
r,l,t
8.925888,17,7.595211
14.426121,21,7.641499
7.918452,13,7.672925
58.69169,35,7.744714
14.961319,19,8.066943
5.509038,10,8.093124
10.415019,17,8.129292
18.890573,24,8.179626
9.52651,12,8.208666
113.068275,76,8.37994
10.946165,16,8.427115
12.324129,13,8.456009
9.256815,16,8.490439
35.565638,45,8.613977
7.640552,13,8.648952
18.787859,30,8.709283
9.463192,17,8.748632
14.999727,17,8.829575
17.926654,37,8.902915
10.871719,14,8.938009
30.563773,26,8.99071
7.598081,10,9.015722
13.182458,23,9.117612
8.73477,11,9.143794
31.878495,33,9.209046
22.452307,25,9.263773
21.42794,33,9.396793
28.987276,25,9.451628
37.354795,43,9.537944
15.331979,19,9.65692
13.63664,19,9.697591
20.099885,18,9.736275
16.083482,16,9.77086
5.626613,8,9.790265
18.188331,19,9.828544
8.525601,28,9.971905
170.651721,82,10.131414
14.27466,28,10.294713
9.894064,15,10.329438
14.163275,22,10.374611
9.004305,12,10.403033
36.717639,29,10.848643
8.088954,11,10.876142
10.271272,20,10.916914
24.862072,23,10.965228
10.71022,13,10.995317
14.911289,18,11.032656
15.378525,23,11.196227
7.348219,10,11.220876
8.550122,11,11.244424
113.550388,75,11.509521
19.152592,23,11.569019
12.521069,22,11.616176
10.693111,17,11.653671
7.760276,12,11.680747
10.661238,19,11.854624
9.207714,14,11.886133
8.899418,15,11.918033
9.775481,18,11.955742
31.734491,27,12.011005
13.53575,15,12.045747
9.869546,14,12.224694
46.639204,38,12.299708
10.337989,13,12.332805
14.511705,18,12.370322
10.498725,14,12.401204
7.978426,14,12.590753
14.27495,27,12.645136
13.884368,14,12.678162
34.063504,36,12.749353
24.051087,23,12.969692
9.160272,14,13.001496
27.064609,24,13.05043
10.571067,16,13.086292
11.515262,40,13.166079
16.865569,19,13.391746
34.602008,42,13.47562
18.289987,20,13.522894
12.948298,15,13.556065
9.382636,17,13.782495
6.057441,9,13.804147
9.227066,13,13.831372
11.192467,18,13.868905
12.605743,15,13.901752
8.172204,14,13.932246
13.296599,22,14.180261
12.350448,18,14.21955
14.445584,25,14.271129
30.936853,25,14.324168
8.643415,22,14.371489
12.434819,25,14.923827
10.578209,11,14.950608
11.181062,13,14.978535
11.57877,23,15.025313
64.106261,46,15.339993
9.218778,11,15.370918
11.408836,14,15.400587
14.608343,22,15.445877
27.419729,24,15.496288
8.171395,11,15.522944
86.155977,58,15.871865
11.339849,29,15.939228
13.834745,17,15.978074
9.091822,12,16.250898
46.17829,64,16.374496
6.400119,9,16.405405
12.06538,33,16.72358
23.294697,21,16.770876
31.748164,30,16.832598
14.00995,15,16.868132
19.79421,21,16.911484
29.456426,36,17.250033
6.976312,10,17.277363
40.0868,37,17.349849
11.110045,13,17.382859
10.336989,17,17.69396
37.004811,39,17.771729
6.446331,11,17.801443
53.903461,72,18.221601
37.973426,31,18.295405
29.650751,34,18.366533
8.630155,12,18.688201
16.517481,29,18.74627
19.314704,18,18.786808
20.255113,19,18.827269
9.793919,13,18.856548
12.774315,14,19.188481
12.156302,18,19.226186
13.260075,18,19.264825
10.223584,19,19.305188
14.411894,17,19.341966
17.910926,22,19.387684
9.000804,12,20.017402
12.819728,15,20.04897
11.935099,25,20.099955
13.428472,15,20.134122
12.921633,14,20.164618
