#{"t_start": 1641946814.784422, "env_id": "Ant-v2"}
r,l,t
-53.547826,187,30.134802
17.0758,61,30.375461
-76.312615,148,30.706504
-8.943226,65,30.887802
10.815371,51,31.029535
-3.287664,69,31.184264
-14.167531,26,31.282861
-72.373711,130,31.592312
-84.719785,248,32.201763
-26.171945,23,46.443777
0.971834,16,46.482252
22.527518,85,46.71518
-12.139065,125,47.043298
-18.578045,79,47.290701
-7.935322,12,47.330735
-23.831244,83,47.570681
-63.027667,70,47.728932
-16.824624,16,47.775396
-54.006189,59,47.980781
-3.696481,59,48.199833
-1.685089,21,48.259109
-6.169219,73,48.501837
-15.26737,61,48.640311
-52.838521,222,49.299463
-14.469236,61,70.578941
-30.98274,109,70.920926
-106.537444,153,71.478656
-5.504437,38,71.585826
-135.218289,317,72.602214
-310.896044,1000,92.031322
-6.463053,35,92.463252
-20.345717,53,92.578741
-13.412025,29,92.649425
16.89747,41,92.922463
-379.807289,1000,114.874683
-65.46872,79,115.477556
-56.399488,87,115.670794
-30.595799,110,133.54207
-36.975513,82,133.729923
1.50661,38,134.064723
-0.885095,21,134.115959
-38.921731,146,134.662855
-55.111909,113,135.429045
-19.278899,24,135.503187
-38.110135,67,135.648472
-15.08887,23,135.972167
-32.109045,73,136.125504
-55.988323,114,136.909276
-10.603931,69,137.07201
-16.057406,19,137.125306
-11.755795,34,137.479056
-1.371771,51,137.590381
-3.940499,13,137.628262
-295.684981,1000,157.500169
-29.923081,71,179.992662
-15.769298,138,180.627695
-22.120539,70,181.149451
-32.095059,34,181.577548
-9.018254,23,181.632456
25.043814,61,181.762165
-2.706442,33,182.195679
-16.621062,40,182.283757
20.765336,17,182.327342
3.509702,17,182.36617
-15.495664,49,182.827556
-57.076535,286,184.537789
2.868826,22,184.637935
-331.985472,1000,208.024234
-3.98211,20,208.253071
-55.696515,84,208.844705
-402.386679,1000,230.104115
-302.238267,1000,250.501711
-324.727626,1000,273.806107
-93.303129,140,296.521171
-14.897618,34,297.183951
-64.895136,66,297.326199
-31.072251,153,298.753897
13.493354,21,298.825987
5.825172,76,299.546788
4.877512,22,299.607606
-34.466162,66,300.330578
-20.970315,23,300.390766
-13.424449,24,300.446601
-5.019344,19,300.493604
5.821941,90,301.269683
24.775225,94,302.079219
-2.771252,23,302.753676
-9.697953,270,324.448364
-13.692286,33,325.177547
-43.041551,102,325.989736
-27.181929,54,326.119036
-45.812165,32,326.197382
-44.753381,118,327.689761
-17.428099,133,328.609258
-102.63571,292,331.134479
-31.906111,76,332.003767
-48.500267,83,332.187479
-49.992084,67,349.079142
13.799957,67,349.879153
-348.546664,1000,373.584454
-0.059325,42,373.8565
-174.803428,173,375.593409
-84.952404,124,376.580482
-5.42311,16,376.638555
-16.600797,58,377.462116
-74.428611,76,378.350037
-9.480071,57,378.488582
-83.679067,247,381.269081
-277.514164,1000,409.082071
-59.185113,65,409.398695
-52.832033,82,432.913564
-7.327708,50,433.808434
-18.774204,30,433.880186
-442.833266,1000,461.634046
-5.91323,11,461.842156
-0.81152,35,461.916755
-16.726085,50,462.850608
-0.142063,32,462.925981
-76.975575,60,463.882879
3.037872,21,463.938198
-88.313833,243,466.961259
1.810884,20,467.054191
-8.210128,30,467.124209
-40.98235,315,470.468732
-303.672016,1000,499.349304
-21.432295,21,499.579116
-3.759574,19,519.77004
-249.245588,428,524.412055
-12.785773,20,524.534242
-10.582401,58,525.597286
-5.299842,52,525.714787
-324.788306,1000,552.736691
-5.775113,24,552.9746
15.597731,22,553.999698
-25.726667,62,554.131678
13.236801,75,555.29073
-10.429488,93,556.468151
-10.76797,73,557.60838
-28.162435,75,557.774681
-6.883335,13,575.06152
1.151538,62,575.19207
-56.891655,117,576.451585
-42.867684,45,577.56948
-330.496754,1000,607.860281
-15.680367,25,608.107855
-358.294777,1000,640.814126
-23.338759,63,642.239688
-23.556493,97,643.535091
-77.21669,153,644.965163
18.459168,61,646.20901
6.428345,12,646.24612
154.892809,1000,706.105968
750.582772,1000,770.943875
817.273427,1000,835.971408
895.708283,1000,901.174672
804.787252,1000,967.062604
852.954005,1000,1033.1374
805.00362,1000,1099.505371
868.233753,1000,1166.683809
779.768849,1000,1234.100274
871.161795,1000,1301.812597
830.522901,1000,1369.843569
837.145242,1000,1435.879084
791.152512,1000,1493.70455
864.428564,1000,1549.583611
216.940311,167,1557.586986
250.252815,240,1590.019828
1278.867575,1000,1657.785465
1335.259485,1000,1727.949596
123.192784,1000,1791.620958
-213.370927,1000,1860.179303
877.689234,1000,1931.65828
1303.831135,959,1992.253329
