eval_eplenmean,eval mean 100 episode reward,eval_qs,eval_qs_difference,eval_returns,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,eval_time_elapsed,total timesteps
582.0909090909091,-216.5,-1.1614938,22.982147337640438,-106.42211883945124,-206.50555645454543,26.303026,-23.443705611887818,17,1
,,,,,,,,,461
,,,,,,,,,737
466.6363636363636,-198.3,-1.159005,20.829519706625724,-37.98637835373546,-175.60610390909093,23.938862,-27.887528181827633,14,1001
,,,,,,,,,1109
,,,,,,,,,1408
,,,,,,,,,1612
,,,,,,,,,1989
697.6363636363636,-217.8,-1.1372902,32.804081398648435,-434.6067350082233,-290.96076945454547,33.98909,-34.575738076418304,20,2001
,,,,,,,,,2350
528.6363636363636,-233.8,-1.1671857,32.6106228266618,-51.39775733902322,-245.63130045454545,32.94381,-38.48446959607652,15,3001
,,,,,,,,,3755
595.8181818181819,-230.3,-1.1321874,28.55953445096685,-258.5780646417468,-235.45686754545457,30.131752,-36.38234797991722,17,4001
,,,,,,,,,4904
568.2727272727273,-225.6,-1.1481099,26.12510865335769,-479.01564004054376,-222.6345221818182,27.325764,-27.26176413706182,17,5001
,,,,,,,,,5221
,,,,,,,,,5525
,,,,,,,,,5802
,,,,,,,,,5975
492.45454545454544,-222.8,-1.1462328,17.289198734702254,-62.37223896485744,-167.88124554545453,22.285868,-23.986178658096968,14,6001
721.6363636363636,-227.6,-1.1382675,34.32252294931688,-431.0128477391689,-294.3148156363636,34.523865,-32.377779986617135,21,7001
,,,,,,,,,7197
,,,,,,,,,7385
,,,,,,,,,7492
581.3636363636364,-230.7,-1.1241916,26.973927388448956,-478.00237104736107,-259.3528161818181,28.960188,-29.335305540278945,17,8001
,,,,,,,,,8849
493.0,-230.6,-1.1679058,23.575246716268108,-13.853657440135752,-191.92178309090912,24.869152,-27.04944867891751,14,9001
435.72727272727275,-233.0,-1.1561863,34.47884232433869,-234.90629903181969,-214.6328511818182,35.401157,-37.98604334041264,13,10001
,,,,,,,,,10953
526.0,-230.2,-1.1562364,30.703192193775635,-428.468561783323,-227.94680154545458,31.525915,-25.830593066138817,15,11001
721.4545454545455,-230.5,-1.1438558,29.287993432695224,-560.2266952230532,-294.8237020909091,29.85599,-30.19961925780069,21,12001
,,,,,,,,,12193
,,,,,,,,,12465
,,,,,,,,,12597
661.3636363636364,-235.2,-1.1610454,30.673452894700663,-436.13326338194906,-271.4335487272728,33.503727,-29.08660282269824,19,13001
,,,,,,,,,13074
,,,,,,,,,13295
,,,,,,,,,13914
535.2727272727273,-242.4,-1.1531036,30.02649832948639,-381.62417158214816,-248.87680054545453,30.2115,-35.5787351663747,16,14001
501.8181818181818,-244.9,-1.1547104,26.404610859355397,-5.562905607948372,-219.21461236363638,28.154997,-27.840153413421532,15,15001
,,,,,,,,,15131
,,,,,,,,,15486
,,,,,,,,,15924
604.0,-241.8,-1.1400081,27.994785697837287,-407.7237003426363,-252.03924154545456,28.278315,-36.657910991004144,18,16001
754.0909090909091,-246.7,-1.14294,32.13140829103738,-246.2396265301315,-300.3448648181818,32.674076,-34.11454016048219,22,17001
,,,,,,,,,17121
588.2727272727273,-245.9,-1.1480557,28.492434270712895,-412.70092203378033,-241.13305909090911,29.05168,-29.029542216384378,17,18001
,,,,,,,,,18197
,,,,,,,,,18360
,,,,,,,,,18968
601.5454545454545,-252.1,-1.1367576,33.957858741989355,-623.3300092537654,-268.10897663636365,36.81226,-25.25199409365366,18,19001
640.6363636363636,-261.9,-1.1373063,24.015093743270658,-3.202309212136618,-243.46553936363637,25.183897,-28.34765673146567,19,20001
,,,,,,,,,20436
519.6363636363636,-248.6,-1.1471343,16.58573557779331,-461.9730727963041,-176.10046409090907,20.009438,-28.42240872214196,15,21001
,,,,,,,,,21566
,,,,,,,,,21749
542.4545454545455,-245.0,-1.1401573,25.905493679060225,-295.11093962997063,-234.56670100000002,27.08258,-27.69127063271083,16,22001
,,,,,,,,,22003
600.1818181818181,-244.8,-1.1637073,25.321852008447614,-287.9456820550691,-240.19635645454545,26.83418,-26.213386678236592,18,23001
,,,,,,,,,23227
668.7272727272727,-241.1,-1.1390548,28.3894963366305,-419.41737011396464,-260.77578563636365,29.062157,-37.2728596036746,20,24001
,,,,,,,,,24412
1000.0,-337.7,-1.0102733,101.9525215990294,-1088.1102686774045,-1136.7926964545456,101.95263,-108.24721931913105,30,25001
,,,,,,,,,25638
1000.0,-234.7,30.742342,-39.506870343700115,770.3082832476072,779.4295134545454,40.912548,77.71454245111232,30,26001
1000.0,-116.6,71.46561,-7.988815755667478,874.5278136376512,877.5156032727272,16.627253,83.80954358368358,30,27001
1000.0,13.9,73.19625,-10.851646918329545,935.2099288665013,935.1592895454546,19.201292,95.63671307910518,29,28001
1000.0,138.2,86.80458,15.66153841595033,809.2156304879054,794.0435146363637,15.672671,83.44759578483557,30,29001
,,,,,,,,,29638
