#{"t_start": 1641980277.2353418, "env_id": "Ant-v2"}
r,l,t
2.013204,34,43.130722
-47.965776,258,44.003044
-3.728266,42,44.16514
-18.247639,45,44.271295
-277.198681,1000,76.494417
-347.324136,1000,108.831547
-17.110397,40,109.224335
-24.935144,49,109.338216
-43.138273,75,109.622679
-33.491646,79,109.931225
-14.83983,165,110.426422
-14.529854,70,110.749539
-35.421259,167,138.89451
-3.841406,38,139.013025
-12.928313,13,139.05052
-340.131585,1000,164.342411
-7.796022,27,164.799878
7.84654,58,164.933353
-267.559737,1000,191.463726
-41.921266,88,192.104519
-9.28143,19,192.164202
-384.742727,1000,221.619418
-2.249928,63,222.256762
26.031151,69,222.421651
-13.14356,24,222.788318
-9.141791,57,222.918773
-27.260805,69,223.394224
-20.469486,37,223.488724
-59.423339,71,223.97509
-15.156743,30,224.054646
-6.727376,38,224.442877
-66.676139,104,224.982227
-14.829502,45,225.100095
-327.496688,1000,258.007419
-304.077446,1000,295.860627
-15.642737,21,296.111222
-386.992562,1000,330.29425
-402.374066,1000,362.360501
-24.814978,49,363.136607
-38.907487,43,363.23652
-7.122994,11,363.269229
-20.056942,43,389.459643
19.785136,115,390.205194
-9.666005,13,390.25344
-22.176014,58,390.900534
-18.24019,36,390.989285
1.35214,172,392.437479
-15.861081,32,392.539044
-60.506478,58,393.219384
-21.805645,63,393.368044
-50.972403,133,394.774349
-39.853534,141,395.65579
-288.070352,1000,432.676792
-31.532094,62,433.576947
-3.417132,22,433.637251
14.963296,29,433.704829
-40.06081,183,459.272788
-51.309458,180,460.908391
-31.229375,56,461.055148
-51.904925,96,461.880594
-28.141814,157,463.437217
-32.094196,141,464.437212
-30.764637,64,465.228335
-14.739341,32,465.308783
-36.196333,67,466.120612
-136.468909,345,497.451364
7.162445,74,498.358781
-16.269579,23,498.421341
-1.920909,79,499.250193
10.214915,44,500.032936
-130.512439,205,501.876589
-307.303717,1000,539.607565
11.32298,27,539.867176
-63.920029,109,540.830275
-75.814897,129,541.88249
-8.087141,77,570.075085
-6.475826,37,570.177267
-10.557835,12,571.005869
7.03832,21,571.054753
-8.341762,53,571.173565
-28.692486,33,572.022342
-1.953083,89,572.983136
-95.916751,162,574.079269
-29.784519,66,575.005297
-27.231409,56,575.135795
-19.177413,76,576.100828
-15.161412,45,577.01877
-18.61464,33,577.100966
-20.980585,158,579.044738
23.139908,57,579.200441
-86.32048,254,609.04624
-44.656477,54,609.20344
-22.089955,29,609.274295
-101.97221,96,610.283668
-297.176336,1000,645.209965
-26.338596,37,646.372549
-48.595926,125,647.555446
-21.859246,58,648.606677
-17.950714,37,648.698823
-21.861951,26,648.763168
-6.466622,60,649.809215
-8.607408,59,649.950336
0.705788,24,650.935772
-9.225867,21,650.985461
-25.552902,41,651.077721
-16.646182,21,652.062231
-36.539316,64,652.20842
2.945798,66,680.287558
-9.044118,22,680.350435
-58.664071,62,681.442176
-97.762361,158,682.757997
-33.641264,43,683.845885
-60.216346,200,686.160585
-167.776125,366,689.723362
-38.600161,39,690.865303
-1.824599,36,690.956505
-382.226658,1000,729.419599
-68.605194,95,757.430351
-66.705099,121,758.746489
-31.23679,24,758.822502
-338.718222,1000,795.350079
-304.656298,1000,832.645444
-35.868114,59,834.09695
15.399732,168,836.719669
-7.281176,63,836.891303
-307.274898,1000,873.971095
-55.27434,139,876.818114
-27.087557,32,876.915186
-15.108117,64,878.251917
-21.294645,66,878.406952
-3.507114,46,879.687434
408.235365,1000,946.498432
908.767397,1000,1014.431094
853.147154,1000,1082.781918
915.055988,1000,1151.765925
753.280839,1000,1221.620896
570.712305,1000,1290.808079
429.359789,1000,1360.448338
869.991746,1000,1431.401088
904.690509,1000,1502.815588
898.858906,1000,1574.191537
898.679696,1000,1643.861243
787.056959,1000,1716.003055
556.429726,1000,1788.738163
757.744908,1000,1861.334858
700.430913,1000,1929.735447
201.22827,198,1967.117617
883.994681,1000,2033.290486
598.156753,1000,2092.939443
498.741785,719,2123.842419
208.115621,118,2128.109283
-1772.213455,1000,2196.317907
948.94502,1000,2270.028151
930.516517,1000,2346.836688
21.575419,32,2351.357865
-800.871593,1000,2423.961087
995.663405,1000,2494.16112
359.844126,350,2532.591351
523.092757,419,2551.055933
80.397212,82,2555.694887
1047.888297,1000,2629.539222
1138.07731,896,2702.786907
1347.789796,1000,2773.688572
484.835103,321,2787.945057
301.869212,267,2830.100045
868.969104,1000,2906.541012
1456.962107,1000,2980.989491
982.049192,1000,3061.23582
1073.876552,1000,3129.773041
534.405765,339,3145.102055
577.905599,372,3164.485031
1020.293888,777,3226.831434
241.428677,173,3232.255058
54.115126,63,3237.263998
94.771471,63,3263.064203
841.517648,1000,3337.527136
140.00637,89,3342.922729
1077.630999,1000,3424.606054
879.917344,1000,3497.61501
1445.057109,1000,3573.523793
83.677147,64,3573.913658
268.091025,159,3584.265693
1564.558137,1000,3661.356304
1747.093996,1000,3739.764374
1089.464356,1000,3822.683573
72.135637,76,3828.189332
515.655691,301,3844.316586
389.566014,254,3855.301871
27.102131,31,3855.439762
1877.580153,1000,3930.586903
931.677835,1000,4010.955859
328.148631,223,4050.37151
766.39886,392,4072.358637
1543.321778,1000,4150.946204
562.60678,313,4168.241812
1345.918407,1000,4245.153239
1032.093911,1000,4328.895393
1195.375021,624,4385.24161
1006.274173,482,4436.299443
585.134146,419,4459.04557
1187.977572,1000,4543.420144
1445.644708,1000,4616.664029
2107.23246,1000,4702.452014
2094.133518,1000,4782.2838
699.871274,396,4805.934352
253.060638,140,4811.821437
1724.917071,1000,4890.274507
1701.758035,1000,4969.87668
55.847213,36,4995.662361
448.714329,278,5013.4055
1206.193558,1000,5103.551017
229.463477,132,5109.908136
1742.902204,1000,5201.582112
1014.025494,571,5256.474244
1915.179797,1000,5346.77027
1480.509881,1000,5434.188231
95.634491,72,5434.598703
1527.066084,1000,5524.722597
1022.741095,1000,5614.557174
1292.226763,719,5658.107447
470.975783,224,5702.528774
1809.482765,1000,5793.09388
2115.856855,1000,5876.29467
1374.64729,1000,5968.711289
412.277463,191,5981.708151
2278.67256,1000,6070.374698
1591.569677,741,6115.966802
872.213018,443,6166.587621
949.470312,1000,6262.874593
1346.695133,1000,6357.126184
1245.369359,556,6396.761296
1173.881817,510,6457.411207
2388.503419,1000,6550.31127
1565.865815,683,6627.187297
2123.264009,1000,6724.128948
1150.750805,1000,6810.167372
1807.235727,862,6888.697275
79.206946,42,6889.001523
1054.527019,1000,6979.002074
850.280977,403,7006.670334
28.457918,19,7006.809435
1368.724344,1000,7098.633656
2298.197984,1000,7196.452908
2114.035547,931,7293.463779
991.945514,1000,7386.981568
1421.154239,547,7421.666959
2351.206814,1000,7514.895107
811.459506,398,7561.421496
1048.379203,1000,7654.002942
122.311398,112,7660.990845
2261.609265,1000,7759.444231
1382.546398,1000,7856.916451
947.496359,1000,7952.381932
79.172316,57,7959.235667
2508.860301,1000,8056.190603
1476.343977,593,8115.517226
201.489797,85,8115.887322
29.683417,24,8122.452549
1623.396828,644,8163.686024
1471.503806,1000,8258.612653
1288.868251,1000,8349.440652
366.716586,139,8356.756865
1051.464372,479,8410.04733
985.825566,400,8436.927327
1345.663868,498,8497.06004
22.703833,18,8497.214806
279.003748,124,8510.414196
943.982468,1000,8608.624089
20.500769,31,8608.920666
699.618098,315,8628.986332
1710.308595,645,8692.166517
2485.258519,1000,8795.391572
1037.929803,1000,8892.804554
1370.441624,1000,8983.99011
1292.764363,490,9011.162286
