eval_qs,eval_qs_difference,total timesteps,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval mean 100 episode reward,eval_ep_rewmean,eval_returns,eval_time_elapsed
120.208305,51.957043973980035,47001,834.3636363636364,113.29023570655367,53.07913,658.5,731.8354488181818,205.911220486451,26
124.525665,23.827690626584555,48001,768.7272727272727,124.42727397453883,32.396397,684.0,924.4509788181819,956.5335585382743,24
,,48754,,,,,,,
131.25104,39.973853683054685,49001,870.0,118.92741638829324,43.447556,740.9,930.482718,517.0251508310356,27
136.40314,31.677030089770184,50001,984.3636363636364,119.12281719989848,34.51151,789.1,1148.9573642727273,1181.6055458308483,30
124.42454,27.683640957199238,51001,755.8181818181819,121.60347595340718,31.813274,848.8,882.066991,64.18463687950572,23
,,51971,,,,,,,
146.96169,16.589914543790716,52001,932.3636363636364,149.7023383882167,27.1653,936.3,1366.8112038181816,1667.415926150246,28
135.98903,34.517446984416914,53001,942.3636363636364,109.73592051302339,39.670773,958.6,1067.801799181818,1145.3259316894673,29
136.99281,30.781436289780604,54001,844.7272727272727,135.09022772734787,44.443928,988.3,1094.9817653636364,1402.0802164940214,26
141.46094,24.913868315807516,55001,1000.0,132.75960194893227,31.607367,1039.9,1296.902656181818,1323.4335590952392,31
,,55238,,,,,,,
155.56683,59.298412890142345,56001,596.8181818181819,122.1164867755334,62.766514,1058.5,795.2932747272728,81.45654359347505,18
155.13368,42.7738081717879,57001,724.6363636363636,145.22162408884606,45.895687,1062.1,998.9948090909089,296.2783591321976,22
,,57726,,,,,,,
139.13705,66.82341976663298,58001,653.7272727272727,100.60263287832332,68.13993,1041.2,658.7421817272726,52.059498073184734,20
167.94664,57.28084672148845,59001,747.6363636363636,140.17914740301674,58.946163,1026.9,1072.9890634545454,1064.6241505105759,23
,,59025,,,,,,,
165.84064,46.905729517069545,60001,941.6363636363636,137.37880171182385,47.803894,1052.7,1253.834448818182,1240.7568024868972,29
165.4605,69.8803233001985,61001,644.7272727272727,118.54819404106219,70.69251,1021.2,817.528895818182,105.01273932600179,20
160.23154,45.94105122753574,62001,785.3636363636364,137.35049051341704,48.340027,1008.7,1080.6620090909091,1280.1520920720336,24
,,62114,,,,,,,
153.02727,41.37500320962179,63001,795.8181818181819,143.81750190220038,42.99216,1000.3,1031.8915351818182,558.706771993209,24
134.7062,43.63241138807907,64001,791.1818181818181,130.30116569414741,46.87186,965.0,906.4966540909091,1121.193674743607,25
,,64337,,,,,,,
163.69252,29.194798423320382,65001,946.8181818181819,152.40775122258714,33.539433,1003.9,1416.7020927272729,1743.2589213173749,29
,,65968,,,,,,,
191.0189,51.19091234887713,66001,692.1818181818181,162.83179800088348,53.215836,1042.8,1163.799035636364,1174.765938532602,21
158.06802,39.11865761443872,67001,812.8181818181819,149.98523557457156,44.81398,1083.2,1121.831818909091,990.0751400691697,25
150.73956,40.51446446783023,68001,731.0,155.70417989658196,48.095585,1084.9,929.1142600000002,1033.7072012064314,23
,,68222,,,,,,,
181.7551,58.68261766393089,69001,737.9090909090909,154.34163794217105,64.385414,1074.1,1118.937926090909,441.7017569340485,22
179.86823,60.20334574416858,70001,668.9090909090909,152.53657110267977,63.34254,1075.1,1043.1810242727274,568.1212245101055,20
,,70927,,,,,,,
185.28587,52.31083632399429,71001,836.4545454545455,157.16982381578947,53.611996,1123.6,1325.0259154545454,1289.1165590904754,26
170.44855,54.97515795800195,72001,719.9090909090909,159.43265074806197,56.847904,1114.0,998.2719169090909,903.8759644145199,22
179.041,59.22150329357032,73001,721.7272727272727,160.88116427746644,60.140137,1128.2,1063.7487446363637,1386.1870950818034,22
,,73452,,,,,,,
180.42767,57.1201798259741,74001,885.8181818181819,174.79428586100522,59.379025,1107.3,1227.566302818182,1865.073462295542,27
193.02289,82.77624934022786,75001,483.3636363636364,153.60035369631703,83.93637,1061.4,717.275342,445.59839769334917,15
217.48769,45.9955276423297,76001,908.7272727272727,193.94910863417607,47.79913,1143.7,1806.3378120909088,296.6615460009892,28
206.30957,64.83848620514794,77001,705.3636363636364,153.91701644005812,65.38967,1154.5,1194.7394319090909,1321.1998409350865,21
,,77452,,,,,,,
161.05981,70.03134028893186,78001,646.9090909090909,133.21383232523948,73.741844,1120.7,776.8214570909091,1120.267198389959,20
196.23053,84.79225855543555,79001,622.8181818181819,141.41842926960948,85.468666,1127.9,994.3263915454547,70.98740386939097,19
,,79988,,,,,,,
192.90028,74.94292697759278,80001,633.1818181818181,154.55608738462035,76.305244,1093.0,979.4578758181818,651.925333180751,19
151.13203,26.62034111577922,81001,957.9090909090909,175.99773685619687,30.499128,1113.2,1344.2349247272725,1136.9397805942997,30
,,81434,,,,,,,
204.15572,43.68794262911114,82001,971.0909090909091,181.52833420195046,44.569637,1193.6,1736.4668082727273,2114.3990560688326,30
203.09557,84.03745749934961,83001,507.6363636363636,152.75106938169495,84.74097,1167.7,828.3599829999999,343.7503292999229,16
190.30884,38.570634294075994,84001,894.9090909090909,180.85245280591417,41.52799,1226.9,1561.3349313636363,1401.508453321288,27
201.68378,54.780940993857236,85001,803.7272727272727,173.13392852871246,56.910305,1200.3,1458.481526909091,2015.5388852469819,24
,,85005,,,,,,,
226.32379,50.18283086915831,86001,918.8181818181819,187.9236906854695,51.63713,1281.8,1889.553045181818,1618.7170544597989,28
219.4016,34.56424102145677,87001,904.0909090909091,200.75202298014446,39.32751,1399.1,1889.646088181818,1797.9248537156598,27
,,87796,,,,,,,
192.58023,58.41435623865896,88001,852.2727272727273,180.48142942314303,61.147385,1429.6,1346.2791989090908,1695.8594031144537,26
190.65121,31.978294446083314,89001,899.0,201.55420860877155,38.20944,1506.2,1607.4682066363637,1747.2241775619186,27
192.3349,72.47700781489962,90001,616.1818181818181,171.43232706731735,74.335144,1483.6,975.4776358181819,120.15084510298527,19
203.92372,51.05036960438019,91001,899.2727272727273,182.9869048176947,55.104946,1468.0,1607.9020639090909,1459.176084732631,27
,,91020,,,,,,,
192.84184,51.154782464829644,92001,805.5454545454545,179.23730358035675,55.47599,1529.2,1413.2862319090912,188.74204902075246,25
204.09502,37.790968343592425,93001,795.8181818181819,211.3291473276957,41.915585,1529.7,1545.0625860909092,1569.9502376010694,24
,,93395,,,,,,,
185.31439,24.41966798239515,94001,1000.0,204.48821998647455,29.530687,1557.3,1811.3905579999998,2317.8298088497713,31
211.57497,24.354575387352085,95001,933.2727272727273,214.46330181569536,31.52703,1588.3,1972.9957663636364,643.5125747011339,28
228.38197,44.493412848940494,96001,858.8181818181819,199.03568734708517,50.887997,1585.4,1928.5967280909092,1740.6892344459848,26
,,96461,,,,,,,
193.68495,42.35526560169851,97001,833.8181818181819,189.35137900791995,45.173,1585.8,1499.6006713636366,1264.098822286881,26
240.5166,45.628079399781456,98001,955.1818181818181,199.69275720202492,45.95588,1633.4,2066.1981692727272,2323.4990434062247,29
198.90805,23.83780253004137,99001,973.4545454545455,206.9224499033254,29.81616,1732.7,1895.4055891818184,972.7091547871051,30
193.73402,76.33622513542319,100001,590.5454545454545,178.97246178127696,78.46348,1687.6,929.6908796363637,332.0604082620367,18
,,100144,,,,,,,
211.34956,79.97199240279627,101001,555.4545454545455,174.98637384433167,82.480865,1597.9,957.7741719090908,1217.2399135782257,17
238.63335,66.71692367966615,102001,689.7272727272727,200.92261642531204,68.93537,1630.2,1558.282345272727,76.21620210793226,21
,,102451,,,,,,,
224.18146,59.63762324901038,103001,737.8181818181819,194.71774293289684,64.28131,1629.9,1595.9704100000001,60.13180494665898,23
207.02753,33.123362538176856,104001,924.4545454545455,210.86479705140135,37.81323,1588.1,1822.2893487272727,1123.0544618448798,28
166.87895,29.94453270604181,105001,923.5454545454545,205.67225025125498,33.782444,1525.4,1439.014249,2382.3587656457653,28
,,105401,,,,,,,
174.95827,48.321627438888875,106001,840.9090909090909,189.86979624420744,50.791126,1504.4,1297.2835467272728,1187.8754027256234,25
195.21544,44.51502071350403,107001,788.1818181818181,193.4188875456822,48.176937,1456.4,1387.7278054545454,573.7967939327289,24
214.673,67.10471012059571,108001,617.1818181818181,203.39959146177742,70.05795,1341.6,1089.6924446363637,1660.3965757790884,19
,,108346,,,,,,,
180.94325,55.03758065368073,109001,782.6363636363636,175.8529384150049,57.88184,1351.8,1200.686891909091,2181.5030684320864,24
188.06172,22.68688441506354,110001,992.6363636363636,214.5672537410874,29.513428,1457.0,1849.155428727273,1326.1730605181326,30
157.3765,32.069557570599386,111001,917.0909090909091,196.73884050750678,35.044003,1415.7,1308.0375695454545,2034.6264065508024,28
,,111458,,,,,,,
139.25035,46.91668381508709,112001,828.7272727272727,153.5631381193364,49.90621,1385.2,994.5239614545454,84.18696874990314,26
228.23102,25.677111366242652,113001,962.2727272727273,224.61925866266748,34.541206,1407.0,2167.3594014545456,2671.9850532677547,29
232.38876,70.06151196100909,114001,580.7272727272727,208.21946210637725,72.829765,1403.9,1207.438750636364,1649.8800295074318,18
,,114108,,,,,,,
233.74742,55.92738143443269,115001,856.9090909090909,216.787258438595,59.574608,1438.1,1824.8568916363636,1769.3417208584592,26
,,115861,,,,,,,
191.55772,74.4394499329339,116001,691.2727272727273,140.18479804741767,77.463326,1410.8,1057.4777357272728,1019.8519876064553,21
248.34401,72.23295091975648,117001,644.1818181818181,214.51399445375475,74.03059,1446.3,1424.8768937272728,708.6300087326498,19
,,117879,,,,,,,
254.70189,49.06304815226285,118001,861.0909090909091,227.4654573080138,52.334644,1535.7,2050.930988090909,2419.0413228513135,26
211.04137,28.775090593673436,119001,975.8181818181819,224.05922356399617,33.67707,1566.2,1988.3501682727272,990.5960452305378,30
,,119519,,,,,,,
232.63121,94.58815313386131,120001,538.7272727272727,171.3652939617755,96.93991,1540.4,1073.0899254545454,675.9723740667075,16
263.00443,49.04328925902609,121001,1000.0,229.56024490869393,49.768505,1653.2,2366.8762224545458,2583.445595623152,31
,,121510,,,,,,,
220.99019,43.55124481784096,122001,963.0,182.48528769228918,45.73612,1674.5,1875.6489121818179,993.9127573492256,29
213.33026,68.47421067757035,123001,769.5454545454545,173.75480637252232,70.351326,1697.7,1448.9766029090908,43.05633644848658,23
256.33588,53.462382390289896,124001,930.9090909090909,212.9422037696215,55.53873,1706.1,2140.9192544545454,2338.476718628038,28
,,125000,,,,,,,
248.3457,47.38733048593382,125001,968.4545454545455,235.62272889268885,49.51741,1815.8,2173.678932909091,2388.694779923753,30
281.96103,99.9369335727365,126001,496.27272727272725,194.47900385256278,101.29243,1807.5,1275.4349159090907,786.0902833007742,15
216.1816,74.54275531838898,127001,776.9090909090909,172.41373032166175,75.64941,1762.2,1332.157864090909,1141.0976395547605,24
,,127378,,,,,,,
226.89653,78.00901577163701,128001,717.7272727272727,189.94928645639993,80.09273,1644.7,1303.2428770909091,2699.5046482317402,22
262.1536,95.95854472723303,129001,585.0,205.88141288197676,98.1621,1675.5,1323.3850968181816,800.7851429332342,17
242.04037,50.99785563826088,130001,923.3636363636364,217.72177678322734,54.20145,1657.8,1980.0412897272727,1777.4520618492102,28
,,130814,,,,,,,
271.17615,64.65108132851903,131001,692.3636363636364,243.58269917593117,67.89267,1645.4,1729.5659584545456,598.4761777080512,21
248.0704,60.36545155909632,132001,841.8181818181819,226.1104954565115,62.761997,1668.5,1870.849530363637,660.4261345920426,25
252.42625,54.66249963210066,133001,891.0,226.50530538743945,57.09399,1676.4,2053.2930695454547,2871.361500808341,27
250.86641,85.07268189894009,134001,612.6363636363636,219.12419577036005,89.23235,1609.2,1359.1766647272727,75.67647192185133,18
,,134814,,,,,,,
280.28992,34.11986037748931,135001,905.6363636363636,258.2436664732275,46.36432,1681.0,2494.3932998181817,2764.8203251687596,27
248.48174,76.00739458834275,136001,670.2727272727273,216.93858814393198,80.21552,1741.5,1530.9374929090911,31.838897163568813,20
256.08044,60.95626763505341,137001,733.9090909090909,234.13935265831878,64.03769,1791.1,1695.6537745454543,1003.0901261623228,22
