eval_ep_rewmean,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference,eval_returns,eval mean 100 episode reward
,,,,,15706,,,,
,,,,,15772,,,,
,,,,,15836,,,,
,,,,,15926,,,,
,,,,,15996,,,,
0.778932090909091,21.0,1.4931861603096004,3.2981567,-0.25186837,16001,0,3.07823776690084,0.66945083765943,0.9
,,,,,16073,,,,
,,,,,16160,,,,
,,,,,16250,,,,
,,,,,16326,,,,
,,,,,16467,,,,
,,,,,16524,,,,
,,,,,16621,,,,
,,,,,16750,,,,
,,,,,16843,,,,
,,,,,16909,,,,
0.8327957272727272,21.0,1.5436192188418303,3.2906358,-0.24965352,17001,0,3.0617150676010882,0.953764370609337,0.8
,,,,,17027,,,,
,,,,,17120,,,,
,,,,,17195,,,,
,,,,,17268,,,,
,,,,,17376,,,,
,,,,,17444,,,,
,,,,,17561,,,,
,,,,,17744,,,,
,,,,,17851,,,,
,,,,,17929,,,,
0.8942337272727272,21.0,1.5989607162654116,3.2708519,-0.25096342,18001,0,3.028737800793647,1.017633476369138,0.8
,,,,,18005,,,,
,,,,,18117,,,,
,,,,,18181,,,,
,,,,,18252,,,,
,,,,,18311,,,,
,,,,,18418,,,,
,,,,,18500,,,,
,,,,,18563,,,,
,,,,,18618,,,,
,,,,,18694,,,,
,,,,,18827,,,,
,,,,,18913,,,,
,,,,,18990,,,,
0.8087830909090911,21.0,1.5235052771827364,3.3057404,-0.24610405,19001,0,3.0847874331320644,1.0199643924401696,0.8
,,,,,19063,,,,
,,,,,19116,,,,
,,,,,19211,,,,
,,,,,19312,,,,
,,,,,19390,,,,
,,,,,19472,,,,
,,,,,19567,,,,
,,,,,19661,,,,
,,,,,19788,,,,
,,,,,19847,,,,
,,,,,19929,,,,
,,,,,19997,,,,
0.7994561818181819,21.0,1.5128680558988614,3.297957,-0.24822369,20001,0,3.0769334499291663,0.8202462900648939,0.8
,,,,,20075,,,,
,,,,,20150,,,,
,,,,,20219,,,,
,,,,,20273,,,,
,,,,,20325,,,,
,,,,,20407,,,,
,,,,,20470,,,,
,,,,,20550,,,,
,,,,,20639,,,,
,,,,,20709,,,,
,,,,,20801,,,,
,,,,,20884,,,,
,,,,,20961,,,,
0.7814211818181818,21.0,1.4923652600447783,3.2822654,-0.25120646,21001,0,3.0631764480778956,0.862710518938691,0.8
,,,,,21021,,,,
,,,,,21113,,,,
,,,,,21195,,,,
,,,,,21246,,,,
,,,,,21309,,,,
,,,,,21389,,,,
,,,,,21486,,,,
,,,,,21577,,,,
,,,,,21718,,,,
,,,,,21801,,,,
,,,,,21893,,,,
0.7104070909090908,21.0,1.4279214971165797,3.3021605,-0.25171542,22001,0,3.0970232956524786,0.6889859296183508,0.8
,,,,,22002,,,,
,,,,,22089,,,,
,,,,,22152,,,,
,,,,,22210,,,,
,,,,,22298,,,,
,,,,,22451,,,,
,,,,,22646,,,,
,,,,,22737,,,,
,,,,,22828,,,,
,,,,,22910,,,,
,,,,,22966,,,,
0.7315260909090909,21.0,1.4476320017763329,3.2995036,-0.2495974,23001,0,3.091496258373208,0.8732105414920971,0.8
,,,,,23048,,,,
,,,,,23148,,,,
,,,,,23278,,,,
,,,,,23345,,,,
,,,,,23452,,,,
,,,,,23521,,,,
,,,,,23633,,,,
,,,,,23718,,,,
,,,,,23796,,,,
,,,,,23865,,,,
,,,,,23951,,,,
0.839913,20.90909090909091,1.5375733429227254,3.2399213,-0.25484788,24001,0,3.0068532441357636,1.091910485910672,0.8
,,,,,24033,,,,
,,,,,24129,,,,
,,,,,24202,,,,
,,,,,24324,,,,
,,,,,24424,,,,
,,,,,24512,,,,
,,,,,24604,,,,
,,,,,24667,,,,
,,,,,24751,,,,
,,,,,24823,,,,
,,,,,24912,,,,
44.28706181818182,24.90909090909091,38.823148956687405,24.456013,-0.99824566,25001,0,-24.45601140752777,47.744581629405204,5.1
,,,,,25047,,,,
,,,,,25144,,,,
,,,,,25234,,,,
,,,,,25324,,,,
,,,,,25414,,,,
,,,,,25564,,,,
,,,,,25828,,,,
195.17707736363636,87.27272727272727,121.55005553363743,33.32707,67.54508,26001,2,-18.207096072984815,194.9693891168887,25.0
,,,,,26131,,,,
,,,,,26481,,,,
,,,,,26822,,,,
179.69989709090908,85.0909090909091,114.83176023086631,31.272161,108.85527,27001,2,31.27216026837523,180.9964444765509,44.8
,,,,,27169,,,,
,,,,,27589,,,,
352.547554,128.45454545454547,174.68862243933557,31.87198,151.16106,28001,3,11.340479016826903,352.41280856485184,81.8
,,,,,28129,,,,
,,,,,28489,,,,
,,,,,28797,,,,
602.4175493636363,226.54545454545453,206.62983578225797,51.211338,185.11078,29001,6,11.870038219576633,559.6189436367989,145.9
,,,,,29520,,,,
505.0829155454546,179.45454545454547,197.67201070205692,44.219307,216.33784,30001,5,43.92956867681367,504.9865710740995,201.9
,,,,,30181,,,,
,,,,,30730,,,,
373.24853272727273,154.0,167.38503861248049,132.79794,264.97507,31001,4,132.54035132872508,620.1711344151665,241.8
,,,,,31466,,,,
442.0846972727273,166.63636363636363,185.02216552797333,105.93985,260.19095,32001,4,104.84018725383248,432.3557124383846,292.2
,,,,,32143,,,,
,,,,,32633,,,,
249.7800847272727,128.0,133.8385307727304,199.7935,291.36868,33001,3,199.79349047552716,244.73286532663744,321.4
,,,,,33220,,,,
,,,,,33937,,,,
271.327988,135.9090909090909,139.53960173938654,198.8289,296.27298,34001,3,198.8289068438163,250.074190297079,347.3
,,,,,34570,,,,
