eval_ep_rewmean,eval_eplenmean,eval_discount_q,eval_abs_qs_difference,eval_qs,total timesteps,eval_time_elapsed,eval_qs_difference,eval_returns,eval mean 100 episode reward
765.0169568181817,203.1818181818182,253.8579556708623,44.747776,294.3428,144001,5,41.60966706230138,771.146872108597,887.0
,,,,,144189,,,,
979.095241909091,259.3636363636364,262.0538662660188,37.582706,312.5677,145001,7,35.73824161799524,1158.2440807347452,894.1
,,,,,145027,,,,
1159.6436872727274,300.72727272727275,271.465873981986,27.243156,320.95773,146001,8,24.714939928203307,1156.600033055121,915.1
,,,,,146001,,,,
,,,,,146979,,,,
728.3370136363636,201.8181818181818,245.5901115270584,56.13108,295.98953,147001,5,55.667481223161964,748.10075320267,922.3
,,,,,147893,,,,
835.1790864545454,225.1818181818182,253.59264415550243,38.371,294.3847,148001,6,35.03863746606832,865.610588007489,910.5
,,,,,148444,,,,
1313.2475476363636,351.45454545454544,263.0012540693841,31.704016,328.41968,149001,10,28.897331260982856,1335.0308823710227,962.5
,,,,,149429,,,,
681.7687842727272,187.0,244.95291454162495,44.36228,275.3914,150001,5,40.498602773661894,684.0743045470846,933.4
