#{"t_start": 1641831020.128107, "env_id": "Hopper-v2"}
r,l,t
8.561501,12,15.709524
15.918888,25,15.76291
29.110325,27,15.822463
29.829998,29,15.885684
9.338606,15,16.230042
10.58611,15,16.263285
110.551692,61,16.385276
22.514114,23,16.470454
11.636311,16,16.508706
9.724714,13,16.538785
9.483169,12,16.565658
8.917507,14,16.598033
7.711155,13,16.62702
30.024032,25,16.678987
33.288597,26,16.773862
12.821699,24,16.826602
42.081552,36,16.903259
10.583125,31,17.017847
12.362261,16,17.056771
26.611021,23,17.106847
43.392146,41,17.192075
7.991888,11,17.279354
27.495087,30,17.340483
7.795382,10,17.368608
7.462176,10,17.391202
8.767272,36,17.463458
10.2407,16,17.570532
19.008078,21,17.616398
12.69563,15,17.651201
8.034325,11,17.676528
31.506591,45,17.845494
51.378164,37,17.930524
8.162199,19,17.975766
9.56153,39,18.055935
20.952314,22,18.194528
14.887018,18,18.234024
38.874214,49,18.333084
16.211407,17,18.472249
25.93676,25,18.525962
47.513971,53,18.632215
23.431664,22,19.409881
11.922468,19,19.452541
10.041153,13,19.482425
9.953755,12,19.509242
8.500807,12,19.536334
12.264383,19,19.577219
9.99893,16,19.612661
25.010335,24,19.781361
14.313407,16,19.820116
7.498894,12,19.847341
7.920457,10,19.869753
22.094708,26,19.923058
17.276167,24,20.106784
13.038564,21,20.152963
53.563424,33,20.222522
6.650183,10,20.249201
14.91143,21,20.293015
8.425069,13,20.46677
9.517696,17,20.502775
16.292714,22,20.549548
14.896777,17,20.58968
6.215732,17,20.626732
28.156548,29,20.846132
8.088552,11,20.87399
6.345239,13,20.902914
15.350056,21,20.946347
12.495229,14,20.980243
10.343401,13,21.008611
10.966294,25,21.227834
17.560007,30,21.291185
19.988222,21,21.33861
7.438352,15,21.373973
5.718715,9,21.395426
13.904764,18,21.433202
14.41929,17,21.651737
13.535529,16,21.687129
10.530622,16,21.722402
16.660706,20,21.76643
5.096254,9,21.788845
7.511828,11,21.813167
5.287845,8,21.832021
35.888912,47,22.124962
6.530365,11,22.159401
27.693983,31,22.221829
34.138213,46,22.522778
32.627888,29,22.58858
6.204545,8,22.610853
6.682913,9,22.63176
10.426337,25,22.68306
18.169211,22,22.947062
17.615989,20,22.991124
29.351905,25,23.045589
8.227454,10,23.071146
18.574277,27,23.978795
16.52988,21,24.025679
5.28757,9,24.048874
24.994326,29,24.108858
19.010147,27,24.167783
23.413379,25,24.460895
25.925771,25,24.514446
8.803001,17,24.55356
11.446984,21,24.600024
7.425035,17,24.637641
15.780499,28,24.946914
8.763329,10,24.976955
8.644856,22,25.023169
14.813943,22,25.071203
17.92508,23,25.122203
16.072399,15,25.41873
9.670438,22,25.464916
130.006491,74,25.877649
9.3321,12,25.91703
57.034676,47,26.011712
10.862705,14,26.048843
12.678385,15,26.081648
15.218495,23,26.413758
